split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.250007,0.272629,0.241359,-0.017776,0.0,-0.024572,0.119183,0.0,0.005529,0.880817,1.0,0.01111,0.0,0.005286,66.0,1.0,0.0,-0.022623,0.008648,-0.017776,0.006795,0.119183,0.113654,-0.119183,0.01111,0.005824,65.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.291112,0.299071,0.190121,-0.006127,0.0,-0.083867,0.123096,0.0,0.013578,0.876904,1.0,0.011538,0.0,0.010791,99.0,1.0,0.0,-0.007959,0.100991,-0.006127,0.077741,0.123096,0.109518,-0.123096,0.011538,0.000747,98.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.315671,0.344293,0.347888,-0.021291,0.0,0.002675,0.125852,0.0,0.000963,0.874148,1.0,0.012088,0.0,0.001834,67.0,1.0,0.0,-0.028622,-0.032217,-0.021291,-0.023966,0.125852,0.124889,-0.125852,0.012088,0.010255,66.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.431695,0.42204,0.322983,0.00679,0.0,-0.069659,0.103439,0.0,0.014688,0.896561,1.0,0.010173,0.0,0.009529,86.0,1.0,0.0,0.009655,0.108712,0.00679,0.076448,0.103439,0.088752,-0.103439,0.010173,0.000644,85.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.321624,0.362189,0.31995,-0.02978,0.0,-0.031008,0.107409,0.0,0.002568,0.892591,1.0,0.011015,0.0,0.002222,68.0,1.0,0.0,-0.040566,0.001674,-0.02978,0.001229,0.107409,0.104841,-0.107409,0.011015,0.008793,67.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.227811,0.23565,0.208512,-0.006344,0.0,-0.021963,0.130102,0.0,0.004325,0.869898,1.0,0.009987,0.0,0.004743,85.0,1.0,0.0,-0.007838,0.0193,-0.006344,0.015619,0.130102,0.125777,-0.130102,0.009987,0.005245,84.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.244786,0.272629,0.241359,-0.021878,0.0,-0.024572,0.134103,0.0,0.005529,0.865897,1.0,0.009784,0.0,0.005286,62.0,1.0,0.0,-0.027843,0.003428,-0.021878,0.002693,0.134103,0.128574,-0.134103,0.009784,0.004498,61.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.287252,0.299071,0.190121,-0.009098,0.0,-0.083867,0.124244,0.0,0.013578,0.875756,1.0,0.01509,0.0,0.010791,134.0,1.0,0.0,-0.011818,0.097131,-0.009098,0.07477,0.124244,0.110666,-0.124244,0.01509,0.004299,133.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.327102,0.344293,0.347888,-0.012788,0.0,0.002675,0.108522,0.0,0.000963,0.891478,1.0,0.004718,0.0,0.001834,23.0,1.0,0.0,-0.01719,-0.020786,-0.012788,-0.015462,0.108522,0.107559,-0.108522,0.004718,0.002885,22.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.436147,0.42204,0.322983,0.00992,0.0,-0.069659,0.098228,0.0,0.014688,0.901772,1.0,0.005941,0.0,0.009529,46.0,1.0,0.0,0.014107,0.113164,0.00992,0.079579,0.098228,0.08354,-0.098228,0.005941,-0.003588,45.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.288177,0.362189,0.31995,-0.054333,0.0,-0.031008,0.143304,0.0,0.002568,0.856696,1.0,0.009837,0.0,0.002222,61.0,1.0,0.0,-0.074012,-0.031772,-0.054333,-0.023325,0.143304,0.140735,-0.143304,0.009837,0.007614,60.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.221053,0.23565,0.208512,-0.011813,0.0,-0.021963,0.148162,0.0,0.004325,0.851838,1.0,0.013686,0.0,0.004743,124.0,1.0,0.0,-0.014597,0.012541,-0.011813,0.010149,0.148162,0.143837,-0.148162,0.013686,0.008943,123.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.243561,0.272629,0.241359,-0.022841,0.0,-0.024572,0.130274,0.0,0.005529,0.869726,1.0,0.014173,0.0,0.005286,88.0,1.0,0.0,-0.029068,0.002202,-0.022841,0.001731,0.130274,0.124744,-0.130274,0.014173,0.008888,87.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.302559,0.299071,0.190121,0.002686,0.0,-0.083867,0.13408,0.0,0.013578,0.86592,1.0,0.010321,0.0,0.010791,89.0,1.0,0.0,0.003489,0.112438,0.002686,0.086553,0.13408,0.120502,-0.13408,0.010321,-0.00047,88.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.284548,0.344293,0.347888,-0.044443,0.0,0.002675,0.155942,0.0,0.000963,0.844058,1.0,0.007692,0.0,0.001834,49.0,1.0,0.0,-0.059744,-0.06334,-0.044443,-0.047118,0.155942,0.154979,-0.155942,0.007692,0.005859,48.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.396519,0.42204,0.322983,-0.017947,0.0,-0.069659,0.141096,0.0,0.014688,0.858904,1.0,0.008017,0.0,0.009529,78.0,1.0,0.0,-0.025521,0.073536,-0.017947,0.051712,0.141096,0.126408,-0.141096,0.008017,-0.001512,77.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.305354,0.362189,0.31995,-0.041723,0.0,-0.031008,0.126487,0.0,0.002568,0.873513,1.0,0.017223,0.0,0.002222,119.0,1.0,0.0,-0.056835,-0.014596,-0.041723,-0.010715,0.126487,0.123919,-0.126487,0.017223,0.015001,118.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.224374,0.23565,0.208512,-0.009126,0.0,-0.021963,0.149429,0.0,0.004325,0.850571,1.0,0.018141,0.0,0.004743,171.0,1.0,0.0,-0.011276,0.015862,-0.009126,0.012837,0.149429,0.145103,-0.149429,0.018141,0.013399,170.0
