split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.224648,0.272629,0.241359,-0.037702,0.0,-0.024572,0.117617,0.0,0.005529,0.882383,1.0,0.012788,0.0,0.005286,75.0,1.0,0.0,-0.047981,-0.016711,-0.037702,-0.013131,0.117617,0.112088,-0.117617,0.012788,0.007503,74.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.325915,0.299071,0.190121,0.020664,0.0,-0.083867,0.096681,0.0,0.013578,0.903319,1.0,0.009813,0.0,0.010791,90.0,1.0,0.0,0.026844,0.135794,0.020664,0.104531,0.096681,0.083103,-0.096681,0.009813,-0.000978,89.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.294069,0.344293,0.347888,-0.037361,0.0,0.002675,0.138298,0.0,0.000963,0.861702,1.0,0.013981,0.0,0.001834,82.0,1.0,0.0,-0.050224,-0.053819,-0.037361,-0.040035,0.138298,0.137334,-0.138298,0.013981,0.012148,81.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.402803,0.42204,0.322983,-0.013528,0.0,-0.069659,0.133797,0.0,0.014688,0.866203,1.0,0.007446,0.0,0.009529,70.0,1.0,0.0,-0.019238,0.07982,-0.013528,0.05613,0.133797,0.119109,-0.133797,0.007446,-0.002083,69.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.322547,0.362189,0.31995,-0.029102,0.0,-0.031008,0.101128,0.0,0.002568,0.898872,1.0,0.01358,0.0,0.002222,91.0,1.0,0.0,-0.039643,0.002597,-0.029102,0.001906,0.101128,0.09856,-0.101128,0.01358,0.011358,90.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.216346,0.23565,0.208512,-0.015622,0.0,-0.021963,0.100777,0.0,0.004325,0.899223,1.0,0.012369,0.0,0.004743,114.0,1.0,0.0,-0.019304,0.007835,-0.015622,0.00634,0.100777,0.096452,-0.100777,0.012369,0.007627,113.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.244095,0.272629,0.241359,-0.022422,0.0,-0.024572,0.107488,0.0,0.005529,0.892512,1.0,0.005679,0.0,0.005286,42.0,1.0,0.0,-0.028534,0.002736,-0.022422,0.00215,0.107488,0.101959,-0.107488,0.005679,0.000394,41.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.264401,0.299071,0.190121,-0.026688,0.0,-0.083867,0.108759,0.0,0.013578,0.891241,1.0,0.006134,0.0,0.010791,64.0,1.0,0.0,-0.03467,0.07428,-0.026688,0.057179,0.108759,0.095181,-0.108759,0.006134,-0.004657,63.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.297838,0.344293,0.347888,-0.034557,0.0,0.002675,0.115618,0.0,0.000963,0.884382,1.0,0.012791,0.0,0.001834,84.0,1.0,0.0,-0.046454,-0.05005,-0.034557,-0.037231,0.115618,0.114655,-0.115618,0.012791,0.010957,83.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.389397,0.42204,0.322983,-0.022955,0.0,-0.069659,0.127195,0.0,0.014688,0.872805,1.0,0.014311,0.0,0.009529,123.0,1.0,0.0,-0.032643,0.066414,-0.022955,0.046704,0.127195,0.112507,-0.127195,0.014311,0.004782,122.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.293817,0.362189,0.31995,-0.050193,0.0,-0.031008,0.127041,0.0,0.002568,0.872959,1.0,0.001534,0.0,0.002222,11.0,1.0,0.0,-0.068372,-0.026133,-0.050193,-0.019184,0.127041,0.124472,-0.127041,0.001534,-0.000688,10.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.209755,0.23565,0.208512,-0.020956,0.0,-0.021963,0.123688,0.0,0.004325,0.876312,1.0,0.002153,0.0,0.004743,26.0,1.0,0.0,-0.025895,0.001244,-0.020956,0.001006,0.123688,0.119363,-0.123688,0.002153,-0.00259,25.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.236036,0.272629,0.241359,-0.028754,0.0,-0.024572,0.14525,0.0,0.005529,0.85475,1.0,0.010344,0.0,0.005286,69.0,1.0,0.0,-0.036593,-0.005323,-0.028754,-0.004183,0.14525,0.139721,-0.14525,0.010344,0.005058,68.0
