split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.237135,0.272629,0.259768,-0.027891,0.0,-0.010106,0.109009,0.0,0.002841,0.890991,1.0,0.011292,0.0,0.002141,67.0,1.0,0.0,-0.035495,-0.022633,-0.027891,-0.017785,0.109009,0.106169,-0.109009,0.011292,0.009151,66.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.277035,0.299071,0.19256,-0.016963,0.0,-0.08199,0.116251,0.0,0.004225,0.883749,1.0,0.010601,0.0,0.004943,92.0,1.0,0.0,-0.022036,0.084475,-0.016963,0.065027,0.116251,0.112026,-0.116251,0.010601,0.005659,91.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.288879,0.344293,0.344293,-0.041221,0.0,0.0,0.152387,0.0,0.0,0.847613,1.0,0.014904,0.0,0.0,86.0,1.0,0.0,-0.055413,-0.055413,-0.041221,-0.041221,0.152387,0.152387,-0.152387,0.014904,0.014904,85.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.391294,0.42204,0.296577,-0.021621,0.0,-0.088228,0.146364,0.0,0.005813,0.853636,1.0,0.011239,0.0,0.005764,100.0,1.0,0.0,-0.030746,0.094717,-0.021621,0.066607,0.146364,0.140551,-0.146364,0.011239,0.005476,99.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.304241,0.362189,0.362169,-0.04254,0.0,-1.5e-05,0.105324,0.0,0.000146,0.894676,1.0,0.003149,0.0,0.000292,21.0,1.0,0.0,-0.057948,-0.057928,-0.04254,-0.042526,0.105324,0.105178,-0.105324,0.003149,0.002857,20.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.202434,0.23565,0.223162,-0.026881,0.0,-0.010106,0.111365,0.0,0.001893,0.888635,1.0,0.00605,0.0,0.001426,59.0,1.0,0.0,-0.033215,-0.020727,-0.026881,-0.016775,0.111365,0.109472,-0.111365,0.00605,0.004623,58.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.22902,0.272629,0.259768,-0.034267,0.0,-0.010106,0.116577,0.0,0.002841,0.883423,1.0,0.010485,0.0,0.002141,65.0,1.0,0.0,-0.043609,-0.030748,-0.034267,-0.024161,0.116577,0.113737,-0.116577,0.010485,0.008344,64.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.261788,0.299071,0.19256,-0.028699,0.0,-0.08199,0.10653,0.0,0.004225,0.89347,1.0,0.00977,0.0,0.004943,102.0,1.0,0.0,-0.037282,0.069229,-0.028699,0.053291,0.10653,0.102305,-0.10653,0.00977,0.004827,101.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.30915,0.344293,0.344293,-0.026142,0.0,0.0,0.127131,0.0,0.0,0.872869,1.0,0.018836,0.0,0.0,104.0,1.0,0.0,-0.035142,-0.035142,-0.026142,-0.026142,0.127131,0.127131,-0.127131,0.018836,0.018836,103.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.410232,0.42204,0.296577,-0.008304,0.0,-0.088228,0.118348,0.0,0.005813,0.881652,1.0,0.015018,0.0,0.005764,127.0,1.0,0.0,-0.011809,0.113655,-0.008304,0.079924,0.118348,0.112535,-0.118348,0.015018,0.009255,126.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.324186,0.362189,0.362169,-0.027898,0.0,-1.5e-05,0.102436,0.0,0.000146,0.897564,1.0,0.018425,0.0,0.000292,116.0,1.0,0.0,-0.038003,-0.037983,-0.027898,-0.027884,0.102436,0.102291,-0.102436,0.018425,0.018134,115.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.213463,0.23565,0.223162,-0.017956,0.0,-0.010106,0.094657,0.0,0.001893,0.905343,1.0,0.011531,0.0,0.001426,120.0,1.0,0.0,-0.022187,-0.009699,-0.017956,-0.007849,0.094657,0.092764,-0.094657,0.011531,0.010105,119.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.267632,0.272629,0.259768,-0.003927,0.0,-0.010106,0.106737,0.0,0.002841,0.893263,1.0,0.010477,0.0,0.002141,62.0,1.0,0.0,-0.004997,0.007864,-0.003927,0.006179,0.106737,0.103896,-0.106737,0.010477,0.008336,61.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.269269,0.299071,0.19256,-0.02294,0.0,-0.08199,0.12309,0.0,0.004225,0.87691,1.0,0.010131,0.0,0.004943,96.0,1.0,0.0,-0.029801,0.07671,-0.02294,0.05905,0.12309,0.118864,-0.12309,0.010131,0.005188,95.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.308577,0.344293,0.344293,-0.026568,0.0,0.0,0.081439,0.0,0.0,0.918561,1.0,0.000956,0.0,0.0,7.0,1.0,0.0,-0.035715,-0.035715,-0.026568,-0.026568,0.081439,0.081439,-0.081439,0.000956,0.000956,6.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.391519,0.42204,0.296577,-0.021463,0.0,-0.088228,0.048587,0.0,0.005813,0.951413,1.0,0.000559,0.0,0.005764,7.0,1.0,0.0,-0.030521,0.094943,-0.021463,0.066765,0.048587,0.042774,-0.048587,0.000559,-0.005204,6.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.31132,0.362189,0.362169,-0.037343,0.0,-1.5e-05,0.122701,0.0,0.000146,0.877299,1.0,0.003701,0.0,0.000292,24.0,1.0,0.0,-0.050869,-0.050849,-0.037343,-0.037329,0.122701,0.122555,-0.122701,0.003701,0.00341,23.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.20988,0.23565,0.223162,-0.020856,0.0,-0.010106,0.134407,0.0,0.001893,0.865593,1.0,0.003638,0.0,0.001426,36.0,1.0,0.0,-0.02577,-0.013282,-0.020856,-0.010749,0.134407,0.132514,-0.134407,0.003638,0.002211,35.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.04365,0.052584,0.052584,-0.008488,0.0,0.0,0.064411,0.0,0.0,0.935589,1.0,0.001904,0.0,0.0,8.0,1.0,0.0,-0.008934,-0.008934,-0.008488,-0.008488,0.064411,0.064411,-0.064411,0.001904,0.001904,7.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.736829,0.796711,0.638191,-0.033329,0.0,-0.088228,0.066649,0.0,0.004871,0.933351,1.0,0.002825,0.0,0.004829,30.0,1.0,0.0,-0.059882,0.098638,-0.033329,0.054899,0.066649,0.061778,-0.066649,0.002825,-0.002004,29.0
regime,7,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.345537,0.404754,0.404754,-0.042155,0.0,0.0,0.142508,0.0,0.0,0.857492,1.0,0.00495,0.0,0.0,20.0,1.0,0.0,-0.059217,-0.059217,-0.042155,-0.042155,0.142508,0.142508,-0.142508,0.00495,0.00495,19.0
regime,7,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.538886,0.574403,0.558492,-0.022559,0.0,-0.010106,0.127827,0.0,0.001586,0.872173,1.0,0.015617,0.0,0.001195,155.0,1.0,0.0,-0.035517,-0.019606,-0.022559,-0.012453,0.127827,0.126241,-0.127827,0.015617,0.014422,154.0
regime,7,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.159539,0.191296,0.191278,-0.026657,0.0,-1.5e-05,0.108756,0.0,0.000203,0.891244,1.0,0.014302,0.0,0.000407,64.0,1.0,0.0,-0.031757,-0.031739,-0.026657,-0.026642,0.108756,0.108553,-0.108756,0.014302,0.013894,63.0
regime,7,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.35192,0.420097,0.405745,-0.048009,0.0,-0.010106,0.11019,0.0,0.001586,0.88981,1.0,0.010409,0.0,0.001195,109.0,1.0,0.0,-0.068177,-0.053825,-0.048009,-0.037903,0.11019,0.108604,-0.11019,0.010409,0.009214,108.0
regime,17,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.0585,0.052584,0.052584,0.00562,0.0,0.0,0.119473,0.0,0.0,0.880527,1.0,0.016713,0.0,0.0,75.0,1.0,0.0,0.005916,0.005916,0.00562,0.00562,0.119473,0.119473,-0.119473,0.016713,0.016713,74.0
regime,17,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.687729,0.796711,0.638191,-0.060656,0.0,-0.088228,0.094794,0.0,0.004871,0.905206,1.0,0.008265,0.0,0.004829,92.0,1.0,0.0,-0.108982,0.049538,-0.060656,0.027572,0.094794,0.089923,-0.094794,0.008265,0.003436,91.0
regime,17,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.329561,0.404754,0.404754,-0.053527,0.0,0.0,0.142043,0.0,0.0,0.857957,1.0,0.003648,0.0,0.0,19.0,1.0,0.0,-0.075192,-0.075192,-0.053527,-0.053527,0.142043,0.142043,-0.142043,0.003648,0.003648,18.0
regime,17,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.508135,0.574403,0.558492,-0.042091,0.0,-0.010106,0.115148,0.0,0.001586,0.884852,1.0,0.005109,0.0,0.001195,66.0,1.0,0.0,-0.066268,-0.050356,-0.042091,-0.031984,0.115148,0.113563,-0.115148,0.005109,0.003914,65.0
