split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.237135,0.272629,0.065868,-0.027891,0.0,-0.162467,0.109009,0.0,0.300488,0.890991,1.0,0.011292,0.0,0.060313,67.0,1.0,0.0,-0.035495,0.171266,-0.027891,0.134577,0.109009,-0.191479,-0.109009,0.011292,-0.049021,66.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.277035,0.299071,0.212654,-0.016963,0.0,-0.066522,0.116251,0.0,0.281332,0.883749,1.0,0.010601,0.0,0.049126,92.0,1.0,0.0,-0.022036,0.064381,-0.016963,0.049559,0.116251,-0.165081,-0.116251,0.010601,-0.038524,91.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.280805,0.344293,0.266048,-0.047228,0.0,-0.058205,0.135643,0.0,0.24618,0.864357,1.0,0.015645,0.0,0.049763,94.0,1.0,0.0,-0.063488,0.014756,-0.047228,0.010977,0.135643,-0.110537,-0.135643,0.015645,-0.034119,93.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.406569,0.42204,0.264159,-0.010879,0.0,-0.111025,0.133902,0.0,0.290217,0.866098,1.0,0.010697,0.0,0.057485,95.0,1.0,0.0,-0.015471,0.142411,-0.010879,0.100145,0.133902,-0.156315,-0.133902,0.010697,-0.046788,94.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.281308,0.362189,0.156946,-0.059376,0.0,-0.150672,0.126865,0.0,0.242172,0.873135,1.0,0.011437,0.0,0.05937,70.0,1.0,0.0,-0.080882,0.124362,-0.059376,0.091296,0.126865,-0.115307,-0.126865,0.011437,-0.047933,69.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.201976,0.23565,0.143086,-0.027252,0.0,-0.074911,0.135417,0.0,0.320062,0.864583,1.0,0.012378,0.0,0.05591,114.0,1.0,0.0,-0.033674,0.05889,-0.027252,0.047659,0.135417,-0.184644,-0.135417,0.012378,-0.043532,113.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.214807,0.272629,0.065868,-0.045435,0.0,-0.162467,0.117676,0.0,0.300488,0.882324,1.0,0.016355,0.0,0.060313,105.0,1.0,0.0,-0.057822,0.148938,-0.045435,0.117032,0.117676,-0.182812,-0.117676,0.016355,-0.043959,104.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.295292,0.299071,0.212654,-0.002909,0.0,-0.066522,0.124395,0.0,0.281332,0.875605,1.0,0.017228,0.0,0.049126,159.0,1.0,0.0,-0.003779,0.082638,-0.002909,0.063613,0.124395,-0.156937,-0.124395,0.017228,-0.031898,158.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.31354,0.344293,0.266048,-0.022876,0.0,-0.058205,0.126531,0.0,0.24618,0.873469,1.0,0.01204,0.0,0.049763,66.0,1.0,0.0,-0.030752,0.047492,-0.022876,0.035329,0.126531,-0.119649,-0.126531,0.01204,-0.037723,65.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.407694,0.42204,0.264159,-0.010089,0.0,-0.111025,0.128188,0.0,0.290217,0.871812,1.0,0.01227,0.0,0.057485,105.0,1.0,0.0,-0.014346,0.143535,-0.010089,0.100936,0.128188,-0.162029,-0.128188,0.01227,-0.045215,104.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.300098,0.362189,0.156946,-0.045582,0.0,-0.150672,0.136904,0.0,0.242172,0.863096,1.0,0.004636,0.0,0.05937,30.0,1.0,0.0,-0.062091,0.143152,-0.045582,0.10509,0.136904,-0.105268,-0.136904,0.004636,-0.054735,29.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.211816,0.23565,0.143086,-0.019288,0.0,-0.074911,0.131174,0.0,0.320062,0.868826,1.0,0.005218,0.0,0.05591,56.0,1.0,0.0,-0.023834,0.06873,-0.019288,0.055623,0.131174,-0.188888,-0.131174,0.005218,-0.050692,55.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.239845,0.272629,0.065868,-0.025761,0.0,-0.162467,0.121201,0.0,0.300488,0.878799,1.0,0.005879,0.0,0.060313,40.0,1.0,0.0,-0.032784,0.173977,-0.025761,0.136707,0.121201,-0.179287,-0.121201,0.005879,-0.054434,39.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.280346,0.299071,0.212654,-0.014414,0.0,-0.066522,0.126992,0.0,0.281332,0.873008,1.0,0.004428,0.0,0.049126,44.0,1.0,0.0,-0.018725,0.067692,-0.014414,0.052108,0.126992,-0.15434,-0.126992,0.004428,-0.044697,43.0
