split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.210313,0.272629,0.259768,-0.048967,0.0,-0.010106,0.098447,0.0,0.002841,0.901553,1.0,0.025919,0.0,0.002141,218.0,1.0,0.0,-0.062316,-0.049455,-0.048967,-0.03886,0.098447,0.095606,-0.098447,0.025919,0.023778,217.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.293092,0.299071,0.19256,-0.004602,0.0,-0.08199,0.097891,0.0,0.004225,0.902109,1.0,0.021035,0.0,0.004943,291.0,1.0,0.0,-0.005978,0.100532,-0.004602,0.077388,0.097891,0.093665,-0.097891,0.021035,0.016092,290.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.2875,0.344293,0.344293,-0.042247,0.0,0.0,0.122697,0.0,0.0,0.877303,1.0,0.022855,0.0,0.0,188.0,1.0,0.0,-0.056793,-0.056793,-0.042247,-0.042247,0.122697,0.122697,-0.122697,0.022855,0.022855,187.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42737,0.42204,0.296577,0.003748,0.0,-0.088228,0.127982,0.0,0.005813,0.872018,1.0,0.020273,0.0,0.005764,267.0,1.0,0.0,0.00533,0.130793,0.003748,0.091976,0.127982,0.122169,-0.127982,0.020273,0.01451,266.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.298259,0.362189,0.362169,-0.046932,0.0,-1.5e-05,0.134534,0.0,0.000146,0.865466,1.0,0.024827,0.0,0.000292,214.0,1.0,0.0,-0.06393,-0.06391,-0.046932,-0.046917,0.134534,0.134388,-0.134534,0.024827,0.024535,213.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.203726,0.23565,0.223162,-0.025836,0.0,-0.010106,0.129624,0.0,0.001893,0.870376,1.0,0.032554,0.0,0.001426,385.0,1.0,0.0,-0.031924,-0.019436,-0.025836,-0.01573,0.129624,0.127732,-0.129624,0.032554,0.031127,384.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.251369,0.272629,0.259768,-0.016706,0.0,-0.010106,0.078502,0.0,0.002841,0.921498,1.0,0.012719,0.0,0.002141,136.0,1.0,0.0,-0.02126,-0.008399,-0.016706,-0.006599,0.078502,0.075661,-0.078502,0.012719,0.010578,135.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.282271,0.299071,0.19256,-0.012932,0.0,-0.08199,0.078455,0.0,0.004225,0.921545,1.0,0.011416,0.0,0.004943,164.0,1.0,0.0,-0.0168,0.089711,-0.012932,0.069058,0.078455,0.07423,-0.078455,0.011416,0.006473,163.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.314341,0.344293,0.344293,-0.022281,0.0,0.0,0.096241,0.0,0.0,0.903759,1.0,0.035174,0.0,0.0,270.0,1.0,0.0,-0.029952,-0.029952,-0.022281,-0.022281,0.096241,0.096241,-0.096241,0.035174,0.035174,269.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.441668,0.42204,0.296577,0.013803,0.0,-0.088228,0.099824,0.0,0.005813,0.900176,1.0,0.034065,0.0,0.005764,392.0,1.0,0.0,0.019628,0.145092,0.013803,0.102031,0.099824,0.094011,-0.099824,0.034065,0.028302,391.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.291876,0.362189,0.362169,-0.051618,0.0,-1.5e-05,0.163111,0.0,0.000146,0.836889,1.0,0.020246,0.0,0.000292,150.0,1.0,0.0,-0.070313,-0.070293,-0.051618,-0.051603,0.163111,0.162965,-0.163111,0.020246,0.019954,149.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.208052,0.23565,0.223162,-0.022335,0.0,-0.010106,0.15585,0.0,0.001893,0.84415,1.0,0.030036,0.0,0.001426,302.0,1.0,0.0,-0.027598,-0.01511,-0.022335,-0.012229,0.15585,0.153957,-0.15585,0.030036,0.02861,301.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.21063,0.272629,0.259768,-0.048718,0.0,-0.010106,0.131842,0.0,0.002841,0.868158,1.0,0.024926,0.0,0.002141,197.0,1.0,0.0,-0.061999,-0.049138,-0.048718,-0.038611,0.131842,0.129001,-0.131842,0.024926,0.022785,196.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.258258,0.299071,0.19256,-0.031417,0.0,-0.08199,0.126915,0.0,0.004225,0.873085,1.0,0.029055,0.0,0.004943,329.0,1.0,0.0,-0.040813,0.065698,-0.031417,0.050573,0.126915,0.12269,-0.126915,0.029055,0.024112,328.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.289123,0.344293,0.344293,-0.04104,0.0,0.0,0.092689,0.0,0.0,0.907311,1.0,0.021139,0.0,0.0,219.0,1.0,0.0,-0.055169,-0.055169,-0.04104,-0.04104,0.092689,0.092689,-0.092689,0.021139,0.021139,218.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.403248,0.42204,0.296577,-0.013215,0.0,-0.088228,0.085168,0.0,0.005813,0.914832,1.0,0.018275,0.0,0.005764,288.0,1.0,0.0,-0.018793,0.106671,-0.013215,0.075013,0.085168,0.079355,-0.085168,0.018275,0.012511,287.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.321475,0.362189,0.362169,-0.029889,0.0,-1.5e-05,0.125451,0.0,0.000146,0.874549,1.0,0.024287,0.0,0.000292,159.0,1.0,0.0,-0.040714,-0.040694,-0.029889,-0.029874,0.125451,0.125305,-0.125451,0.024287,0.023995,158.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.228159,0.23565,0.223162,-0.006062,0.0,-0.010106,0.113973,0.0,0.001893,0.886027,1.0,0.032784,0.0,0.001426,304.0,1.0,0.0,-0.007491,0.004997,-0.006062,0.004044,0.113973,0.112081,-0.113973,0.032784,0.031357,303.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.032808,0.052584,0.052584,-0.018789,0.0,0.0,0.084449,0.0,0.0,0.915551,1.0,0.01836,0.0,0.0,113.0,1.0,0.0,-0.019777,-0.019777,-0.018789,-0.018789,0.084449,0.084449,-0.084449,0.01836,0.01836,112.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.697003,0.796711,0.638191,-0.055495,0.0,-0.088228,0.104383,0.0,0.004871,0.895617,1.0,0.018071,0.0,0.004829,295.0,1.0,0.0,-0.099708,0.058812,-0.055495,0.032733,0.104383,0.099512,-0.104383,0.018071,0.013242,294.0
regime,7,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.341615,0.404754,0.404754,-0.044946,0.0,0.0,0.112519,0.0,0.0,0.887481,1.0,0.019729,0.0,0.0,130.0,1.0,0.0,-0.063139,-0.063139,-0.044946,-0.044946,0.112519,0.112519,-0.112519,0.019729,0.019729,129.0
regime,7,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.510174,0.574403,0.558492,-0.040796,0.0,-0.010106,0.123457,0.0,0.001586,0.876543,1.0,0.021639,0.0,0.001195,368.0,1.0,0.0,-0.064229,-0.048318,-0.040796,-0.030689,0.123457,0.121871,-0.123457,0.021639,0.020444,367.0
regime,7,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.185502,0.191296,0.191278,-0.004863,0.0,-1.5e-05,0.113868,0.0,0.000203,0.886132,1.0,0.019692,0.0,0.000407,136.0,1.0,0.0,-0.005793,-0.005776,-0.004863,-0.004848,0.113868,0.113664,-0.113868,0.019692,0.019285,135.0
regime,7,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.398356,0.420097,0.405745,-0.015309,0.0,-0.010106,0.126927,0.0,0.001586,0.873073,1.0,0.021609,0.0,0.001195,355.0,1.0,0.0,-0.021741,-0.007389,-0.015309,-0.005203,0.126927,0.125341,-0.126927,0.021609,0.020414,354.0
regime,17,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.048051,0.052584,0.052584,-0.004307,0.0,0.0,0.12599,0.0,0.0,0.87401,1.0,0.011777,0.0,0.0,82.0,1.0,0.0,-0.004533,-0.004533,-0.004307,-0.004307,0.12599,0.12599,-0.12599,0.011777,0.011777,81.0
regime,17,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.67483,0.796711,0.638191,-0.067835,0.0,-0.088228,0.116828,0.0,0.004871,0.883172,1.0,0.0107,0.0,0.004829,219.0,1.0,0.0,-0.12188,0.03664,-0.067835,0.020393,0.116828,0.111957,-0.116828,0.0107,0.005871,218.0
regime,17,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.356578,0.404754,0.404754,-0.034295,0.0,0.0,0.096384,0.0,0.0,0.903616,1.0,0.011504,0.0,0.0,76.0,1.0,0.0,-0.048176,-0.048176,-0.034295,-0.034295,0.096384,0.096384,-0.096384,0.011504,0.011504,75.0
