split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.248273,0.272629,0.241359,-0.019139,0.0,-0.024572,0.117581,0.0,0.005529,0.882419,1.0,0.020558,0.0,0.005286,178.0,1.0,0.0,-0.024357,0.006914,-0.019139,0.005433,0.117581,0.112052,-0.117581,0.020558,0.015273,177.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.294765,0.299071,0.190121,-0.003314,0.0,-0.083867,0.11859,0.0,0.013578,0.88141,1.0,0.019735,0.0,0.010791,257.0,1.0,0.0,-0.004305,0.104644,-0.003314,0.080553,0.11859,0.105012,-0.11859,0.019735,0.008944,256.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.298521,0.344293,0.347888,-0.034049,0.0,0.002675,0.143248,0.0,0.000963,0.856752,1.0,0.016798,0.0,0.001834,161.0,1.0,0.0,-0.045771,-0.049367,-0.034049,-0.036723,0.143248,0.142285,-0.143248,0.016798,0.014965,160.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.417592,0.42204,0.322983,-0.003128,0.0,-0.069659,0.139777,0.0,0.014688,0.860223,1.0,0.015777,0.0,0.009529,206.0,1.0,0.0,-0.004449,0.094609,-0.003128,0.06653,0.139777,0.12509,-0.139777,0.015777,0.006248,205.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.312102,0.362189,0.31995,-0.03677,0.0,-0.031008,0.114094,0.0,0.002568,0.885906,1.0,0.021352,0.0,0.002222,189.0,1.0,0.0,-0.050087,-0.007848,-0.03677,-0.005761,0.114094,0.111525,-0.114094,0.021352,0.01913,188.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.231341,0.23565,0.208512,-0.003487,0.0,-0.021963,0.132606,0.0,0.004325,0.867394,1.0,0.019251,0.0,0.004743,250.0,1.0,0.0,-0.004309,0.022829,-0.003487,0.018476,0.132606,0.128281,-0.132606,0.019251,0.014508,249.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.234738,0.272629,0.241359,-0.029774,0.0,-0.024572,0.141386,0.0,0.005529,0.858614,1.0,0.012161,0.0,0.005286,120.0,1.0,0.0,-0.037891,-0.006621,-0.029774,-0.005202,0.141386,0.135857,-0.141386,0.012161,0.006876,119.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.287883,0.299071,0.190121,-0.008612,0.0,-0.083867,0.140666,0.0,0.013578,0.859334,1.0,0.018488,0.0,0.010791,240.0,1.0,0.0,-0.011188,0.097762,-0.008612,0.075255,0.140666,0.127087,-0.140666,0.018488,0.007697,239.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.288338,0.344293,0.347888,-0.041624,0.0,0.002675,0.153356,0.0,0.000963,0.846644,1.0,0.016136,0.0,0.001834,125.0,1.0,0.0,-0.055955,-0.05955,-0.041624,-0.044299,0.153356,0.152392,-0.153356,0.016136,0.014302,124.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.406975,0.42204,0.322983,-0.010594,0.0,-0.069659,0.129472,0.0,0.014688,0.870528,1.0,0.017614,0.0,0.009529,238.0,1.0,0.0,-0.015066,0.083992,-0.010594,0.059064,0.129472,0.114785,-0.129472,0.017614,0.008085,237.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.314396,0.362189,0.31995,-0.035086,0.0,-0.031008,0.0901,0.0,0.002568,0.9099,1.0,0.026647,0.0,0.002222,256.0,1.0,0.0,-0.047794,-0.005554,-0.035086,-0.004077,0.0901,0.087532,-0.0901,0.026647,0.024425,255.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.241286,0.23565,0.208512,0.004562,0.0,-0.021963,0.114274,0.0,0.004325,0.885726,1.0,0.019632,0.0,0.004743,293.0,1.0,0.0,0.005637,0.032775,0.004562,0.026524,0.114274,0.109949,-0.114274,0.019632,0.01489,292.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.251141,0.272629,0.241359,-0.016885,0.0,-0.024572,0.066153,0.0,0.005529,0.933847,1.0,0.012493,0.0,0.005286,93.0,1.0,0.0,-0.021488,0.009783,-0.016885,0.007687,0.066153,0.060624,-0.066153,0.012493,0.007207,92.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.313548,0.299071,0.190121,0.011144,0.0,-0.083867,0.062381,0.0,0.013578,0.937619,1.0,0.014706,0.0,0.010791,157.0,1.0,0.0,0.014477,0.123427,0.011144,0.095012,0.062381,0.048803,-0.062381,0.014706,0.003915,156.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.303055,0.344293,0.347888,-0.030676,0.0,0.002675,0.138291,0.0,0.000963,0.861709,1.0,0.013944,0.0,0.001834,125.0,1.0,0.0,-0.041237,-0.044833,-0.030676,-0.033351,0.138291,0.137328,-0.138291,0.013944,0.012111,124.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.397457,0.42204,0.322983,-0.017287,0.0,-0.069659,0.129045,0.0,0.014688,0.870955,1.0,0.015344,0.0,0.009529,239.0,1.0,0.0,-0.024583,0.074474,-0.017287,0.052371,0.129045,0.114357,-0.129045,0.015344,0.005815,238.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.34163,0.362189,0.31995,-0.015092,0.0,-0.031008,0.088654,0.0,0.002568,0.911346,1.0,0.019783,0.0,0.002222,173.0,1.0,0.0,-0.020559,0.021681,-0.015092,0.015916,0.088654,0.086085,-0.088654,0.019783,0.017561,172.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.228237,0.23565,0.208512,-0.005999,0.0,-0.021963,0.125863,0.0,0.004325,0.874137,1.0,0.023601,0.0,0.004743,295.0,1.0,0.0,-0.007412,0.019726,-0.005999,0.015964,0.125863,0.121538,-0.125863,0.023601,0.018859,294.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.069131,0.052584,0.04402,0.01572,0.0,-0.008137,0.136615,0.0,0.002896,0.863385,1.0,0.021091,0.0,0.005638,125.0,1.0,0.0,0.016547,0.025111,0.01572,0.023857,0.136615,0.133719,-0.136615,0.021091,0.015453,124.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.766391,0.796711,0.673352,-0.016875,0.0,-0.068658,0.120626,0.0,0.012027,0.879374,1.0,0.018562,0.0,0.007426,297.0,1.0,0.0,-0.03032,0.093039,-0.016875,0.051783,0.120626,0.108599,-0.120626,0.018562,0.011136,296.0
regime,7,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.358467,0.404754,0.404754,-0.03295,0.0,0.0,0.110781,0.0,0.0,0.889219,1.0,0.014383,0.0,0.0,105.0,1.0,0.0,-0.046287,-0.046287,-0.03295,-0.03295,0.110781,0.110781,-0.110781,0.014383,0.014383,104.0
regime,7,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.532803,0.574403,0.539825,-0.026422,0.0,-0.021963,0.12181,0.0,0.003624,0.87819,1.0,0.018694,0.0,0.003974,292.0,1.0,0.0,-0.041599,-0.007021,-0.026422,-0.00446,0.12181,0.118185,-0.12181,0.018694,0.01472,291.0
regime,7,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.174955,0.191296,0.154355,-0.013717,0.0,-0.031008,0.098238,0.0,0.003586,0.901762,1.0,0.026319,0.0,0.003103,163.0,1.0,0.0,-0.016341,0.0206,-0.013717,0.017292,0.098238,0.094652,-0.098238,0.026319,0.023216,162.0
regime,7,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.388404,0.420097,0.388908,-0.022317,0.0,-0.021963,0.102384,0.0,0.003624,0.897616,1.0,0.022183,0.0,0.003974,347.0,1.0,0.0,-0.031693,-0.000504,-0.022317,-0.000355,0.102384,0.098759,-0.102384,0.022183,0.018209,346.0
regime,17,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.051138,0.052584,0.04402,-0.001374,0.0,-0.008137,0.16416,0.0,0.002896,0.83584,1.0,0.018886,0.0,0.005638,124.0,1.0,0.0,-0.001447,0.007118,-0.001374,0.006762,0.16416,0.161264,-0.16416,0.018886,0.013248,123.0
