split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.267328,0.272629,0.241359,-0.004165,0.0,-0.024572,0.020862,0.0,0.005529,0.979138,1.0,0.000471,0.0,0.005286,8.0,1.0,0.0,-0.005301,0.02597,-0.004165,0.020406,0.020862,0.015333,-0.020862,0.000471,-0.004815,7.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.308462,0.299071,0.190121,0.007229,0.0,-0.083867,0.027102,0.0,0.013578,0.972898,1.0,0.002874,0.0,0.010791,37.0,1.0,0.0,0.009391,0.118341,0.007229,0.091096,0.027102,0.013524,-0.027102,0.002874,-0.007916,36.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.256128,0.344293,0.347888,-0.065584,0.0,0.002675,0.160042,0.0,0.000963,0.839958,1.0,0.021294,0.0,0.001834,159.0,1.0,0.0,-0.088164,-0.09176,-0.065584,-0.068259,0.160042,0.159079,-0.160042,0.021294,0.01946,158.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.407186,0.42204,0.322983,-0.010445,0.0,-0.069659,0.149807,0.0,0.014688,0.850193,1.0,0.018724,0.0,0.009529,233.0,1.0,0.0,-0.014854,0.084203,-0.010445,0.059213,0.149807,0.13512,-0.149807,0.018724,0.009195,232.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.301038,0.362189,0.31995,-0.044892,0.0,-0.031008,0.138721,0.0,0.002568,0.861279,1.0,0.018005,0.0,0.002222,160.0,1.0,0.0,-0.061151,-0.018911,-0.044892,-0.013883,0.138721,0.136153,-0.138721,0.018005,0.015783,159.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.209965,0.23565,0.208512,-0.020786,0.0,-0.021963,0.135948,0.0,0.004325,0.864052,1.0,0.023334,0.0,0.004743,291.0,1.0,0.0,-0.025685,0.001453,-0.020786,0.001176,0.135948,0.131623,-0.135948,0.023334,0.018591,290.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.264917,0.272629,0.241359,-0.00606,0.0,-0.024572,0.06676,0.0,0.005529,0.93324,1.0,0.011484,0.0,0.005286,95.0,1.0,0.0,-0.007712,0.023558,-0.00606,0.018512,0.06676,0.061231,-0.06676,0.011484,0.006199,94.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.316893,0.299071,0.190121,0.01372,0.0,-0.083867,0.068616,0.0,0.013578,0.931384,1.0,0.009914,0.0,0.010791,116.0,1.0,0.0,0.017823,0.126772,0.01372,0.097587,0.068616,0.055038,-0.068616,0.009914,-0.000877,115.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.316771,0.344293,0.347888,-0.020473,0.0,0.002675,0.081066,0.0,0.000963,0.918934,1.0,0.019748,0.0,0.001834,188.0,1.0,0.0,-0.027521,-0.031117,-0.020473,-0.023147,0.081066,0.080103,-0.081066,0.019748,0.017915,187.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.388364,0.42204,0.322983,-0.023682,0.0,-0.069659,0.094274,0.0,0.014688,0.905726,1.0,0.023444,0.0,0.009529,326.0,1.0,0.0,-0.033677,0.065381,-0.023682,0.045977,0.094274,0.079587,-0.094274,0.023444,0.013915,325.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.302851,0.362189,0.31995,-0.043561,0.0,-0.031008,0.138318,0.0,0.002568,0.861682,1.0,0.023591,0.0,0.002222,180.0,1.0,0.0,-0.059338,-0.017099,-0.043561,-0.012553,0.138318,0.13575,-0.138318,0.023591,0.021369,179.0
