split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.267606,0.272629,0.0,-0.003947,0.0,-0.214225,0.039725,0.0,1.0,0.960275,1.0,0.007482,0.0,0.0,67.0,1.0,0.0,-0.005023,0.267606,-0.003947,0.210278,0.039725,-0.960275,-0.039725,0.007482,0.007482,66.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.368423,0.299071,0.0,0.053386,0.0,-0.230219,0.061886,0.0,1.0,0.938114,1.0,0.014922,0.0,0.0,162.0,1.0,0.0,0.069352,0.368423,0.053386,0.283605,0.061886,-0.938114,-0.061886,0.014922,0.014922,161.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.296804,0.344293,0.007149,-0.035326,0.0,-0.250796,0.166061,0.0,0.993548,0.833939,1.0,0.014146,0.0,0.004301,100.0,1.0,0.0,-0.047489,0.289655,-0.035326,0.21547,0.166061,-0.827488,-0.166061,0.014146,0.009845,99.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.421569,0.42204,0.0,-0.000332,0.0,-0.296785,0.162228,0.0,1.0,0.837772,1.0,0.014452,0.0,0.0,171.0,1.0,0.0,-0.000472,0.421569,-0.000332,0.296454,0.162228,-0.837772,-0.162228,0.014452,0.014452,170.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.313286,0.362189,-0.018816,-0.035901,0.0,-0.279701,0.108966,0.0,0.997849,0.891034,1.0,0.016311,0.0,0.004301,108.0,1.0,0.0,-0.048903,0.332102,-0.035901,0.2438,0.108966,-0.888884,-0.108966,0.016311,0.01201,107.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.241259,0.23565,0.007149,0.00454,0.0,-0.184924,0.106929,0.0,0.995702,0.893071,1.0,0.015466,0.0,0.002865,137.0,1.0,0.0,0.00561,0.23411,0.00454,0.189463,0.106929,-0.888773,-0.106929,0.015466,0.012601,136.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.221159,0.272629,0.0,-0.040444,0.0,-0.214225,0.161976,0.0,1.0,0.838024,1.0,0.019074,0.0,0.0,128.0,1.0,0.0,-0.05147,0.221159,-0.040444,0.173781,0.161976,-0.838024,-0.161976,0.019074,0.019074,127.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.292661,0.299071,0.0,-0.004934,0.0,-0.230219,0.182188,0.0,1.0,0.817812,1.0,0.016745,0.0,0.0,155.0,1.0,0.0,-0.00641,0.292661,-0.004934,0.225285,0.182188,-0.817812,-0.182188,0.016745,0.016745,154.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.321295,0.344293,0.007149,-0.017107,0.0,-0.250796,0.073135,0.0,0.993548,0.926865,1.0,0.003143,0.0,0.004301,30.0,1.0,0.0,-0.022997,0.314147,-0.017107,0.233689,0.073135,-0.920413,-0.073135,0.003143,-0.001158,29.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.490564,0.42204,0.0,0.048187,0.0,-0.296785,0.093245,0.0,1.0,0.906755,1.0,0.01173,0.0,0.0,117.0,1.0,0.0,0.068524,0.490564,0.048187,0.344972,0.093245,-0.906755,-0.093245,0.01173,0.01173,116.0
