split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268152,0.272629,0.0,-0.003518,0.0,-0.214225,0.090271,0.0,1.0,0.909729,1.0,0.020338,0.0,0.0,194.0,1.0,0.0,-0.004478,0.268152,-0.003518,0.210707,0.090271,-0.909729,-0.090271,0.020338,0.020338,193.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.313069,0.299071,0.0,0.010776,0.0,-0.230219,0.110895,0.0,1.0,0.889105,1.0,0.023689,0.0,0.0,327.0,1.0,0.0,0.013998,0.313069,0.010776,0.240995,0.110895,-0.889105,-0.110895,0.023689,0.023689,326.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.29033,0.344293,0.007149,-0.040142,0.0,-0.250796,0.108785,0.0,0.993548,0.891215,1.0,0.015644,0.0,0.004301,171.0,1.0,0.0,-0.053963,0.283181,-0.040142,0.210654,0.108785,-0.884763,-0.108785,0.015644,0.011343,170.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.459815,0.42204,0.0,0.026564,0.0,-0.296785,0.101192,0.0,1.0,0.898808,1.0,0.020904,0.0,0.0,309.0,1.0,0.0,0.037775,0.459815,0.026564,0.323349,0.101192,-0.898808,-0.101192,0.020904,0.020904,308.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.330556,0.362189,-0.018816,-0.023222,0.0,-0.279701,0.090471,0.0,0.997849,0.909529,1.0,0.014673,0.0,0.004301,157.0,1.0,0.0,-0.031633,0.349372,-0.023222,0.256478,0.090471,-0.907378,-0.090471,0.014673,0.010372,156.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.225804,0.23565,0.007149,-0.007968,0.0,-0.184924,0.118184,0.0,0.995702,0.881816,1.0,0.016468,0.0,0.002865,260.0,1.0,0.0,-0.009845,0.218656,-0.007968,0.176956,0.118184,-0.877518,-0.118184,0.016468,0.013602,259.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.250701,0.272629,0.0,-0.017231,0.0,-0.214225,0.076893,0.0,1.0,0.923107,1.0,0.01056,0.0,0.0,98.0,1.0,0.0,-0.021928,0.250701,-0.017231,0.196995,0.076893,-0.923107,-0.076893,0.01056,0.01056,97.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.311983,0.299071,0.0,0.009939,0.0,-0.230219,0.086595,0.0,1.0,0.913405,1.0,0.011325,0.0,0.0,173.0,1.0,0.0,0.012912,0.311983,0.009939,0.240158,0.086595,-0.913405,-0.086595,0.011325,0.011325,172.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.293022,0.344293,0.007149,-0.038139,0.0,-0.250796,0.06897,0.0,0.993548,0.93103,1.0,0.021665,0.0,0.004301,171.0,1.0,0.0,-0.05127,0.285873,-0.038139,0.212657,0.06897,-0.924579,-0.06897,0.021665,0.017364,170.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.44879,0.42204,0.0,0.018811,0.0,-0.296785,0.079261,0.0,1.0,0.920739,1.0,0.024111,0.0,0.0,284.0,1.0,0.0,0.02675,0.44879,0.018811,0.315596,0.079261,-0.920739,-0.079261,0.024111,0.024111,283.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.304046,0.362189,-0.018816,-0.042684,0.0,-0.279701,0.084391,0.0,0.997849,0.915609,1.0,0.021911,0.0,0.004301,211.0,1.0,0.0,-0.058143,0.322862,-0.042684,0.237017,0.084391,-0.913459,-0.084391,0.021911,0.01761,210.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.249347,0.23565,0.007149,0.011085,0.0,-0.184924,0.071229,0.0,0.995702,0.928771,1.0,0.016051,0.0,0.002865,228.0,1.0,0.0,0.013697,0.242198,0.011085,0.196008,0.071229,-0.924473,-0.071229,0.016051,0.013186,227.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.22765,0.272629,0.0,-0.035344,0.0,-0.214225,0.142401,0.0,1.0,0.857599,1.0,0.015606,0.0,0.0,132.0,1.0,0.0,-0.044979,0.22765,-0.035344,0.178881,0.142401,-0.857599,-0.142401,0.015606,0.015606,131.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.302456,0.299071,0.0,0.002606,0.0,-0.230219,0.141487,0.0,1.0,0.858513,1.0,0.013053,0.0,0.0,156.0,1.0,0.0,0.003386,0.302456,0.002606,0.232825,0.141487,-0.858513,-0.141487,0.013053,0.013053,155.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.289671,0.344293,0.007149,-0.040632,0.0,-0.250796,0.096976,0.0,0.993548,0.903024,1.0,0.026428,0.0,0.004301,196.0,1.0,0.0,-0.054621,0.282522,-0.040632,0.210164,0.096976,-0.896572,-0.096976,0.026428,0.022127,195.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.416438,0.42204,0.0,-0.003939,0.0,-0.296785,0.107021,0.0,1.0,0.892979,1.0,0.026903,0.0,0.0,300.0,1.0,0.0,-0.005602,0.416438,-0.003939,0.292846,0.107021,-0.892979,-0.107021,0.026903,0.026903,299.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.307086,0.362189,-0.018816,-0.040452,0.0,-0.279701,0.138721,0.0,0.997849,0.861279,1.0,0.01981,0.0,0.004301,164.0,1.0,0.0,-0.055103,0.325902,-0.040452,0.239249,0.138721,-0.859128,-0.138721,0.01981,0.015509,163.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.235014,0.23565,0.007149,-0.000514,0.0,-0.184924,0.120703,0.0,0.995702,0.879297,1.0,0.014962,0.0,0.002865,208.0,1.0,0.0,-0.000635,0.227866,-0.000514,0.18441,0.120703,-0.874999,-0.120703,0.014962,0.012097,207.0
