split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.238688,0.272629,0.0,-0.02667,0.0,-0.214225,0.056639,0.0,1.0,0.943361,1.0,0.016984,0.0,0.0,141.0,1.0,0.0,-0.033941,0.238688,-0.02667,0.187555,0.056639,-0.943361,-0.056639,0.016984,0.016984,140.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.325911,0.299071,0.0,0.020662,0.0,-0.230219,0.052155,0.0,1.0,0.947845,1.0,0.013538,0.0,0.0,158.0,1.0,0.0,0.026841,0.325911,0.020662,0.25088,0.052155,-0.947845,-0.052155,0.013538,0.013538,157.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.30043,0.344293,0.007149,-0.032629,0.0,-0.250796,0.070896,0.0,0.993548,0.929104,1.0,0.016277,0.0,0.004301,160.0,1.0,0.0,-0.043863,0.293281,-0.032629,0.218167,0.070896,-0.922653,-0.070896,0.016277,0.011976,159.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.435169,0.42204,0.0,0.009233,0.0,-0.296785,0.072881,0.0,1.0,0.927119,1.0,0.018389,0.0,0.0,263.0,1.0,0.0,0.013129,0.435169,0.009233,0.306018,0.072881,-0.927119,-0.072881,0.018389,0.018389,262.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.282685,0.362189,-0.018816,-0.058365,0.0,-0.279701,0.160888,0.0,0.997849,0.839112,1.0,0.019045,0.0,0.004301,132.0,1.0,0.0,-0.079504,0.301501,-0.058365,0.221336,0.160888,-0.836961,-0.160888,0.019045,0.014744,131.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.238435,0.23565,0.007149,0.002254,0.0,-0.184924,0.14843,0.0,0.995702,0.85157,1.0,0.030274,0.0,0.002865,299.0,1.0,0.0,0.002785,0.231286,0.002254,0.187178,0.14843,-0.847272,-0.14843,0.030274,0.027408,298.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.263341,0.272629,0.0,-0.007298,0.0,-0.214225,0.073659,0.0,1.0,0.926341,1.0,0.021095,0.0,0.0,180.0,1.0,0.0,-0.009288,0.263341,-0.007298,0.206927,0.073659,-0.926341,-0.073659,0.021095,0.021095,179.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.323468,0.299071,0.0,0.018781,0.0,-0.230219,0.08126,0.0,1.0,0.91874,1.0,0.019314,0.0,0.0,263.0,1.0,0.0,0.024398,0.323468,0.018781,0.249,0.08126,-0.91874,-0.08126,0.019314,0.019314,262.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.263579,0.344293,0.007149,-0.060042,0.0,-0.250796,0.176696,0.0,0.993548,0.823304,1.0,0.017402,0.0,0.004301,114.0,1.0,0.0,-0.080714,0.25643,-0.060042,0.190754,0.176696,-0.816852,-0.176696,0.017402,0.013101,113.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.38814,0.42204,0.0,-0.023839,0.0,-0.296785,0.164476,0.0,1.0,0.835524,1.0,0.011752,0.0,0.0,142.0,1.0,0.0,-0.0339,0.38814,-0.023839,0.272946,0.164476,-0.835524,-0.164476,0.011752,0.011752,141.0
