split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.246704,0.272629,0.0,-0.020371,0.0,-0.214225,0.065708,0.0,1.0,0.934292,1.0,0.016063,0.0,0.0,151.0,1.0,0.0,-0.025925,0.246704,-0.020371,0.193854,0.065708,-0.934292,-0.065708,0.016063,0.016063,150.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.317103,0.299071,0.0,0.013881,0.0,-0.230219,0.074041,0.0,1.0,0.925959,1.0,0.0158,0.0,0.0,240.0,1.0,0.0,0.018032,0.317103,0.013881,0.2441,0.074041,-0.925959,-0.074041,0.0158,0.0158,239.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.29033,0.344293,0.007149,-0.040142,0.0,-0.250796,0.108785,0.0,0.993548,0.891215,1.0,0.015644,0.0,0.004301,171.0,1.0,0.0,-0.053963,0.283181,-0.040142,0.210654,0.108785,-0.884763,-0.108785,0.015644,0.011343,170.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.459815,0.42204,0.0,0.026564,0.0,-0.296785,0.101192,0.0,1.0,0.898808,1.0,0.020904,0.0,0.0,309.0,1.0,0.0,0.037775,0.459815,0.026564,0.323349,0.101192,-0.898808,-0.101192,0.020904,0.020904,308.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.335698,0.362189,-0.018816,-0.019447,0.0,-0.279701,0.088872,0.0,0.997849,0.911128,1.0,0.022222,0.0,0.004301,205.0,1.0,0.0,-0.026491,0.354514,-0.019447,0.260253,0.088872,-0.908978,-0.088872,0.022222,0.017921,204.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.228599,0.23565,0.007149,-0.005706,0.0,-0.184924,0.077021,0.0,0.995702,0.922979,1.0,0.020393,0.0,0.002865,294.0,1.0,0.0,-0.007051,0.22145,-0.005706,0.179217,0.077021,-0.918681,-0.077021,0.020393,0.017528,293.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.22467,0.272629,0.0,-0.037685,0.0,-0.214225,0.058724,0.0,1.0,0.941276,1.0,0.021755,0.0,0.0,184.0,1.0,0.0,-0.047959,0.22467,-0.037685,0.17654,0.058724,-0.941276,-0.058724,0.021755,0.021755,183.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.302425,0.299071,0.0,0.002583,0.0,-0.230219,0.066265,0.0,1.0,0.933735,1.0,0.020608,0.0,0.0,256.0,1.0,0.0,0.003355,0.302425,0.002583,0.232801,0.066265,-0.933735,-0.066265,0.020608,0.020608,255.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.288398,0.344293,0.007149,-0.041579,0.0,-0.250796,0.108102,0.0,0.993548,0.891898,1.0,0.022015,0.0,0.004301,187.0,1.0,0.0,-0.055894,0.28125,-0.041579,0.209218,0.108102,-0.885446,-0.108102,0.022015,0.017714,186.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.450644,0.42204,0.0,0.020114,0.0,-0.296785,0.089875,0.0,1.0,0.910125,1.0,0.020013,0.0,0.0,274.0,1.0,0.0,0.028604,0.450644,0.020114,0.3169,0.089875,-0.910125,-0.089875,0.020013,0.020013,273.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.304046,0.362189,-0.018816,-0.042684,0.0,-0.279701,0.084391,0.0,0.997849,0.915609,1.0,0.021911,0.0,0.004301,211.0,1.0,0.0,-0.058143,0.322862,-0.042684,0.237017,0.084391,-0.913459,-0.084391,0.021911,0.01761,210.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.249347,0.23565,0.007149,0.011085,0.0,-0.184924,0.071229,0.0,0.995702,0.928771,1.0,0.016051,0.0,0.002865,228.0,1.0,0.0,0.013697,0.242198,0.011085,0.196008,0.071229,-0.924473,-0.071229,0.016051,0.013186,227.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.227564,0.272629,0.0,-0.035411,0.0,-0.214225,0.086299,0.0,1.0,0.913701,1.0,0.020954,0.0,0.0,180.0,1.0,0.0,-0.045066,0.227564,-0.035411,0.178814,0.086299,-0.913701,-0.086299,0.020954,0.020954,179.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.289036,0.299071,0.0,-0.007724,0.0,-0.230219,0.089946,0.0,1.0,0.910054,1.0,0.018454,0.0,0.0,225.0,1.0,0.0,-0.010035,0.289036,-0.007724,0.222494,0.089946,-0.910054,-0.089946,0.018454,0.018454,224.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.289671,0.344293,0.007149,-0.040632,0.0,-0.250796,0.096976,0.0,0.993548,0.903024,1.0,0.026428,0.0,0.004301,196.0,1.0,0.0,-0.054621,0.282522,-0.040632,0.210164,0.096976,-0.896572,-0.096976,0.026428,0.022127,195.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.416438,0.42204,0.0,-0.003939,0.0,-0.296785,0.107021,0.0,1.0,0.892979,1.0,0.026903,0.0,0.0,300.0,1.0,0.0,-0.005602,0.416438,-0.003939,0.292846,0.107021,-0.892979,-0.107021,0.026903,0.026903,299.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.307086,0.362189,-0.018816,-0.040452,0.0,-0.279701,0.138721,0.0,0.997849,0.861279,1.0,0.01981,0.0,0.004301,164.0,1.0,0.0,-0.055103,0.325902,-0.040452,0.239249,0.138721,-0.859128,-0.138721,0.01981,0.015509,163.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.235014,0.23565,0.007149,-0.000514,0.0,-0.184924,0.120703,0.0,0.995702,0.879297,1.0,0.014962,0.0,0.002865,208.0,1.0,0.0,-0.000635,0.227866,-0.000514,0.18441,0.120703,-0.874999,-0.120703,0.014962,0.012097,207.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.04017,0.052584,0.0,-0.011795,0.0,-0.049957,0.07553,0.0,1.0,0.92447,1.0,0.017377,0.0,0.0,90.0,1.0,0.0,-0.012415,0.04017,-0.011795,0.038163,0.07553,-0.92447,-0.07553,0.017377,0.017377,89.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.788692,0.796711,0.0,-0.004463,0.0,-0.443427,0.077292,0.0,1.0,0.922708,1.0,0.015546,0.0,0.0,240.0,1.0,0.0,-0.008019,0.788692,-0.004463,0.438964,0.077292,-0.922708,-0.077292,0.015546,0.015546,239.0
regime,7,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.356594,0.404754,0.007149,-0.034284,0.0,-0.283043,0.081232,0.0,0.990991,0.918768,1.0,0.007828,0.0,0.006006,58.0,1.0,0.0,-0.04816,0.349445,-0.034284,0.248759,0.081232,-0.909759,-0.081232,0.007828,0.001822,57.0
