split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.224497,0.272629,0.0,-0.037821,0.0,-0.214225,0.143036,0.0,1.0,0.856964,1.0,0.012001,0.0,0.0,77.0,1.0,0.0,-0.048132,0.224497,-0.037821,0.176404,0.143036,-0.856964,-0.143036,0.012001,0.012001,76.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.260812,0.299071,0.0,-0.029451,0.0,-0.230219,0.151572,0.0,1.0,0.848428,1.0,0.014968,0.0,0.0,129.0,1.0,0.0,-0.038259,0.260812,-0.029451,0.200768,0.151572,-0.848428,-0.151572,0.014968,0.014968,128.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.292065,0.344293,0.007149,-0.038851,0.0,-0.250796,0.134774,0.0,0.993548,0.865226,1.0,0.020773,0.0,0.004301,110.0,1.0,0.0,-0.052227,0.284916,-0.038851,0.211945,0.134774,-0.858774,-0.134774,0.020773,0.016472,109.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.389726,0.42204,0.0,-0.022724,0.0,-0.296785,0.146659,0.0,1.0,0.853341,1.0,0.013075,0.0,0.0,112.0,1.0,0.0,-0.032314,0.389726,-0.022724,0.274061,0.146659,-0.853341,-0.146659,0.013075,0.013075,111.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.303191,0.362189,-0.018816,-0.043311,0.0,-0.279701,0.137742,0.0,0.997849,0.862258,1.0,0.007838,0.0,0.004301,47.0,1.0,0.0,-0.058998,0.322007,-0.043311,0.236389,0.137742,-0.860107,-0.137742,0.007838,0.003537,46.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.211268,0.23565,0.007149,-0.019732,0.0,-0.184924,0.151525,0.0,0.995702,0.848475,1.0,0.015515,0.0,0.002865,143.0,1.0,0.0,-0.024381,0.20412,-0.019732,0.165192,0.151525,-0.844177,-0.151525,0.015515,0.01265,142.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.240131,0.272629,0.0,-0.025536,0.0,-0.214225,0.114646,0.0,1.0,0.885354,1.0,0.016813,0.0,0.0,110.0,1.0,0.0,-0.032498,0.240131,-0.025536,0.188689,0.114646,-0.885354,-0.114646,0.016813,0.016813,109.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.277416,0.299071,0.0,-0.01667,0.0,-0.230219,0.108425,0.0,1.0,0.891575,1.0,0.015516,0.0,0.0,144.0,1.0,0.0,-0.021655,0.277416,-0.01667,0.213549,0.108425,-0.891575,-0.108425,0.015516,0.015516,143.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.285354,0.344293,0.007149,-0.043843,0.0,-0.250796,0.147027,0.0,0.993548,0.852973,1.0,0.010209,0.0,0.004301,61.0,1.0,0.0,-0.058938,0.278206,-0.043843,0.206953,0.147027,-0.846521,-0.147027,0.010209,0.005908,60.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.396429,0.42204,0.0,-0.018011,0.0,-0.296785,0.132358,0.0,1.0,0.867642,1.0,0.012926,0.0,0.0,115.0,1.0,0.0,-0.025612,0.396429,-0.018011,0.278775,0.132358,-0.867642,-0.132358,0.012926,0.012926,114.0
