split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.216553,0.272629,0.0,-0.044063,0.0,-0.214225,0.134327,0.0,1.0,0.865673,1.0,0.02636,0.0,0.0,223.0,1.0,0.0,-0.056076,0.216553,-0.044063,0.170162,0.134327,-0.865673,-0.134327,0.02636,0.02636,222.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.3052,0.299071,0.0,0.004718,0.0,-0.230219,0.145997,0.0,1.0,0.854003,1.0,0.018171,0.0,0.0,263.0,1.0,0.0,0.00613,0.3052,0.004718,0.234937,0.145997,-0.854003,-0.145997,0.018171,0.018171,262.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.288104,0.344293,0.007149,-0.041798,0.0,-0.250796,0.105243,0.0,0.993548,0.894757,1.0,0.016079,0.0,0.004301,149.0,1.0,0.0,-0.056188,0.280956,-0.041798,0.208999,0.105243,-0.888305,-0.105243,0.016079,0.011777,148.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.402406,0.42204,0.0,-0.013807,0.0,-0.296785,0.113383,0.0,1.0,0.886617,1.0,0.019575,0.0,0.0,279.0,1.0,0.0,-0.019634,0.402406,-0.013807,0.282978,0.113383,-0.886617,-0.113383,0.019575,0.019575,278.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.282493,0.362189,-0.018816,-0.058506,0.0,-0.279701,0.126686,0.0,0.997849,0.873314,1.0,0.021072,0.0,0.004301,208.0,1.0,0.0,-0.079696,0.301309,-0.058506,0.221195,0.126686,-0.871164,-0.126686,0.021072,0.016771,207.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.192292,0.23565,0.007149,-0.035089,0.0,-0.184924,0.13385,0.0,0.995702,0.86615,1.0,0.018455,0.0,0.002865,279.0,1.0,0.0,-0.043358,0.185143,-0.035089,0.149835,0.13385,-0.861852,-0.13385,0.018455,0.01559,278.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.237415,0.272629,0.0,-0.02767,0.0,-0.214225,0.122301,0.0,1.0,0.877699,1.0,0.018861,0.0,0.0,189.0,1.0,0.0,-0.035214,0.237415,-0.02767,0.186555,0.122301,-0.877699,-0.122301,0.018861,0.018861,188.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.254566,0.299071,0.0,-0.034259,0.0,-0.230219,0.125788,0.0,1.0,0.874212,1.0,0.020463,0.0,0.0,287.0,1.0,0.0,-0.044505,0.254566,-0.034259,0.19596,0.125788,-0.874212,-0.125788,0.020463,0.020463,286.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.288134,0.344293,0.007149,-0.041776,0.0,-0.250796,0.138968,0.0,0.993548,0.861032,1.0,0.022834,0.0,0.004301,178.0,1.0,0.0,-0.056159,0.280985,-0.041776,0.209021,0.138968,-0.85458,-0.138968,0.022834,0.018533,177.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.413423,0.42204,0.0,-0.00606,0.0,-0.296785,0.122543,0.0,1.0,0.877457,1.0,0.020942,0.0,0.0,269.0,1.0,0.0,-0.008617,0.413423,-0.00606,0.290725,0.122543,-0.877457,-0.122543,0.020942,0.020942,268.0
