split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.225522,0.272629,0.0,-0.037016,0.0,-0.214225,0.091069,0.0,1.0,0.908931,1.0,0.028213,0.0,0.0,179.0,1.0,0.0,-0.047107,0.225522,-0.037016,0.177209,0.091069,-0.908931,-0.091069,0.028213,0.028213,178.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.326158,0.299071,0.0,0.020851,0.0,-0.230219,0.093415,0.0,1.0,0.906585,1.0,0.026382,0.0,0.0,255.0,1.0,0.0,0.027087,0.326158,0.020851,0.25107,0.093415,-0.906585,-0.093415,0.026382,0.026382,254.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.29843,0.344293,0.007149,-0.034117,0.0,-0.250796,0.097409,0.0,0.993548,0.902591,1.0,0.011499,0.0,0.004301,112.0,1.0,0.0,-0.045863,0.291281,-0.034117,0.21668,0.097409,-0.89614,-0.097409,0.011499,0.007198,111.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.410478,0.42204,0.0,-0.00813,0.0,-0.296785,0.111932,0.0,1.0,0.888068,1.0,0.017313,0.0,0.0,227.0,1.0,0.0,-0.011562,0.410478,-0.00813,0.288655,0.111932,-0.888068,-0.111932,0.017313,0.017313,226.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.313738,0.362189,-0.018816,-0.035569,0.0,-0.279701,0.147486,0.0,0.997849,0.852514,1.0,0.009473,0.0,0.004301,113.0,1.0,0.0,-0.048452,0.332554,-0.035569,0.244132,0.147486,-0.850364,-0.147486,0.009473,0.005172,112.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.21724,0.23565,0.007149,-0.014899,0.0,-0.184924,0.156082,0.0,0.995702,0.843918,1.0,0.010034,0.0,0.002865,184.0,1.0,0.0,-0.01841,0.210091,-0.014899,0.170025,0.156082,-0.83962,-0.156082,0.010034,0.007168,183.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.242672,0.272629,0.0,-0.023539,0.0,-0.214225,0.266598,0.0,1.0,0.733402,1.0,0.019844,0.0,0.0,157.0,1.0,0.0,-0.029957,0.242672,-0.023539,0.190686,0.266598,-0.733402,-0.266598,0.019844,0.019844,156.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.271225,0.299071,0.0,-0.021435,0.0,-0.230219,0.280557,0.0,1.0,0.719443,1.0,0.016201,0.0,0.0,187.0,1.0,0.0,-0.027846,0.271225,-0.021435,0.208784,0.280557,-0.719443,-0.280557,0.016201,0.016201,186.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.277106,0.344293,0.007149,-0.049979,0.0,-0.250796,0.207563,0.0,0.993548,0.792437,1.0,0.027413,0.0,0.004301,217.0,1.0,0.0,-0.067187,0.269957,-0.049979,0.200817,0.207563,-0.785985,-0.207563,0.027413,0.023112,216.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.389922,0.42204,0.0,-0.022586,0.0,-0.296785,0.216619,0.0,1.0,0.783381,1.0,0.020261,0.0,0.0,242.0,1.0,0.0,-0.032118,0.389922,-0.022586,0.274199,0.216619,-0.783381,-0.216619,0.020261,0.020261,241.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.296741,0.362189,-0.018816,-0.048046,0.0,-0.279701,0.110607,0.0,0.997849,0.889393,1.0,0.025443,0.0,0.004301,198.0,1.0,0.0,-0.065448,0.315557,-0.048046,0.231654,0.110607,-0.887242,-0.110607,0.025443,0.021142,197.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.254874,0.23565,0.007149,0.015558,0.0,-0.184924,0.119897,0.0,0.995702,0.880103,1.0,0.029786,0.0,0.002865,341.0,1.0,0.0,0.019225,0.247726,0.015558,0.200482,0.119897,-0.875805,-0.119897,0.029786,0.026921,340.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.23955,0.272629,0.0,-0.025992,0.0,-0.214225,0.131409,0.0,1.0,0.868591,1.0,0.011916,0.0,0.0,86.0,1.0,0.0,-0.033079,0.23955,-0.025992,0.188233,0.131409,-0.868591,-0.131409,0.011916,0.011916,85.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.28703,0.299071,0.0,-0.009268,0.0,-0.230219,0.116869,0.0,1.0,0.883131,1.0,0.010844,0.0,0.0,125.0,1.0,0.0,-0.01204,0.28703,-0.009268,0.220951,0.116869,-0.883131,-0.116869,0.010844,0.010844,124.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.27105,0.344293,0.007149,-0.054484,0.0,-0.250796,0.223306,0.0,0.993548,0.776694,1.0,0.023649,0.0,0.004301,181.0,1.0,0.0,-0.073242,0.263902,-0.054484,0.196313,0.223306,-0.770243,-0.223306,0.023649,0.019348,180.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.327714,0.42204,0.0,-0.066332,0.0,-0.296785,0.213879,0.0,1.0,0.786121,1.0,0.022906,0.0,0.0,284.0,1.0,0.0,-0.094327,0.327714,-0.066332,0.230453,0.213879,-0.786121,-0.213879,0.022906,0.022906,283.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.336326,0.362189,-0.018816,-0.018987,0.0,-0.279701,0.094992,0.0,0.997849,0.905008,1.0,0.024018,0.0,0.004301,220.0,1.0,0.0,-0.025863,0.355142,-0.018987,0.260714,0.094992,-0.902857,-0.094992,0.024018,0.019717,219.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.237811,0.23565,0.007149,0.001749,0.0,-0.184924,0.09544,0.0,0.995702,0.90456,1.0,0.026651,0.0,0.002865,346.0,1.0,0.0,0.002161,0.230662,0.001749,0.186673,0.09544,-0.900262,-0.09544,0.026651,0.023785,345.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.028994,0.052584,0.0,-0.022412,0.0,-0.049957,0.14594,0.0,1.0,0.85406,1.0,0.035196,0.0,0.0,197.0,1.0,0.0,-0.023591,0.028994,-0.022412,0.027545,0.14594,-0.85406,-0.14594,0.035196,0.035196,196.0
