split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.25571,0.272629,0.0,-0.013295,0.0,-0.214225,0.087248,0.0,1.0,0.912752,1.0,0.009271,0.0,0.0,83.0,1.0,0.0,-0.016919,0.25571,-0.013295,0.200931,0.087248,-0.912752,-0.087248,0.009271,0.009271,82.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.313749,0.299071,0.0,0.011299,0.0,-0.230219,0.108137,0.0,1.0,0.891863,1.0,0.013285,0.0,0.0,169.0,1.0,0.0,0.014678,0.313749,0.011299,0.241518,0.108137,-0.891863,-0.108137,0.013285,0.013285,168.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.292032,0.344293,0.007149,-0.038876,0.0,-0.250796,0.141426,0.0,0.993548,0.858574,1.0,0.019604,0.0,0.004301,156.0,1.0,0.0,-0.052261,0.284883,-0.038876,0.21192,0.141426,-0.852122,-0.141426,0.019604,0.015303,155.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.43641,0.42204,0.0,0.010105,0.0,-0.296785,0.128113,0.0,1.0,0.871887,1.0,0.020057,0.0,0.0,263.0,1.0,0.0,0.01437,0.43641,0.010105,0.30689,0.128113,-0.871887,-0.128113,0.020057,0.020057,262.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.329907,0.362189,-0.018816,-0.023698,0.0,-0.279701,0.049814,0.0,0.997849,0.950186,1.0,0.01348,0.0,0.004301,116.0,1.0,0.0,-0.032282,0.348723,-0.023698,0.256002,0.049814,-0.948035,-0.049814,0.01348,0.009179,115.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.246657,0.23565,0.007149,0.008908,0.0,-0.184924,0.053017,0.0,0.995702,0.946983,1.0,0.014674,0.0,0.002865,185.0,1.0,0.0,0.011007,0.239508,0.008908,0.193832,0.053017,-0.942685,-0.053017,0.014674,0.011808,184.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.243335,0.272629,0.0,-0.023019,0.0,-0.214225,0.114999,0.0,1.0,0.885001,1.0,0.008177,0.0,0.0,110.0,1.0,0.0,-0.029294,0.243335,-0.023019,0.191207,0.114999,-0.885001,-0.114999,0.008177,0.008177,109.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.286622,0.299071,0.0,-0.009583,0.0,-0.230219,0.119681,0.0,1.0,0.880319,1.0,0.008573,0.0,0.0,145.0,1.0,0.0,-0.012449,0.286622,-0.009583,0.220636,0.119681,-0.880319,-0.119681,0.008573,0.008573,144.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.292372,0.344293,0.007149,-0.038623,0.0,-0.250796,0.134387,0.0,0.993548,0.865613,1.0,0.029398,0.0,0.004301,219.0,1.0,0.0,-0.05192,0.285223,-0.038623,0.212174,0.134387,-0.859161,-0.134387,0.029398,0.025097,218.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.460637,0.42204,0.0,0.027142,0.0,-0.296785,0.130945,0.0,1.0,0.869055,1.0,0.024097,0.0,0.0,286.0,1.0,0.0,0.038597,0.460637,0.027142,0.323927,0.130945,-0.869055,-0.130945,0.024097,0.024097,285.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.287346,0.362189,-0.018816,-0.054944,0.0,-0.279701,0.124239,0.0,0.997849,0.875761,1.0,0.023473,0.0,0.004301,211.0,1.0,0.0,-0.074844,0.306162,-0.054944,0.224757,0.124239,-0.873611,-0.124239,0.023473,0.019172,210.0
