split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.256788,0.272629,0.0,-0.012448,0.0,-0.214225,0.091731,0.0,1.0,0.908269,1.0,0.02737,0.0,0.0,281.0,1.0,0.0,-0.015841,0.256788,-0.012448,0.201777,0.091731,-0.908269,-0.091731,0.02737,0.02737,280.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.331487,0.299071,0.0,0.024954,0.0,-0.230219,0.095843,0.0,1.0,0.904157,1.0,0.022578,0.0,0.0,329.0,1.0,0.0,0.032416,0.331487,0.024954,0.255173,0.095843,-0.904157,-0.095843,0.022578,0.022578,328.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.311277,0.344293,0.007149,-0.02456,0.0,-0.250796,0.117979,0.0,0.993548,0.882021,1.0,0.011825,0.0,0.004301,113.0,1.0,0.0,-0.033016,0.304128,-0.02456,0.226236,0.117979,-0.87557,-0.117979,0.011825,0.007524,112.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.421701,0.42204,0.0,-0.000239,0.0,-0.296785,0.115089,0.0,1.0,0.884911,1.0,0.014393,0.0,0.0,197.0,1.0,0.0,-0.000339,0.421701,-0.000239,0.296546,0.115089,-0.884911,-0.115089,0.014393,0.014393,196.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.329832,0.362189,-0.018816,-0.023754,0.0,-0.279701,0.130136,0.0,0.997849,0.869864,1.0,0.009762,0.0,0.004301,115.0,1.0,0.0,-0.032357,0.348648,-0.023754,0.255947,0.130136,-0.867713,-0.130136,0.009762,0.005461,114.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.231821,0.23565,0.007149,-0.003098,0.0,-0.184924,0.133751,0.0,0.995702,0.866249,1.0,0.011018,0.0,0.002865,172.0,1.0,0.0,-0.003828,0.224672,-0.003098,0.181825,0.133751,-0.861951,-0.133751,0.011018,0.008153,171.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.25268,0.272629,0.0,-0.015676,0.0,-0.214225,0.114377,0.0,1.0,0.885623,1.0,0.020562,0.0,0.0,180.0,1.0,0.0,-0.019949,0.25268,-0.015676,0.198549,0.114377,-0.885623,-0.114377,0.020562,0.020562,179.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.286156,0.299071,0.0,-0.009942,0.0,-0.230219,0.133657,0.0,1.0,0.866343,1.0,0.023508,0.0,0.0,276.0,1.0,0.0,-0.012915,0.286156,-0.009942,0.220277,0.133657,-0.866343,-0.133657,0.023508,0.023508,275.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.251993,0.344293,0.007149,-0.068661,0.0,-0.250796,0.148263,0.0,0.993548,0.851737,1.0,0.024573,0.0,0.004301,163.0,1.0,0.0,-0.0923,0.244844,-0.068661,0.182136,0.148263,-0.845286,-0.148263,0.024573,0.020272,162.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.436909,0.42204,0.0,0.010456,0.0,-0.296785,0.138724,0.0,1.0,0.861276,1.0,0.01876,0.0,0.0,216.0,1.0,0.0,0.014869,0.436909,0.010456,0.307241,0.138724,-0.861276,-0.138724,0.01876,0.01876,215.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.324112,0.362189,-0.018816,-0.027953,0.0,-0.279701,0.067245,0.0,0.997849,0.932755,1.0,0.017366,0.0,0.004301,118.0,1.0,0.0,-0.038077,0.342928,-0.027953,0.251748,0.067245,-0.930605,-0.067245,0.017366,0.013065,117.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.250307,0.23565,0.007149,0.011862,0.0,-0.184924,0.094644,0.0,0.995702,0.905356,1.0,0.015661,0.0,0.002865,169.0,1.0,0.0,0.014657,0.243158,0.011862,0.196786,0.094644,-0.901058,-0.094644,0.015661,0.012796,168.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.220922,0.272629,0.0,-0.04063,0.0,-0.214225,0.162674,0.0,1.0,0.837326,1.0,0.014903,0.0,0.0,122.0,1.0,0.0,-0.051707,0.220922,-0.04063,0.173595,0.162674,-0.837326,-0.162674,0.014903,0.014903,121.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.306472,0.299071,0.0,0.005698,0.0,-0.230219,0.150775,0.0,1.0,0.849225,1.0,0.018564,0.0,0.0,206.0,1.0,0.0,0.007402,0.306472,0.005698,0.235917,0.150775,-0.849225,-0.150775,0.018564,0.018564,205.0
