split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.200515,0.272629,0.0,-0.056666,0.0,-0.214225,0.152057,0.0,1.0,0.847943,1.0,0.016593,0.0,0.0,130.0,1.0,0.0,-0.072115,0.200515,-0.056666,0.157559,0.152057,-0.847943,-0.152057,0.016593,0.016593,129.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.310013,0.299071,0.0,0.008423,0.0,-0.230219,0.154586,0.0,1.0,0.845414,1.0,0.014729,0.0,0.0,173.0,1.0,0.0,0.010942,0.310013,0.008423,0.238642,0.154586,-0.845414,-0.154586,0.014729,0.014729,172.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.257352,0.344293,0.007149,-0.064674,0.0,-0.250796,0.154267,0.0,0.993548,0.845733,1.0,0.020727,0.0,0.004301,144.0,1.0,0.0,-0.086941,0.250203,-0.064674,0.186122,0.154267,-0.839282,-0.154267,0.020727,0.016426,143.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.407814,0.42204,0.0,-0.010004,0.0,-0.296785,0.137816,0.0,1.0,0.862184,1.0,0.013523,0.0,0.0,173.0,1.0,0.0,-0.014226,0.407814,-0.010004,0.286781,0.137816,-0.862184,-0.137816,0.013523,0.013523,172.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.27814,0.362189,-0.018816,-0.061701,0.0,-0.279701,0.141549,0.0,0.997849,0.858451,1.0,0.028818,0.0,0.004301,243.0,1.0,0.0,-0.084049,0.296956,-0.061701,0.217999,0.141549,-0.8563,-0.141549,0.028818,0.024517,242.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.240739,0.23565,0.007149,0.004119,0.0,-0.184924,0.138677,0.0,0.995702,0.861323,1.0,0.026229,0.0,0.002865,331.0,1.0,0.0,0.00509,0.233591,0.004119,0.189043,0.138677,-0.857025,-0.138677,0.026229,0.023364,330.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.221832,0.272629,0.0,-0.039915,0.0,-0.214225,0.104203,0.0,1.0,0.895797,1.0,0.018232,0.0,0.0,152.0,1.0,0.0,-0.050797,0.221832,-0.039915,0.17431,0.104203,-0.895797,-0.104203,0.018232,0.018232,151.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.308785,0.299071,0.0,0.007478,0.0,-0.230219,0.082426,0.0,1.0,0.917574,1.0,0.020124,0.0,0.0,229.0,1.0,0.0,0.009714,0.308785,0.007478,0.237697,0.082426,-0.917574,-0.082426,0.020124,0.020124,228.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.287202,0.344293,0.007149,-0.042468,0.0,-0.250796,0.107338,0.0,0.993548,0.892662,1.0,0.019531,0.0,0.004301,177.0,1.0,0.0,-0.05709,0.280054,-0.042468,0.208328,0.107338,-0.88621,-0.107338,0.019531,0.01523,176.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.421102,0.42204,0.0,-0.00066,0.0,-0.296785,0.102189,0.0,1.0,0.897811,1.0,0.016718,0.0,0.0,230.0,1.0,0.0,-0.000939,0.421102,-0.00066,0.296125,0.102189,-0.897811,-0.102189,0.016718,0.016718,229.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.287433,0.362189,-0.018816,-0.054879,0.0,-0.279701,0.098054,0.0,0.997849,0.901946,1.0,0.024327,0.0,0.004301,195.0,1.0,0.0,-0.074756,0.306249,-0.054879,0.224821,0.098054,-0.899795,-0.098054,0.024327,0.020026,194.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.250045,0.23565,0.007149,0.01165,0.0,-0.184924,0.123119,0.0,0.995702,0.876881,1.0,0.025312,0.0,0.002865,283.0,1.0,0.0,0.014396,0.242896,0.01165,0.196574,0.123119,-0.872583,-0.123119,0.025312,0.022447,282.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.267303,0.272629,0.0,-0.004185,0.0,-0.214225,0.118644,0.0,1.0,0.881356,1.0,0.019398,0.0,0.0,179.0,1.0,0.0,-0.005326,0.267303,-0.004185,0.21004,0.118644,-0.881356,-0.118644,0.019398,0.019398,178.0
