split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.241005,0.272629,0.0,-0.02485,0.0,-0.214225,0.099921,0.0,1.0,0.900079,1.0,0.014373,0.0,0.0,143.0,1.0,0.0,-0.031624,0.241005,-0.02485,0.189376,0.099921,-0.900079,-0.099921,0.014373,0.014373,142.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.347664,0.299071,0.0,0.037406,0.0,-0.230219,0.110946,0.0,1.0,0.889054,1.0,0.015621,0.0,0.0,184.0,1.0,0.0,0.048593,0.347664,0.037406,0.267625,0.110946,-0.889054,-0.110946,0.015621,0.015621,183.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.29307,0.344293,0.007149,-0.038104,0.0,-0.250796,0.115579,0.0,0.993548,0.884421,1.0,0.010858,0.0,0.004301,101.0,1.0,0.0,-0.051223,0.285921,-0.038104,0.212692,0.115579,-0.877969,-0.115579,0.010858,0.006557,100.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.424578,0.42204,0.0,0.001785,0.0,-0.296785,0.117398,0.0,1.0,0.882602,1.0,0.012842,0.0,0.0,165.0,1.0,0.0,0.002538,0.424578,0.001785,0.29857,0.117398,-0.882602,-0.117398,0.012842,0.012842,164.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.297396,0.362189,-0.018816,-0.047566,0.0,-0.279701,0.080182,0.0,0.997849,0.919818,1.0,0.014463,0.0,0.004301,122.0,1.0,0.0,-0.064793,0.316212,-0.047566,0.232135,0.080182,-0.917668,-0.080182,0.014463,0.010162,121.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.232359,0.23565,0.007149,-0.002663,0.0,-0.184924,0.100822,0.0,0.995702,0.899178,1.0,0.020312,0.0,0.002865,231.0,1.0,0.0,-0.00329,0.225211,-0.002663,0.182261,0.100822,-0.89488,-0.100822,0.020312,0.017446,230.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.237215,0.272629,0.0,-0.027828,0.0,-0.214225,0.135507,0.0,1.0,0.864493,1.0,0.015994,0.0,0.0,156.0,1.0,0.0,-0.035414,0.237215,-0.027828,0.186398,0.135507,-0.864493,-0.135507,0.015994,0.015994,155.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.287344,0.299071,0.0,-0.009027,0.0,-0.230219,0.131276,0.0,1.0,0.868724,1.0,0.015543,0.0,0.0,220.0,1.0,0.0,-0.011727,0.287344,-0.009027,0.221192,0.131276,-0.868724,-0.131276,0.015543,0.015543,219.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.283809,0.344293,0.007149,-0.044993,0.0,-0.250796,0.127277,0.0,0.993548,0.872723,1.0,0.012669,0.0,0.004301,102.0,1.0,0.0,-0.060483,0.27666,-0.044993,0.205804,0.127277,-0.866271,-0.127277,0.012669,0.008367,101.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.424351,0.42204,0.0,0.001625,0.0,-0.296785,0.1059,0.0,1.0,0.8941,1.0,0.01175,0.0,0.0,169.0,1.0,0.0,0.002311,0.424351,0.001625,0.29841,0.1059,-0.8941,-0.1059,0.01175,0.01175,168.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.300754,0.362189,-0.018816,-0.0451,0.0,-0.279701,0.12831,0.0,0.997849,0.87169,1.0,0.006659,0.0,0.004301,67.0,1.0,0.0,-0.061435,0.31957,-0.0451,0.2346,0.12831,-0.86954,-0.12831,0.006659,0.002358,66.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.236032,0.23565,0.007149,0.000309,0.0,-0.184924,0.118903,0.0,0.995702,0.881097,1.0,0.012435,0.0,0.002865,163.0,1.0,0.0,0.000382,0.228883,0.000309,0.185233,0.118903,-0.876799,-0.118903,0.012435,0.00957,162.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.221405,0.272629,0.0,-0.040251,0.0,-0.214225,0.119104,0.0,1.0,0.880896,1.0,0.020916,0.0,0.0,172.0,1.0,0.0,-0.051225,0.221405,-0.040251,0.173974,0.119104,-0.880896,-0.119104,0.020916,0.020916,171.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.309209,0.299071,0.0,0.007804,0.0,-0.230219,0.122427,0.0,1.0,0.877573,1.0,0.018315,0.0,0.0,235.0,1.0,0.0,0.010138,0.309209,0.007804,0.238023,0.122427,-0.877573,-0.122427,0.018315,0.018315,234.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.310916,0.344293,0.007149,-0.024828,0.0,-0.250796,0.147886,0.0,0.993548,0.852114,1.0,0.018631,0.0,0.004301,132.0,1.0,0.0,-0.033377,0.303767,-0.024828,0.225968,0.147886,-0.845662,-0.147886,0.018631,0.01433,131.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.398781,0.42204,0.0,-0.016356,0.0,-0.296785,0.138169,0.0,1.0,0.861831,1.0,0.019456,0.0,0.0,222.0,1.0,0.0,-0.023259,0.398781,-0.016356,0.280429,0.138169,-0.861831,-0.138169,0.019456,0.019456,221.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.350311,0.362189,-0.018816,-0.00872,0.0,-0.279701,0.107191,0.0,0.997849,0.892809,1.0,0.011065,0.0,0.004301,118.0,1.0,0.0,-0.011878,0.369127,-0.00872,0.270981,0.107191,-0.890658,-0.107191,0.011065,0.006764,117.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.222448,0.23565,0.007149,-0.010684,0.0,-0.184924,0.124992,0.0,0.995702,0.875008,1.0,0.014781,0.0,0.002865,210.0,1.0,0.0,-0.013202,0.215299,-0.010684,0.174239,0.124992,-0.87071,-0.124992,0.014781,0.011915,209.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.018867,0.052584,0.0,-0.032033,0.0,-0.049957,0.167613,0.0,1.0,0.832387,1.0,0.018287,0.0,0.0,111.0,1.0,0.0,-0.033718,0.018867,-0.032033,0.017924,0.167613,-0.832387,-0.167613,0.018287,0.018287,110.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.722437,0.796711,0.0,-0.041339,0.0,-0.443427,0.116952,0.0,1.0,0.883048,1.0,0.020291,0.0,0.0,307.0,1.0,0.0,-0.074274,0.722437,-0.041339,0.402089,0.116952,-0.883048,-0.116952,0.020291,0.020291,306.0
