split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.257355,0.272629,0.0,-0.012002,0.0,-0.214225,0.070357,0.0,1.0,0.929643,1.0,0.009828,0.0,0.0,91.0,1.0,0.0,-0.015274,0.257355,-0.012002,0.202223,0.070357,-0.929643,-0.070357,0.009828,0.009828,90.0
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.325503,0.299071,0.0,0.020347,0.0,-0.230219,0.066302,0.0,1.0,0.933698,1.0,0.008814,0.0,0.0,116.0,1.0,0.0,0.026432,0.325503,0.020347,0.250566,0.066302,-0.933698,-0.066302,0.008814,0.008814,115.0
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.270089,0.344293,0.007149,-0.055199,0.0,-0.250796,0.17513,0.0,0.993548,0.82487,1.0,0.011229,0.0,0.004301,83.0,1.0,0.0,-0.074204,0.26294,-0.055199,0.195597,0.17513,-0.818418,-0.17513,0.011229,0.006928,82.0
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.381637,0.42204,0.0,-0.028412,0.0,-0.296785,0.170209,0.0,1.0,0.829791,1.0,0.009375,0.0,0.0,118.0,1.0,0.0,-0.040404,0.381637,-0.028412,0.268373,0.170209,-0.829791,-0.170209,0.009375,0.009375,117.0
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.329632,0.362189,-0.018816,-0.0239,0.0,-0.279701,0.113235,0.0,0.997849,0.886765,1.0,0.016081,0.0,0.004301,121.0,1.0,0.0,-0.032557,0.348448,-0.0239,0.2558,0.113235,-0.884615,-0.113235,0.016081,0.01178,120.0
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.234768,0.23565,0.007149,-0.000713,0.0,-0.184924,0.130756,0.0,0.995702,0.869244,1.0,0.015202,0.0,0.002865,178.0,1.0,0.0,-0.000881,0.22762,-0.000713,0.18421,0.130756,-0.864947,-0.130756,0.015202,0.012336,177.0
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.227138,0.272629,0.0,-0.035746,0.0,-0.214225,0.104204,0.0,1.0,0.895796,1.0,0.018435,0.0,0.0,197.0,1.0,0.0,-0.045491,0.227138,-0.035746,0.178479,0.104204,-0.895796,-0.104204,0.018435,0.018435,196.0
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.312385,0.299071,0.0,0.010249,0.0,-0.230219,0.082534,0.0,1.0,0.917466,1.0,0.01912,0.0,0.0,287.0,1.0,0.0,0.013315,0.312385,0.010249,0.240468,0.082534,-0.917466,-0.082534,0.01912,0.01912,286.0
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.316392,0.344293,0.007149,-0.020755,0.0,-0.250796,0.079791,0.0,0.993548,0.920209,1.0,0.014615,0.0,0.004301,100.0,1.0,0.0,-0.027901,0.309243,-0.020755,0.230041,0.079791,-0.913757,-0.079791,0.014615,0.010314,99.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.428597,0.42204,0.0,0.004611,0.0,-0.296785,0.101437,0.0,1.0,0.898563,1.0,0.020389,0.0,0.0,212.0,1.0,0.0,0.006557,0.428597,0.004611,0.301396,0.101437,-0.898563,-0.101437,0.020389,0.020389,211.0
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.264195,0.362189,-0.018816,-0.071938,0.0,-0.279701,0.122608,0.0,0.997849,0.877392,1.0,0.024409,0.0,0.004301,179.0,1.0,0.0,-0.097994,0.283012,-0.071938,0.207762,0.122608,-0.875241,-0.122608,0.024409,0.020108,178.0
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.255221,0.23565,0.007149,0.015839,0.0,-0.184924,0.108346,0.0,0.995702,0.891654,1.0,0.028992,0.0,0.002865,321.0,1.0,0.0,0.019572,0.248072,0.015839,0.200763,0.108346,-0.887356,-0.108346,0.028992,0.026126,320.0
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.235223,0.272629,0.0,-0.029393,0.0,-0.214225,0.090761,0.0,1.0,0.909239,1.0,0.006522,0.0,0.0,81.0,1.0,0.0,-0.037407,0.235223,-0.029393,0.184832,0.090761,-0.909239,-0.090761,0.006522,0.006522,80.0
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.33855,0.299071,0.0,0.03039,0.0,-0.230219,0.093299,0.0,1.0,0.906701,1.0,0.007796,0.0,0.0,111.0,1.0,0.0,0.039479,0.33855,0.03039,0.260609,0.093299,-0.906701,-0.093299,0.007796,0.007796,110.0
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.280257,0.344293,0.007149,-0.047635,0.0,-0.250796,0.121375,0.0,0.993548,0.878625,1.0,0.008123,0.0,0.004301,78.0,1.0,0.0,-0.064036,0.273108,-0.047635,0.203161,0.121375,-0.872174,-0.121375,0.008123,0.003822,77.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.417313,0.42204,0.0,-0.003325,0.0,-0.296785,0.140987,0.0,1.0,0.859013,1.0,0.012697,0.0,0.0,176.0,1.0,0.0,-0.004728,0.417313,-0.003325,0.293461,0.140987,-0.859013,-0.140987,0.012697,0.012697,175.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.307893,0.362189,-0.018816,-0.03986,0.0,-0.279701,0.14573,0.0,0.997849,0.85427,1.0,0.008943,0.0,0.004301,99.0,1.0,0.0,-0.054296,0.326709,-0.03986,0.239841,0.14573,-0.852119,-0.14573,0.008943,0.004642,98.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.230194,0.23565,0.007149,-0.004415,0.0,-0.184924,0.140751,0.0,0.995702,0.859249,1.0,0.009762,0.0,0.002865,155.0,1.0,0.0,-0.005455,0.223046,-0.004415,0.180509,0.140751,-0.854951,-0.140751,0.009762,0.006897,154.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.012054,0.052584,0.0,-0.038506,0.0,-0.049957,0.095792,0.0,1.0,0.904208,1.0,0.011845,0.0,0.0,71.0,1.0,0.0,-0.040531,0.012054,-0.038506,0.011452,0.095792,-0.904208,-0.095792,0.011845,0.011845,70.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.751559,0.796711,0.0,-0.02513,0.0,-0.443427,0.082334,0.0,1.0,0.917666,1.0,0.010567,0.0,0.0,165.0,1.0,0.0,-0.045152,0.751559,-0.02513,0.418297,0.082334,-0.917666,-0.082334,0.010567,0.010567,164.0
regime,7,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.323046,0.404754,0.007149,-0.058166,0.0,-0.283043,0.099218,0.0,0.990991,0.900782,1.0,0.018437,0.0,0.006006,88.0,1.0,0.0,-0.081708,0.315897,-0.058166,0.224877,0.099218,-0.891773,-0.099218,0.018437,0.012431,87.0
regime,7,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.570886,0.574403,0.0,-0.002234,0.0,-0.364839,0.08319,0.0,1.0,0.91681,1.0,0.017682,0.0,0.0,225.0,1.0,0.0,-0.003517,0.570886,-0.002234,0.362605,0.08319,-0.91681,-0.08319,0.017682,0.017682,224.0
regime,7,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.178628,0.191296,-0.018816,-0.010633,0.0,-0.176372,0.135575,0.0,0.996997,0.864425,1.0,0.016823,0.0,0.006006,103.0,1.0,0.0,-0.012667,0.197444,-0.010633,0.165739,0.135575,-0.861422,-0.135575,0.016823,0.010817,102.0
regime,7,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.39572,0.420097,0.007149,-0.017165,0.0,-0.290789,0.126031,0.0,0.996399,0.873969,1.0,0.020048,0.0,0.002401,328.0,1.0,0.0,-0.024376,0.388572,-0.017165,0.273623,0.126031,-0.870367,-0.126031,0.020048,0.017647,327.0
regime,17,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.057639,0.052584,0.0,0.004802,0.0,-0.049957,0.130039,0.0,1.0,0.869961,1.0,0.02139,0.0,0.0,129.0,1.0,0.0,0.005054,0.057639,0.004802,0.054759,0.130039,-0.869961,-0.130039,0.02139,0.02139,128.0
regime,17,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.768103,0.796711,0.0,-0.015922,0.0,-0.443427,0.133062,0.0,1.0,0.866938,1.0,0.014072,0.0,0.0,196.0,1.0,0.0,-0.028608,0.768103,-0.015922,0.427505,0.133062,-0.866938,-0.133062,0.014072,0.014072,195.0
regime,17,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.316474,0.404754,0.007149,-0.062844,0.0,-0.283043,0.149382,0.0,0.990991,0.850618,1.0,0.007305,0.0,0.006006,40.0,1.0,0.0,-0.08828,0.309325,-0.062844,0.220199,0.149382,-0.841609,-0.149382,0.007305,0.001299,39.0
regime,17,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.498687,0.574403,0.0,-0.048092,0.0,-0.364839,0.165958,0.0,1.0,0.834042,1.0,0.016388,0.0,0.0,214.0,1.0,0.0,-0.075716,0.498687,-0.048092,0.316747,0.165958,-0.834042,-0.165958,0.016388,0.016388,213.0
regime,17,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.158492,0.191296,-0.018816,-0.027536,0.0,-0.176372,0.158274,0.0,0.996997,0.841726,1.0,0.016441,0.0,0.006006,76.0,1.0,0.0,-0.032803,0.177308,-0.027536,0.148837,0.158274,-0.838723,-0.158274,0.016441,0.010435,75.0
regime,17,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.421388,0.420097,0.007149,0.000909,0.0,-0.290789,0.137894,0.0,0.996399,0.862106,1.0,0.022421,0.0,0.002401,257.0,1.0,0.0,0.001291,0.414239,0.000909,0.291698,0.137894,-0.858505,-0.137894,0.022421,0.02002,256.0
regime,27,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.062255,0.052584,0.0,0.009188,0.0,-0.049957,0.117691,0.0,1.0,0.882309,1.0,0.032821,0.0,0.0,145.0,1.0,0.0,0.009671,0.062255,0.009188,0.059145,0.117691,-0.882309,-0.117691,0.032821,0.032821,144.0
regime,27,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.701214,0.796711,0.0,-0.053151,0.0,-0.443427,0.107049,0.0,1.0,0.892951,1.0,0.019111,0.0,0.0,235.0,1.0,0.0,-0.095497,0.701214,-0.053151,0.390277,0.107049,-0.892951,-0.107049,0.019111,0.019111,234.0
regime,27,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.321942,0.404754,0.007149,-0.058951,0.0,-0.283043,0.149267,0.0,0.990991,0.850733,1.0,0.006053,0.0,0.006006,36.0,1.0,0.0,-0.082812,0.314794,-0.058951,0.224092,0.149267,-0.841724,-0.149267,0.006053,4.7e-05,35.0
regime,27,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.478528,0.574403,0.0,-0.060896,0.0,-0.364839,0.182756,0.0,1.0,0.817244,1.0,0.013506,0.0,0.0,157.0,1.0,0.0,-0.095875,0.478528,-0.060896,0.303943,0.182756,-0.817244,-0.182756,0.013506,0.013506,156.0
