split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.206389,0.272629,-0.05205,0.139822,0.01605,460,-0.066241,-0.013505,0.345694,1.136434,-0.07776,0.74954,0.373624,0.127248,0.337612,0.000177
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.274799,0.299071,-0.018684,0.129696,0.013782,677,-0.024272,-0.013505,0.345694,1.136434,-0.07776,0.74954,0.373624,0.127248,0.337612,0.000177
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.305652,0.344293,-0.028744,0.160892,0.001979,38,-0.038641,-0.043093,0.472623,0.224831,-0.737737,-0.550192,0.469221,-0.225181,0.568095,0.020496
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.361301,0.42204,-0.042713,0.16121,0.001378,39,-0.060739,-0.043093,0.472623,0.224831,-0.737737,-0.550192,0.469221,-0.225181,0.568095,0.020496
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.291799,0.362189,-0.051674,0.117051,0.000372,6,-0.07039,-0.015581,0.448899,0.238792,0.348877,-0.750566,0.769143,-0.410543,0.79665,0.026547
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.176788,0.23565,-0.047636,0.152633,0.00027,7,-0.058861,-0.015581,0.448899,0.238792,0.348877,-0.750566,0.769143,-0.410543,0.79665,0.026547
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.213627,0.272629,-0.046362,0.13555,0.011958,426,-0.059002,-0.016155,0.408799,0.786817,0.05113,0.939498,0.109984,-0.030967,0.469685,0.001047
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.272023,0.299071,-0.020821,0.125726,0.010418,603,-0.027048,-0.016155,0.408799,0.786817,0.05113,0.939498,0.109984,-0.030967,0.469685,0.001047
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.304514,0.344293,-0.02959,0.115296,0.00025,4,-0.039778,-0.03822,0.443886,-0.411798,-0.352268,-0.185939,0.010431,-0.124442,0.835437,0.026043
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.361497,0.42204,-0.042575,0.147321,0.000239,6,-0.060543,-0.03822,0.443886,-0.411798,-0.352268,-0.185939,0.010431,-0.124442,0.835437,0.026043
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.332129,0.362189,-0.022068,0.084309,0.000234,4,-0.030061,-0.007032,0.443886,-0.411798,-0.352268,-0.185939,0.010431,-0.124442,0.835437,0.026043
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.207626,0.23565,-0.022679,0.091377,0.000163,4,-0.028023,-0.007032,0.443886,-0.411798,-0.352268,-0.185939,0.010431,-0.124442,0.835437,0.026043
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.210688,0.272629,-0.048672,0.138712,0.01148,182,-0.061941,-0.021742,0.360252,0.961828,0.765457,-0.197629,0.013144,0.188421,0.234372,0.015675
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.266931,0.299071,-0.024741,0.132536,0.010399,246,-0.03214,-0.021742,0.360252,0.961828,0.765457,-0.197629,0.013144,0.188421,0.234372,0.015675
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.313256,0.344293,-0.023088,0.092047,0.0002,3,-0.031037,-0.032343,0.301687,-0.253692,-0.431779,-0.153639,0.314606,-0.449534,0.83423,0.029498
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.336483,0.42204,-0.060165,0.136106,0.000226,5,-0.085557,-0.032343,0.301687,-0.253692,-0.431779,-0.153639,0.314606,-0.449534,0.83423,0.029498
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.332125,0.362189,-0.022071,0.059763,0.000197,3,-0.030065,0.004324,0.301687,-0.253692,-0.431779,-0.153639,0.314606,-0.449534,0.83423,0.029498
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.214192,0.23565,-0.017365,0.065831,0.000129,3,-0.021457,0.004324,0.301687,-0.253692,-0.431779,-0.153639,0.314606,-0.449534,0.83423,0.029498
