split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.211657,0.272629,-0.047911,0.130374,0.015528,285,-0.060972,-0.000946,718,900,700,881,30,2,8,False,False,0.245,0.31,0.39,200,57,0.485168,1.2,0.060633,1.2,0.0,0.2,0.321569,0.006919
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.283151,0.299071,-0.012255,0.121096,0.012872,392,-0.01592,-0.000946,718,900,700,881,30,2,8,False,False,0.245,0.31,0.39,200,57,0.485168,1.2,0.060633,1.2,0.0,0.2,0.321569,0.006919
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.010473,702,900,700,898,0,0,18,False,False,0.3,0.395,0.0,200,61,0.24409,0.113577,0.035927,-0.374207,0.215276,0.060574,0.85,0.03
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.406997,0.42204,-0.010579,0.024079,4.3e-05,1,-0.015043,-0.010473,702,900,700,898,0,0,18,False,False,0.3,0.395,0.0,200,61,0.24409,0.113577,0.035927,-0.374207,0.215276,0.060574,0.85,0.03
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.313182,0.362189,-0.035977,0.080836,0.000276,4,-0.049007,0.01948,771,900,700,827,358,15,1,False,False,0.89,0.0,0.0,200,196,0.077127,0.358802,-0.030444,-0.720859,0.152562,-0.802314,0.85,0.03
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.222617,0.23565,-0.010547,0.050013,8.7e-05,2,-0.013032,0.01948,771,900,700,827,358,15,1,False,False,0.89,0.0,0.0,200,196,0.077127,0.358802,-0.030444,-0.720859,0.152562,-0.802314,0.85,0.03
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.211798,0.272629,-0.047799,0.128922,0.01658,381,-0.060831,-0.001415,706,900,700,894,31,0,7,False,False,0.245,0.31,0.39,200,57,0.5,1.2,0.161829,1.2,0.0,0.2,0.300491,0.002509
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.281456,0.299071,-0.01356,0.119548,0.014007,538,-0.017615,-0.001415,706,900,700,894,31,0,7,False,False,0.245,0.31,0.39,200,57,0.5,1.2,0.161829,1.2,0.0,0.2,0.300491,0.002509
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.006771,692,900,700,908,0,0,15,False,False,0.3,0.395,0.0,200,61,0.205769,0.035911,-0.012245,-0.107911,0.197062,0.2,0.85,0.028171
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0,0.0,-0.006771,692,900,700,908,0,0,15,False,False,0.3,0.395,0.0,200,61,0.205769,0.035911,-0.012245,-0.107911,0.197062,0.2,0.85,0.028171
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.320279,0.362189,-0.030766,0.060311,0.000236,3,-0.04191,0.021632,764,900,700,835,383,7,2,False,False,0.89,0.0,0.0,200,196,0.5,-0.057942,-0.561319,0.023865,0.045662,-0.983805,0.85,0.028801
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23175,0.23565,-0.003156,0.025506,4.2e-05,1,-0.0039,0.021632,764,900,700,835,383,7,2,False,False,0.89,0.0,0.0,200,196,0.5,-0.057942,-0.561319,0.023865,0.045662,-0.983805,0.85,0.028801
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.218952,0.272629,-0.042178,0.133051,0.01101,105,-0.053677,-0.005761,715,900,700,884,28,1,6,False,False,0.245,0.31,0.39,200,57,0.434349,1.187148,0.572018,0.832489,0.0,0.2,0.242208,0.028412
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.276051,0.299071,-0.01772,0.125161,0.009864,141,-0.02302,-0.005761,715,900,700,884,28,1,6,False,False,0.245,0.31,0.39,200,57,0.434349,1.187148,0.572018,0.832489,0.0,0.2,0.242208,0.028412
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.009346,694,900,700,906,0,0,11,False,False,0.3,0.395,0.0,200,61,0.487662,0.309412,0.027533,-0.46822,0.059102,-0.06549,0.848814,0.03
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.411578,0.42204,-0.007357,0.023843,4.4e-05,1,-0.010463,-0.009346,694,900,700,906,0,0,11,False,False,0.3,0.395,0.0,200,61,0.487662,0.309412,0.027533,-0.46822,0.059102,-0.06549,0.848814,0.03
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.351699,0.362189,-0.007701,0.015708,6.4e-05,1,-0.01049,0.023186,775,900,700,825,363,8,2,False,False,0.89,0.0,0.0,200,196,0.499307,0.182133,-0.201138,-0.50552,0.178053,-0.408804,0.85,0.029789
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0,0.0,0.023186,775,900,700,825,363,8,2,False,False,0.89,0.0,0.0,200,196,0.499307,0.182133,-0.201138,-0.50552,0.178053,-0.408804,0.85,0.029789
