split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.210355,0.272629,-0.048934,0.133015,0.015532,252,-0.062274,-0.01692,721,900,700,878,30,2,8,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.474079,1.2,-0.133061,1.197985,0.0,0.2,0.298476,0.00967
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.284107,0.299071,-0.011518,0.122796,0.012544,336,-0.014963,-0.01692,721,900,700,878,30,2,8,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.474079,1.2,-0.133061,1.197985,0.0,0.2,0.298476,0.00967
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.3316,0.344293,-0.009442,0.028259,6.5e-05,1,-0.012692,-0.029178,704,900,700,896,0,0,18,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.404932,-0.087572,-0.625034,0.222645,0.119417,-0.577736,0.85,0.03
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.357085,0.42204,-0.045678,0.11327,0.000188,4,-0.064956,-0.029178,704,900,700,896,0,0,18,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.404932,-0.087572,-0.625034,0.222645,0.119417,-0.577736,0.85,0.03
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.356748,0.362189,-0.003994,0.012631,6.5e-05,1,-0.005441,0.023186,770,900,700,828,359,15,1,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.381758,0.018123,-0.442237,0.232467,0.110734,-0.1063,0.85,0.03
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0,0.0,0.023186,770,900,700,828,359,15,1,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.381758,0.018123,-0.442237,0.232467,0.110734,-0.1063,0.85,0.03
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.212056,0.272629,-0.047597,0.129836,0.015248,336,-0.060574,-0.017789,711,900,700,889,31,0,7,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.5,1.197884,0.076525,1.18108,0.0,0.2,0.359301,0.003944
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.282012,0.299071,-0.013131,0.120089,0.012864,473,-0.017058,-0.017789,711,900,700,889,31,0,7,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.5,1.197884,0.076525,1.18108,0.0,0.2,0.359301,0.003944
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.303459,0.344293,-0.030375,0.149844,0.00399,143,-0.040833,-0.043581,690,900,700,910,0,0,15,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.5,0.285181,-0.776964,-0.127821,0.0,-0.12373,0.414267,0.007922
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.383015,0.42204,-0.027443,0.150067,0.004362,224,-0.039026,-0.043581,690,900,700,910,0,0,15,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.5,0.285181,-0.776964,-0.127821,0.0,-0.12373,0.414267,0.007922
