split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.267453,0.344293,-0.05716,0.175186,0.000484,7,-0.076839,-0.050342,0,300,220,295,0,0,5,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.490426,0.358327,-0.680115,0.222511,0.756157,-0.590457,0.818332,0.028463
chrono,7,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.357307,0.42204,-0.045521,0.151549,0.00033,7,-0.064733,-0.050342,0,300,220,295,0,0,5,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.490426,0.358327,-0.680115,0.222511,0.756157,-0.590457,0.818332,0.028463
chrono,7,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.352604,0.362189,-0.007037,0.015805,6.6e-05,1,-0.009586,0.023186,199,300,220,320,137,5,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.287428,0.253603,0.039414,-0.559981,0.199301,-0.191707,0.85,0.03
chrono,7,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0,0.0,0.023186,199,300,220,320,137,5,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.287428,0.253603,0.039414,-0.559981,0.199301,-0.191707,0.85,0.03
chrono,17,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.288399,0.344293,-0.041578,0.145875,0.000523,7,-0.055893,-0.055157,0,300,220,297,0,0,2,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.492046,0.233973,0.839512,-0.636322,0.386788,-0.378899,0.72826,0.029221
chrono,17,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.363206,0.42204,-0.041373,0.121459,0.000716,15,-0.058835,-0.055157,0,300,220,297,0,0,2,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.492046,0.233973,0.839512,-0.636322,0.386788,-0.378899,0.72826,0.029221
chrono,17,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.297068,0.362189,-0.047806,0.088876,0.000345,5,-0.065121,0.007236,202,300,220,318,138,1,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.452592,-0.058075,-0.250233,-0.276931,0.790354,-0.979925,0.85,0.027532
chrono,17,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.1978,0.23565,-0.030631,0.089895,0.000165,4,-0.03785,0.007236,202,300,220,318,138,1,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.452592,-0.058075,-0.250233,-0.276931,0.790354,-0.979925,0.85,0.027532
chrono,27,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.29624,0.344293,-0.035746,0.16025,0.003326,388,-0.048052,-0.051804,0,300,220,295,0,0,2,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.37585,-0.069871,-0.750521,-0.152418,0.500475,-0.049591,0.745923,0.000907
chrono,27,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.364157,0.42204,-0.040704,0.162997,0.003092,553,-0.057883,-0.051804,0,300,220,295,0,0,2,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.37585,-0.069871,-0.750521,-0.152418,0.500475,-0.049591,0.745923,0.000907
chrono,27,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.305732,0.362189,-0.041446,0.084872,0.000282,4,-0.056457,0.006657,205,300,220,315,134,2,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.357247,0.005057,-0.369477,-0.246885,1.27699,-0.37271,0.85,0.03
chrono,27,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.195913,0.23565,-0.032159,0.096556,0.000176,4,-0.039737,0.006657,205,300,220,315,134,2,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.357247,0.005057,-0.369477,-0.246885,1.27699,-0.37271,0.85,0.03
