split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.209769,0.272629,-0.049394,0.133756,0.013855,330,-0.06286,-0.021615,323,500,400,576,16,2,3,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.456968,1.2,0.048221,0.830288,0.0,0.168483,0.423032,0.004598
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.280641,0.299071,-0.014187,0.124149,0.01165,465,-0.01843,-0.021615,323,500,400,576,16,2,3,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.456968,1.2,0.048221,0.830288,0.0,0.168483,0.423032,0.004598
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.306463,0.344293,-0.028141,0.087513,0.000201,3,-0.03783,-0.027788,322,500,400,578,0,0,10,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.441669,0.307552,-0.672218,-0.234435,0.377795,-0.181551,0.843003,0.029031
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.352632,0.42204,-0.048809,0.130056,0.000231,5,-0.069408,-0.027788,322,500,400,578,0,0,10,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.441669,0.307552,-0.672218,-0.234435,0.377795,-0.181551,0.843003,0.029031
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.321524,0.362189,-0.029853,0.058446,0.000229,3,-0.040665,0.018783,360,500,400,538,229,8,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.44935,-0.081977,-0.653388,0.079767,0.311165,-0.764676,0.85,0.03
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.223909,0.23565,-0.009502,0.023328,4.5e-05,1,-0.011741,0.018783,360,500,400,538,229,8,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.44935,-0.081977,-0.653388,0.079767,0.311165,-0.764676,0.85,0.03
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.216514,0.272629,-0.044094,0.143182,0.012711,130,-0.056115,-0.024517,329,500,400,571,21,0,5,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.165532,1.15475,0.217566,1.191551,0.215995,0.185584,0.267977,0.02373
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.27981,0.299071,-0.014827,0.135078,0.010332,162,-0.019261,-0.024517,329,500,400,571,21,0,5,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.165532,1.15475,0.217566,1.191551,0.215995,0.185584,0.267977,0.02373
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.006771,323,500,400,577,0,0,6,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.216546,0.19064,0.157821,-0.277515,0.0,0.135787,0.85,0.029287
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0,0.0,-0.006771,323,500,400,577,0,0,6,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.216546,0.19064,0.157821,-0.277515,0.0,0.135787,0.85,0.029287
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.317274,0.362189,-0.032972,0.064662,0.000253,3,-0.044915,0.018871,361,500,400,539,244,1,1,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.478012,-0.077784,-0.605631,0.085869,0.089362,-1.101755,0.85,0.029651
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.22397,0.23565,-0.009452,0.02193,4.3e-05,1,-0.011679,0.018871,361,500,400,539,244,1,1,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.478012,-0.077784,-0.605631,0.085869,0.089362,-1.101755,0.85,0.029651
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.211429,0.272629,-0.048089,0.132126,0.012527,153,-0.0612,-0.023332,330,500,400,570,17,0,3,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.5,1.135699,0.279941,0.431175,0.0,0.193886,0.21627,0.02052
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.278484,0.299071,-0.015847,0.124104,0.010652,203,-0.020586,-0.023332,330,500,400,570,17,0,3,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.5,1.135699,0.279941,0.431175,0.0,0.193886,0.21627,0.02052
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.006771,321,500,400,579,0,0,7,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.317469,0.037707,0.078543,-0.216087,0.078501,-0.072826,0.85,0.029486
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0,0.0,-0.006771,321,500,400,579,0,0,7,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.317469,0.037707,0.078543,-0.216087,0.078501,-0.072826,0.85,0.029486
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.351071,0.362189,-0.008162,0.01731,6.8e-05,1,-0.011118,0.023186,377,500,400,523,233,4,2,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.163869,-0.093371,-0.331798,0.027374,0.215545,-0.262523,0.85,0.03
