split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0,0.0,0.006876,423,500,400,475,19,3,2,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.320594,-0.107877,1.285873,0.346665,0.510102,-0.819866,0.952111,0.026669
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0,0.0,0.006876,423,500,400,475,19,3,2,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.320594,-0.107877,1.285873,0.346665,0.510102,-0.819866,0.952111,0.026669
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.006771,438,500,400,462,0,0,4,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.320594,-0.107877,1.285873,0.346665,0.510102,-0.819866,0.952111,0.026669
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0,0.0,-0.006771,438,500,400,462,0,0,4,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.320594,-0.107877,1.285873,0.346665,0.510102,-0.819866,0.952111,0.026669
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0,0.0,0.023186,452,500,400,447,230,4,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.320594,-0.107877,1.285873,0.346665,0.510102,-0.819866,0.952111,0.026669
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0,0.0,0.023186,452,500,400,447,230,4,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.320594,-0.107877,1.285873,0.346665,0.510102,-0.819866,0.952111,0.026669
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0,0.0,0.006876,424,500,400,474,19,0,3,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.497479,1.118035,0.350428,0.343024,0.142066,-1.015519,0.896935,0.050754
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0,0.0,0.006876,424,500,400,474,19,0,3,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.497479,1.118035,0.350428,0.343024,0.142066,-1.015519,0.896935,0.050754
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.006771,439,500,400,461,0,0,4,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.497479,1.118035,0.350428,0.343024,0.142066,-1.015519,0.896935,0.050754
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0,0.0,-0.006771,439,500,400,461,0,0,4,False,False,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.497479,1.118035,0.350428,0.343024,0.142066,-1.015519,0.896935,0.050754
