split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.223839,0.272629,-0.038338,0.076824,0.064715,0.041371,465,-0.048791,0.050856,349,220,180,51,0,0,0,0,0,False,False,3,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.392012,-0.960487,1.131795,0.402282,0.35059,0.598724,0.093496,0.2,0.000203
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.34239,0.299071,0.033346,0.066061,0.068786,0.039238,687,0.043319,0.050856,349,220,180,51,0,0,0,0,0,False,False,3,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.392012,-0.960487,1.131795,0.402282,0.35059,0.598724,0.093496,0.2,0.000203
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.319513,0.344293,-0.018433,0.056822,0.005587,0.002044,18,-0.02478,0.004179,218,220,180,182,0,0,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.163025,-0.539176,-0.137494,1.167986,-0.118029,1.040259,-1.2,0.743225,0.04799
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.439068,0.42204,0.011974,0.057831,0.014541,0.001409,17,0.017028,0.004179,218,220,180,182,0,0,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.163025,-0.539176,-0.137494,1.167986,-0.118029,1.040259,-1.2,0.743225,0.04799
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.324374,0.362189,-0.027761,0.026524,0.009772,0.002202,46,-0.037815,0.037747,393,220,180,7,0,0,0,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.415472,-0.052719,0.047976,-0.135306,-0.657377,0.076395,-1.128241,0.730674,0.015543
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.281278,0.23565,0.036927,0.027889,0.012408,0.002983,106,0.045629,0.037747,393,220,180,7,0,0,0,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.415472,-0.052719,0.047976,-0.135306,-0.657377,0.076395,-1.128241,0.730674,0.015543
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.264434,0.272629,-0.00644,0.044077,0.016834,0.030859,319,-0.008195,0.098895,350,220,180,50,0,0,0,0,0,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.48816,-0.434935,0.30179,-0.737452,-0.055132,0.0,-0.291515,0.281209,0.015371
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.408833,0.299071,0.084493,0.045235,0.018521,0.031938,458,0.109762,0.098895,350,220,180,50,0,0,0,0,0,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.48816,-0.434935,0.30179,-0.737452,-0.055132,0.0,-0.291515,0.281209,0.015371
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.355185,0.344293,0.008102,0.054097,0.011996,0.031466,375,0.010892,0.023628,233,220,180,167,0,0,0,0,0,False,False,2,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.437264,-0.375002,0.027427,-0.759234,0.007371,0.027448,-0.326081,0.251427,0.010729
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.519117,0.42204,0.068266,0.067302,0.016403,0.037331,555,0.097077,0.023628,233,220,180,167,0,0,0,0,0,False,False,2,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.437264,-0.375002,0.027427,-0.759234,0.007371,0.027448,-0.326081,0.251427,0.010729
