split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.030378,137,220,180,260,22,8,0,88,0,0,False,False,0,2,0.245,0.31,0.39,0.6,0.25,0.15,-0.006282,-0.022753,0.019536,-0.017304,False,200,57,0.365296,-0.945005,1.178385,0.630328,0.781496,0.145471,0.199282,0.563332,0.009004
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.030378,137,220,180,260,22,8,0,88,0,0,False,False,0,2,0.245,0.31,0.39,0.6,0.25,0.15,-0.006282,-0.022753,0.019536,-0.017304,False,200,57,0.365296,-0.945005,1.178385,0.630328,0.781496,0.145471,0.199282,0.563332,0.009004
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.06678,0,220,180,220,0,0,0,91,0,0,True,True,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,-0.039413,False,200,61,0.477211,-0.443293,0.243122,-0.329037,-0.632943,0.658405,-0.192447,0.628146,0.00034
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.06678,0,220,180,220,0,0,0,91,0,0,True,True,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,-0.039413,False,200,61,0.477211,-0.443293,0.243122,-0.329037,-0.632943,0.658405,-0.192447,0.628146,0.00034
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.032077,159,220,180,235,112,12,0,48,0,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,-0.010034,-0.019779,0.013167,-0.032587,False,200,196,0.5,-0.079453,-0.142805,1.017191,-0.267315,1.166478,-1.2,0.608483,0.006856
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.032077,159,220,180,235,112,12,0,48,0,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,-0.010034,-0.019779,0.013167,-0.032587,False,200,196,0.5,-0.079453,-0.142805,1.017191,-0.267315,1.166478,-1.2,0.608483,0.006856
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.028743,141,220,180,258,30,13,0,87,0,0,False,False,0,2,0.245,0.31,0.39,0.6,0.25,0.15,-0.005102,-0.025045,0.020329,-0.014834,False,200,57,0.374393,-0.636027,0.997139,-0.215335,1.16529,0.51957,0.2,0.683949,0.014879
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.028743,141,220,180,258,30,13,0,87,0,0,False,False,0,2,0.245,0.31,0.39,0.6,0.25,0.15,-0.005102,-0.025045,0.020329,-0.014834,False,200,57,0.374393,-0.636027,0.997139,-0.215335,1.16529,0.51957,0.2,0.683949,0.014879
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.071283,2,220,180,219,0,0,0,90,0,0,True,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.024759,-0.048346,0.033184,-0.074124,False,200,61,0.437077,0.035578,-0.738935,-0.554619,-0.640616,0.687167,-0.228085,0.224386,0.003593
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.071283,2,220,180,219,0,0,0,90,0,0,True,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.024759,-0.048346,0.033184,-0.074124,False,200,61,0.437077,0.035578,-0.738935,-0.554619,-0.640616,0.687167,-0.228085,0.224386,0.003593
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.029858,156,220,180,241,115,14,0,51,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,-0.005915,-0.020537,0.014474,-0.021242,False,200,196,0.5,-0.016214,-0.199349,0.506804,-0.530567,0.805754,-1.114677,0.671773,0.009719
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.029858,156,220,180,241,115,14,0,51,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,-0.005915,-0.020537,0.014474,-0.021242,False,200,196,0.5,-0.016214,-0.199349,0.506804,-0.530567,0.805754,-1.114677,0.671773,0.009719
