split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.258771,0.272629,-0.01089,0.027763,0.0,0.009209,145,-0.013859,-0.24494,476,260,220,0,2,0,0,2,0,0,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.006153,-0.004093,0.010323,0.018745,True,True,200,57,0.289752,-0.667067,-0.760381,-0.236555,-0.438371,-0.515173,1.097726,-0.696588,-0.408265,-0.295615,0.969174,0.106584,0.276782,0.015547
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.323422,0.299071,0.018745,0.029743,0.0,0.007138,151,0.024351,-0.24494,476,260,220,0,2,0,0,2,0,0,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.006153,-0.004093,0.010323,0.018745,True,True,200,57,0.289752,-0.667067,-0.760381,-0.236555,-0.438371,-0.515173,1.097726,-0.696588,-0.408265,-0.295615,0.969174,0.106584,0.276782,0.015547
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.34219,0.344293,-0.001564,0.030687,0.0,0.009964,156,-0.002103,-0.216851,476,260,220,0,0,0,0,4,0,0,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,0.002807,-0.01561,0.014444,0.008045,True,True,200,61,0.289752,-0.667067,-0.760381,-0.236555,-0.438371,-0.515173,1.097726,-0.696588,-0.408265,-0.295615,0.969174,0.106584,0.276782,0.015547
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.43348,0.42204,0.008045,0.035406,0.0,0.009925,221,0.01144,-0.216851,476,260,220,0,0,0,0,4,0,0,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,0.002807,-0.01561,0.014444,0.008045,True,True,200,61,0.289752,-0.667067,-0.760381,-0.236555,-0.438371,-0.515173,1.097726,-0.696588,-0.408265,-0.295615,0.969174,0.106584,0.276782,0.015547
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.337274,0.362189,-0.01829,0.038926,0.0,0.001493,37,-0.024915,-1.7e-05,480,260,220,0,0,0,0,0,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.002479,-0.006444,0.006604,0.006369,True,True,200,196,-0.132605,-0.109496,-0.647223,0.191978,-0.292047,-0.476101,0.570934,-1.097703,-0.541504,0.313819,0.302813,0.175547,0.687187,0.012675
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.24352,0.23565,0.006369,0.044628,0.0,0.003016,110,0.00787,-1.7e-05,480,260,220,0,0,0,0,0,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.002479,-0.006444,0.006604,0.006369,True,True,200,196,-0.132605,-0.109496,-0.647223,0.191978,-0.292047,-0.476101,0.570934,-1.097703,-0.541504,0.313819,0.302813,0.175547,0.687187,0.012675
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.265939,0.272629,-0.005257,0.020916,0.0,0.003297,48,-0.006691,-0.110144,475,260,220,0,1,1,0,4,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.003786,-0.003048,0.007797,0.010671,True,True,200,57,0.451771,0.077866,-0.303963,-0.493652,0.85725,-0.156415,0.081298,-0.562382,0.122546,-0.560366,-0.205692,0.145489,0.277234,0.018046
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.312933,0.299071,0.010671,0.026846,0.0,0.00365,74,0.013862,-0.110144,475,260,220,0,1,1,0,4,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.003786,-0.003048,0.007797,0.010671,True,True,200,57,0.451771,0.077866,-0.303963,-0.493652,0.85725,-0.156415,0.081298,-0.562382,0.122546,-0.560366,-0.205692,0.145489,0.277234,0.018046
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.333956,0.344293,-0.007689,0.026369,0.0,0.002144,29,-0.010337,-0.155649,468,260,220,0,0,0,0,12,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.003033,-0.004077,0.008441,0.009989,True,True,200,61,0.451771,0.077866,-0.303963,-0.493652,0.85725,-0.156415,0.081298,-0.562382,0.122546,-0.560366,-0.205692,0.145489,0.277234,0.018046
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.436245,0.42204,0.009989,0.028132,0.0,0.004086,86,0.014204,-0.155649,468,260,220,0,0,0,0,12,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.003033,-0.004077,0.008441,0.009989,True,True,200,61,0.451771,0.077866,-0.303963,-0.493652,0.85725,-0.156415,0.081298,-0.562382,0.122546,-0.560366,-0.205692,0.145489,0.277234,0.018046
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.343315,0.362189,-0.013856,0.022833,0.0,0.00254,85,-0.018874,-0.005638,480,260,220,0,0,0,0,0,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.002209,-0.003714,0.004194,0.00591,True,True,200,196,0.130827,-0.176622,-0.607773,-0.036252,0.815044,-0.718813,0.466469,-1.125792,-0.015489,-0.023121,0.728418,0.176692,0.684349,0.005903
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.242952,0.23565,0.00591,0.030721,0.0,0.004506,223,0.007303,-0.005638,480,260,220,0,0,0,0,0,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.002209,-0.003714,0.004194,0.00591,True,True,200,196,0.130827,-0.176622,-0.607773,-0.036252,0.815044,-0.718813,0.466469,-1.125792,-0.015489,-0.023121,0.728418,0.176692,0.684349,0.005903
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.243788,0.272629,-0.022663,0.030277,0.0,0.011792,146,-0.028842,-0.248846,474,260,220,0,1,0,0,6,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.005376,-0.006382,0.01395,0.015736,True,True,200,57,0.400457,-0.684462,0.496882,0.138423,-0.322456,-0.051303,0.350828,-0.254745,0.066882,-0.710648,0.94991,0.140396,0.224083,0.015091
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.319513,0.299071,0.015736,0.033934,0.0,0.009991,196,0.020443,-0.248846,474,260,220,0,1,0,0,6,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.005376,-0.006382,0.01395,0.015736,True,True,200,57,0.400457,-0.684462,0.496882,0.138423,-0.322456,-0.051303,0.350828,-0.254745,0.066882,-0.710648,0.94991,0.140396,0.224083,0.015091
