split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,0.006876,474,260,220,0,3,3,0,3,0,0,1,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,-0.005016,0.337001,0.277552,0.560997,-0.602835,-0.474836,0.461647,-0.821971,-0.13964,0.794282,0.310241,0.0,0.349956,0.01715
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,0.006876,474,260,220,0,3,3,0,3,0,0,1,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,-0.005016,0.337001,0.277552,0.560997,-0.602835,-0.474836,0.461647,-0.821971,-0.13964,0.794282,0.310241,0.0,0.349956,0.01715
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.006771,470,260,220,0,0,0,0,10,0,0,0,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,-0.005016,0.337001,0.277552,0.560997,-0.602835,-0.474836,0.461647,-0.821971,-0.13964,0.794282,0.310241,0.0,0.349956,0.01715
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.006771,470,260,220,0,0,0,0,10,0,0,0,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,-0.005016,0.337001,0.277552,0.560997,-0.602835,-0.474836,0.461647,-0.821971,-0.13964,0.794282,0.310241,0.0,0.349956,0.01715
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,0.023186,480,260,220,0,0,0,0,0,0,0,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,True,True,200,196,-0.005016,0.337001,0.277552,0.560997,-0.602835,-0.474836,0.461647,-0.821971,-0.13964,0.794282,0.310241,0.0,0.349956,0.01715
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,0.023186,480,260,220,0,0,0,0,0,0,0,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,True,True,200,196,-0.005016,0.337001,0.277552,0.560997,-0.602835,-0.474836,0.461647,-0.821971,-0.13964,0.794282,0.310241,0.0,0.349956,0.01715
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,0.006876,470,260,220,0,2,1,0,9,0,0,1,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,-0.258747,1.0,0.449048,0.399459,0.811728,0.298898,0.591255,0.27398,-0.56353,0.628812,-0.669581,0.0,0.567257,0.014317
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,0.006876,470,260,220,0,2,1,0,9,0,0,1,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,-0.258747,1.0,0.449048,0.399459,0.811728,0.298898,0.591255,0.27398,-0.56353,0.628812,-0.669581,0.0,0.567257,0.014317
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.006771,464,260,220,0,0,0,0,16,0,0,0,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,-0.258747,1.0,0.449048,0.399459,0.811728,0.298898,0.591255,0.27398,-0.56353,0.628812,-0.669581,0.0,0.567257,0.014317
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.006771,464,260,220,0,0,0,0,16,0,0,0,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,-0.258747,1.0,0.449048,0.399459,0.811728,0.298898,0.591255,0.27398,-0.56353,0.628812,-0.669581,0.0,0.567257,0.014317
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,0.023186,478,260,220,0,0,0,0,2,0,0,0,False,False,1,2,0.89,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,True,True,200,196,0.074544,0.960047,-0.635217,0.00182,-0.30511,-0.240906,1.5,-0.546185,-1.081144,0.616671,-0.387615,0.0,0.539829,0.014178
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,0.023186,478,260,220,0,0,0,0,2,0,0,0,False,False,1,2,0.89,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,True,True,200,196,0.074544,0.960047,-0.635217,0.00182,-0.30511,-0.240906,1.5,-0.546185,-1.081144,0.616671,-0.387615,0.0,0.539829,0.014178
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,0.006876,472,260,220,0,1,1,0,7,0,0,2,False,False,2,1,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,0.032293,-0.873135,-0.397115,0.675898,-0.278507,-0.126127,0.897916,-0.544651,-0.793113,-0.775154,0.18261,0.0,0.748154,0.013843
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,0.006876,472,260,220,0,1,1,0,7,0,0,2,False,False,2,1,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,0.032293,-0.873135,-0.397115,0.675898,-0.278507,-0.126127,0.897916,-0.544651,-0.793113,-0.775154,0.18261,0.0,0.748154,0.013843
