split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.030585,437,260,220,9,11,5,0,30,0,0,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.002218,-0.00355,0.001132,-0.006551,False,True,200,57,0.250722,-0.767311,0.616418,-0.178147,0.919072,-0.774557,1.306905,-0.940303,-0.561949,0.258809,0.015739,0.057889,0.276515,0.005691
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.030585,437,260,220,9,11,5,0,30,0,0,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.002218,-0.00355,0.001132,-0.006551,False,True,200,57,0.250722,-0.767311,0.616418,-0.178147,0.919072,-0.774557,1.306905,-0.940303,-0.561949,0.258809,0.015739,0.057889,0.276515,0.005691
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.037511,373,260,220,74,0,0,0,65,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000746,-0.004005,0.002314,-0.002246,False,True,200,61,-0.284942,-0.505181,-0.340295,0.114851,-0.620631,0.705464,0.868582,-0.72049,-1.091435,0.42109,-0.737842,0.046622,0.271876,0.001625
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.037511,373,260,220,74,0,0,0,65,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000746,-0.004005,0.002314,-0.002246,False,True,200,61,-0.284942,-0.505181,-0.340295,0.114851,-0.620631,0.705464,0.868582,-0.72049,-1.091435,0.42109,-0.737842,0.046622,0.271876,0.001625
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.031004,463,260,220,0,0,8,0,9,0,0,0,False,False,2,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000669,-0.001883,0.001238,-0.002182,False,True,200,196,0.385574,0.889988,0.807951,0.855186,-0.286738,-0.736292,0.677714,-1.098913,0.144748,-0.7869,-0.349039,0.071152,0.20753,0.009982
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.031004,463,260,220,0,0,8,0,9,0,0,0,False,False,2,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000669,-0.001883,0.001238,-0.002182,False,True,200,196,0.385574,0.889988,0.807951,0.855186,-0.286738,-0.736292,0.677714,-1.098913,0.144748,-0.7869,-0.349039,0.071152,0.20753,0.009982
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.262596,0.272629,-0.007884,0.018574,0.0,0.008185,144,-0.010033,-0.149297,432,260,220,14,8,6,0,38,0,0,1,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.003807,-0.001523,0.005878,0.010784,True,True,200,57,0.497172,-0.574962,-0.490361,-0.160912,-0.439556,-0.687609,1.147042,0.103306,-1.157542,-0.444335,0.379702,0.111488,0.227738,0.011402
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.31308,0.299071,0.010784,0.023407,0.0,0.007289,171,0.014009,-0.149297,432,260,220,14,8,6,0,38,0,0,1,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.003807,-0.001523,0.005878,0.010784,True,True,200,57,0.497172,-0.574962,-0.490361,-0.160912,-0.439556,-0.687609,1.147042,0.103306,-1.157542,-0.444335,0.379702,0.111488,0.227738,0.011402
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.04604,375,260,220,60,0,0,0,74,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001084,-0.002273,0.001316,-0.003146,False,True,200,61,0.470389,-0.70503,-0.761672,0.179789,1.107961,0.873271,0.245513,0.250311,-0.644279,-0.439407,-0.322599,0.052725,0.52547,0.001488
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.04604,375,260,220,60,0,0,0,74,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001084,-0.002273,0.001316,-0.003146,False,True,200,61,0.470389,-0.70503,-0.761672,0.179789,1.107961,0.873271,0.245513,0.250311,-0.644279,-0.439407,-0.322599,0.052725,0.52547,0.001488
