split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.047682,476,260,220,0,2,0,0,2,0,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.001964,-0.002796,0.000924,-0.005694,False,True,200,57,-0.253836,0.286715,-0.246755,0.474327,-0.232103,0.153074,0.787012,-0.190379,-0.915565,0.739282,-0.421724,0.055084,0.340972,0.00135
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.047682,476,260,220,0,2,0,0,2,0,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.001964,-0.002796,0.000924,-0.005694,False,True,200,57,-0.253836,0.286715,-0.246755,0.474327,-0.232103,0.153074,0.787012,-0.190379,-0.915565,0.739282,-0.421724,0.055084,0.340972,0.00135
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.055936,476,260,220,0,0,0,0,4,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000961,-0.002885,0.001505,-0.002869,False,True,200,61,0.294413,0.296419,-0.243677,0.006594,-0.135308,0.812442,1.205009,-0.416969,0.006706,0.243518,0.371122,0.04838,0.332861,0.004555
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.055936,476,260,220,0,0,0,0,4,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000961,-0.002885,0.001505,-0.002869,False,True,200,61,0.294413,0.296419,-0.243677,0.006594,-0.135308,0.812442,1.205009,-0.416969,0.006706,0.243518,0.371122,0.04838,0.332861,0.004555
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.026065,480,260,220,0,0,0,0,0,0,0,0,False,False,2,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.001281,-0.001571,0.00025,-0.004137,False,True,200,196,-0.338419,0.655971,0.948861,-0.605121,-0.679398,-0.792525,1.398095,-1.081913,-0.247748,-0.313861,-0.603559,0.04434,0.579314,0.00036
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.026065,480,260,220,0,0,0,0,0,0,0,0,False,False,2,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.001281,-0.001571,0.00025,-0.004137,False,True,200,196,-0.338419,0.655971,0.948861,-0.605121,-0.679398,-0.792525,1.398095,-1.081913,-0.247748,-0.313861,-0.603559,0.04434,0.579314,0.00036
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268262,0.272629,-0.003431,0.012438,0.0,0.002865,70,-0.004367,-0.119386,475,260,220,0,1,1,0,4,0,0,0,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.001835,-0.000182,0.002502,0.004119,True,True,200,57,0.497172,-0.574962,-0.490361,-0.160912,-0.439556,-0.687609,1.147042,0.103306,-1.157542,-0.444335,0.379702,0.057337,0.227738,0.011402
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.304421,0.299071,0.004119,0.012486,0.0,0.002691,94,0.005351,-0.119386,475,260,220,0,1,1,0,4,0,0,0,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.001835,-0.000182,0.002502,0.004119,True,True,200,57,0.497172,-0.574962,-0.490361,-0.160912,-0.439556,-0.687609,1.147042,0.103306,-1.157542,-0.444335,0.379702,0.057337,0.227738,0.011402
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.125161,468,260,220,0,0,0,0,12,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001898,-0.002291,0.000433,-0.005919,False,True,200,61,0.101404,0.477362,-0.11689,-0.598926,-0.611306,0.720006,1.266494,-0.644705,-0.028788,0.238454,-0.58223,0.080312,0.397781,0.00266
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.125161,468,260,220,0,0,0,0,12,0,0,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001898,-0.002291,0.000433,-0.005919,False,True,200,61,0.101404,0.477362,-0.11689,-0.598926,-0.611306,0.720006,1.266494,-0.644705,-0.028788,0.238454,-0.58223,0.080312,0.397781,0.00266
