split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.270289,0.272629,-0.001839,0.009833,0.003353,0.001558,37,-0.00234,-0.028952,399,260,220,3,17,14,0,70,0,1,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001087,-0.000991,0.001561,0.00489,True,True,200,57,-0.073907,-1.0,-0.180678,-0.381946,-0.316374,0.808491,0.349962,-0.235482,-0.549673,-0.057956,0.680958,0.086236,0.718059,0.016996
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.305423,0.299071,0.00489,0.01003,0.005202,0.001619,53,0.006352,-0.028952,399,260,220,3,17,14,0,70,0,1,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001087,-0.000991,0.001561,0.00489,True,True,200,57,-0.073907,-1.0,-0.180678,-0.381946,-0.316374,0.808491,0.349962,-0.235482,-0.549673,-0.057956,0.680958,0.086236,0.718059,0.016996
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.354076,0.344293,0.007278,0.01834,0.044644,0.008725,123,0.009784,-0.142238,367,260,220,31,0,0,0,99,0,3,2,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.006595,0.003827,0.002741,0.020347,True,True,200,61,0.157409,0.233295,-0.907189,-0.32669,1.174488,-0.553559,0.799836,-1.119923,0.114884,-0.525498,-0.179956,0.164034,0.595258,0.018749
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.450974,0.42204,0.020347,0.032975,0.044277,0.007315,167,0.028934,-0.142238,367,260,220,31,0,0,0,99,0,3,2,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.006595,0.003827,0.002741,0.020347,True,True,200,61,0.157409,0.233295,-0.907189,-0.32669,1.174488,-0.553559,0.799836,-1.119923,0.114884,-0.525498,-0.179956,0.164034,0.595258,0.018749
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.374706,0.362189,0.009189,0.01285,0.047252,0.013659,259,0.012517,-0.115598,414,260,220,0,0,30,0,46,0,0,1,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.005783,0.003664,0.001512,0.017893,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.295214,0.319804,0.010158
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.257759,0.23565,0.017893,0.018039,0.038074,0.013751,393,0.022109,-0.115598,414,260,220,0,0,30,0,46,0,0,1,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.005783,0.003664,0.001512,0.017893,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.295214,0.319804,0.010158
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.270349,0.272629,-0.001791,0.007496,0.003486,0.003172,239,-0.00228,-0.026713,391,260,220,1,12,9,0,84,0,0,5,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001358,-0.001152,0.00298,0.004076,True,True,200,57,-0.061496,-0.370509,-0.326483,-0.235231,-0.702184,-0.082077,0.444172,-1.036694,-0.391734,0.020922,0.835384,0.032208,0.424455,0.002863
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.304366,0.299071,0.004076,0.007471,0.005513,0.002532,294,0.005295,-0.026713,391,260,220,1,12,9,0,84,0,0,5,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001358,-0.001152,0.00298,0.004076,True,True,200,57,-0.061496,-0.370509,-0.326483,-0.235231,-0.702184,-0.082077,0.444172,-1.036694,-0.391734,0.020922,0.835384,0.032208,0.424455,0.002863
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.346065,0.344293,0.001318,0.014006,0.022908,0.002951,72,0.001772,-0.044415,354,260,220,28,0,0,0,115,0,0,5,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.004513,0.001848,0.002217,0.012658,True,True,200,61,-0.118959,-0.448737,0.132788,-0.569144,0.864628,-0.642903,0.285852,-0.813765,-0.880782,-0.017535,-0.920706,0.09424,0.650522,0.013479
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.44004,0.42204,0.012658,0.016689,0.023442,0.002362,88,0.018,-0.044415,354,260,220,28,0,0,0,115,0,0,5,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.004513,0.001848,0.002217,0.012658,True,True,200,61,-0.118959,-0.448737,0.132788,-0.569144,0.864628,-0.642903,0.285852,-0.813765,-0.880782,-0.017535,-0.920706,0.09424,0.650522,0.013479
