split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.220275,0.272629,-0.041139,0.145914,0.005797,102,-0.052355,-0.028757,171,260,220,257,9,1,36,51,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.307417,-0.693227,1.04634,0.489026,0.670847,0.0,0.162267,0.701092,0.01697
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.277206,0.299071,-0.016831,0.135882,0.004946,131,-0.021865,-0.028757,171,260,220,257,9,1,36,51,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.307417,-0.693227,1.04634,0.489026,0.670847,0.0,0.162267,0.701092,0.01697
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.300911,0.344293,-0.032271,0.115477,0.000257,2,-0.043382,-0.044769,72,260,220,282,0,0,45,128,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.380013,0.797602,-0.098739,-0.490468,0.640604,1.382048,-1.172878,0.777425,0.051914
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.381624,0.42204,-0.028421,0.115821,0.000188,2,-0.040416,-0.044769,72,260,220,282,0,0,45,128,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.380013,0.797602,-0.098739,-0.490468,0.640604,1.382048,-1.172878,0.777425,0.051914
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.295685,0.362189,-0.048821,0.101154,0.001513,146,-0.066504,-0.026958,160,260,220,242,119,5,16,91,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,0.392055,-0.706711,1.160593,-0.555663,0.328958,-1.191308,0.935398,0.002447
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.218919,0.23565,-0.01354,0.137518,0.001768,287,-0.01673,-0.026958,160,260,220,242,119,5,16,91,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,0.392055,-0.706711,1.160593,-0.555663,0.328958,-1.191308,0.935398,0.002447
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.21438,0.272629,-0.045771,0.131789,0.010898,246,-0.058249,-0.032025,173,260,220,249,19,13,53,57,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.36988,-0.78239,1.2,0.897771,0.704909,0.126301,0.042029,0.568623,0.006613
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.271714,0.299071,-0.021058,0.124057,0.010537,353,-0.027356,-0.032025,173,260,220,249,19,13,53,57,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.36988,-0.78239,1.2,0.897771,0.704909,0.126301,0.042029,0.568623,0.006613
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.306938,0.344293,-0.027787,0.14912,0.008459,152,-0.037354,-0.041106,136,260,220,245,0,0,73,79,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.5,-0.244905,0.276645,-0.752658,-0.206002,0.031823,-0.27494,0.34685,0.015719
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.405517,0.42204,-0.011619,0.153701,0.010782,245,-0.016523,-0.041106,136,260,220,245,0,0,73,79,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.5,-0.244905,0.276645,-0.752658,-0.206002,0.031823,-0.27494,0.34685,0.015719
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.28983,0.362189,-0.05312,0.0977,0.002977,29,-0.072359,-0.032052,170,260,220,240,125,10,23,81,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,-0.117836,-0.284153,1.269033,-0.124621,1.453223,-1.08495,0.326149,0.03884
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.19802,0.23565,-0.030453,0.145353,0.003685,52,-0.037629,-0.032052,170,260,220,240,125,10,23,81,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,-0.117836,-0.284153,1.269033,-0.124621,1.453223,-1.08495,0.326149,0.03884
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.22729,0.272629,-0.035626,0.157466,0.00072,5,-0.045339,-0.021276,126,260,220,297,15,8,40,56,False,False,0,2,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.5,-0.281488,0.834123,-0.168635,-0.594926,0.089609,0.2,0.5669,0.05395
