split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.239264,0.272629,-0.026218,0.01958,0.013119,193,-0.033365,0.035583,296,220,180,31,22,21,84,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.270756,-0.582552,1.028928,0.526941,0.759209,0.32202,0.122871,0.620885,0.013979
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.310446,0.299071,0.008757,0.007124,0.012909,288,0.011375,0.035583,296,220,180,31,22,21,84,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.270756,-0.582552,1.028928,0.526941,0.759209,0.32202,0.122871,0.620885,0.013979
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.006771,225,220,180,154,0,0,90,0,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0,0.0,-0.006771,225,220,180,154,0,0,90,0,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.32207,0.362189,-0.029452,-0.049977,0.002584,31,-0.040119,0.0468,317,220,180,7,2,56,46,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,-0.113458,-0.574668,0.519479,-0.648613,1.448158,-1.2,0.53047,0.027462
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.238125,0.23565,0.002003,0.021154,0.003187,63,0.002475,0.0468,317,220,180,7,2,56,46,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.5,-0.113458,-0.574668,0.519479,-0.648613,1.448158,-1.2,0.53047,0.027462
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.234358,0.272629,-0.030073,0.025446,0.015381,205,-0.038271,0.046701,287,220,180,37,33,26,85,0,False,False,0,3,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.125906,-0.278495,1.160549,0.482837,1.192483,0.03893,0.2,0.522719,0.015057
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.316082,0.299071,0.013095,0.012633,0.01445,289,0.017012,0.046701,287,220,180,37,33,26,85,0,False,False,0,3,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.125906,-0.278495,1.160549,0.482837,1.192483,0.03893,0.2,0.522719,0.015057
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0,0.0,-0.006771,223,220,180,155,0,0,89,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0,0.0,-0.006771,223,220,180,155,0,0,89,0,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.320853,0.362189,-0.030345,-0.012669,0.002873,52,-0.041336,0.045451,312,220,180,10,1,53,54,0,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.422245,-0.047713,0.799862,-0.071476,-0.790545,0.916399,-1.019441,0.760463,0.019286
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.240797,0.23565,0.004166,0.023793,0.003413,99,0.005148,0.045451,312,220,180,10,1,53,54,0,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.422245,-0.047713,0.799862,-0.071476,-0.790545,0.916399,-1.019441,0.760463,0.019286
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268414,0.272629,-0.003312,0.014148,0.001429,11,-0.004215,0.051034,303,220,180,40,23,20,66,0,False,False,1,2,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.48564,-0.271001,0.858521,-0.085237,-0.525444,0.0,0.189811,0.608246,0.050987
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.349956,0.299071,0.039171,0.005723,0.002512,26,0.050885,0.051034,303,220,180,40,23,20,66,0,False,False,1,2,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.48564,-0.271001,0.858521,-0.085237,-0.525444,0.0,0.189811,0.608246,0.050987
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.356353,0.344293,0.008972,0.029912,0.002887,23,0.012061,0.013891,229,220,180,148,1,0,72,0,False,False,2,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.482855,-0.280767,0.812095,-0.231579,-0.798427,0.0,-0.000868,0.528909,0.051275
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.475642,0.42204,0.037694,0.021938,0.005267,52,0.053602,0.013891,229,220,180,148,1,0,72,0,False,False,2,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.482855,-0.280767,0.812095,-0.231579,-0.798427,0.0,-0.000868,0.528909,0.051275
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.32655,0.362189,-0.026163,-0.042388,0.00292,19,-0.035639,0.052646,319,220,180,7,0,61,35,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.488681,-0.017102,-0.515814,0.897766,-0.397492,0.498974,-1.2,0.273146,0.056702
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.246393,0.23565,0.008694,0.015166,0.003321,35,0.010743,0.052646,319,220,180,7,0,61,35,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.488681,-0.017102,-0.515814,0.897766,-0.397492,0.498974,-1.2,0.273146,0.056702
