split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.261823,0.272629,-0.008491,0.0399,8.6e-05,1,-0.010806,-0.009238,111,200,160,190,10,3,31,58,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.067484,-1.0,0.901738,-0.520295,-0.173946,1.30397,-0.489202,0.884036,0.039889
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.285228,0.299071,-0.010655,0.025619,5.8e-05,1,-0.013842,-0.009238,111,200,160,190,10,3,31,58,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.067484,-1.0,0.901738,-0.520295,-0.173946,1.30397,-0.489202,0.884036,0.039889
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.323426,0.344293,-0.015522,0.046542,0.000107,1,-0.020866,-0.015115,110,200,160,189,0,0,36,61,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.175141,-0.154003,0.805415,-0.424812,-0.542279,0.493663,-0.881783,0.841323,0.04934
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.404475,0.42204,-0.012352,0.044695,7.3e-05,1,-0.017565,-0.015115,110,200,160,189,0,0,36,61,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.175141,-0.154003,0.805415,-0.424812,-0.542279,0.493663,-0.881783,0.841323,0.04934
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.341218,0.362189,-0.015395,0.045161,0.000106,1,-0.020971,-0.002291,106,200,160,192,109,4,12,60,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.247806,0.206641,-0.044008,0.268401,0.54543,0.78842,-0.675217,0.841735,0.04904
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.223802,0.23565,-0.009588,0.042105,7.1e-05,1,-0.011848,-0.002291,106,200,160,192,109,4,12,60,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.247806,0.206641,-0.044008,0.268401,0.54543,0.78842,-0.675217,0.841735,0.04904
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.259644,0.272629,-0.010203,0.047932,0.000103,1,-0.012985,-0.009807,108,200,160,196,20,10,40,52,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.308445,-0.874746,0.990521,-0.084281,0.994759,1.045156,-0.808234,0.860824,0.045519
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.288173,0.299071,-0.008388,0.044001,6.6e-05,1,-0.010897,-0.009807,108,200,160,196,20,10,40,52,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.308445,-0.874746,0.990521,-0.084281,0.994759,1.045156,-0.808234,0.860824,0.045519
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.320785,0.344293,-0.017487,0.041796,9.8e-05,1,-0.023507,-0.017879,119,200,160,190,0,0,41,51,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.216536,-0.588251,0.401256,1.178933,0.836959,0.61702,-0.670364,0.869157,0.045459
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.406412,0.42204,-0.01099,0.039814,6.5e-05,1,-0.015629,-0.017879,119,200,160,190,0,0,41,51,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.216536,-0.588251,0.401256,1.178933,0.836959,0.61702,-0.670364,0.869157,0.045459
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.327424,0.362189,-0.025522,0.059581,0.000255,2,-0.034765,0.001835,114,200,160,186,103,3,19,60,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.464453,0.193245,-0.746629,0.374953,-0.567222,0.061582,-0.110093,0.785227,0.054118
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.225114,0.23565,-0.008526,0.044652,8.1e-05,1,-0.010536,0.001835,114,200,160,186,103,3,19,60,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.464453,0.193245,-0.746629,0.374953,-0.567222,0.061582,-0.110093,0.785227,0.054118
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.275286,0.272629,0.002087,0.008888,8.9e-05,1,0.002656,-0.008104,128,200,160,185,8,7,24,44,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.369907,-0.725857,0.830147,0.486202,-0.487108,1.264854,-1.167584,0.881195,0.040685
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.289475,0.299071,-0.007387,0.028052,5.9e-05,1,-0.009596,-0.008104,128,200,160,185,8,7,24,44,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.369907,-0.725857,0.830147,0.486202,-0.487108,1.264854,-1.167584,0.881195,0.040685
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.320833,0.344293,-0.017452,0.040689,9.9e-05,1,-0.02346,-0.016041,121,200,160,185,0,0,27,54,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.481938,-0.576737,-0.724579,0.635231,0.684779,0.255548,-1.088403,0.863961,0.045916
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.406954,0.42204,-0.010609,0.040096,6.6e-05,1,-0.015086,-0.016041,121,200,160,185,0,0,27,54,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.481938,-0.576737,-0.724579,0.635231,0.684779,0.255548,-1.088403,0.863961,0.045916
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.339019,0.362189,-0.017009,0.049918,0.000117,1,-0.02317,-0.002206,115,200,160,182,102,4,10,62,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.146055,0.576482,0.231617,-0.033113,0.202041,1.242997,-0.938013,0.836513,0.049822
