split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.265877,0.272629,-0.005306,0.022656,0.0,0.002913,77,-0.006752,-0.100012,467,260,220,0,4,3,0,10,0,0,1,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001139,-0.002622,0.003434,0.001682,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.075107,0.498201,0.01209
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.301255,0.299071,0.001682,0.023105,0.0,0.002302,88,0.002185,-0.100012,467,260,220,0,4,3,0,10,0,0,1,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001139,-0.002622,0.003434,0.001682,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.075107,0.498201,0.01209
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.074267,445,260,220,13,0,0,0,23,0,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001104,-0.002826,0.001224,-0.003257,False,True,200,61,0.250722,-0.767311,0.616418,-0.178147,0.919072,-0.774557,1.306905,-0.940303,-0.561949,0.258809,0.015739,0.041349,0.276515,0.005691
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.074267,445,260,220,13,0,0,0,23,0,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001104,-0.002826,0.001224,-0.003257,False,True,200,61,0.250722,-0.767311,0.616418,-0.178147,0.919072,-0.774557,1.306905,-0.940303,-0.561949,0.258809,0.015739,0.041349,0.276515,0.005691
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.063948,478,260,220,0,0,0,0,2,0,0,0,0,False,False,2,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000636,-0.001332,0.000741,-0.002033,False,True,200,196,0.385574,0.889988,0.807951,0.855186,-0.286738,-0.736292,0.677714,-1.098913,0.144748,-0.7869,-0.349039,0.050823,0.20753,0.009982
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.063948,478,260,220,0,0,0,0,2,0,0,0,0,False,False,2,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000636,-0.001332,0.000741,-0.002033,False,True,200,196,0.385574,0.889988,0.807951,0.855186,-0.286738,-0.736292,0.677714,-1.098913,0.144748,-0.7869,-0.349039,0.050823,0.20753,0.009982
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.266704,0.272629,-0.004656,0.018492,0.0,0.004174,130,-0.005925,-0.119939,461,260,220,0,4,3,0,16,0,0,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000617,-0.001498,0.001521,0.001695,True,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.085574,0.415743,0.007545
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.301272,0.299071,0.001695,0.019644,0.0,0.002899,138,0.002202,-0.119939,461,260,220,0,4,3,0,16,0,0,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000617,-0.001498,0.001521,0.001695,True,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.085574,0.415743,0.007545
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.073274,433,260,220,12,0,0,0,37,0,0,0,0,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.001815,-0.002586,0.00068,-0.00548,False,True,200,61,0.058447,-0.696505,0.072856,0.238905,0.119623,-0.562945,1.316756,0.210462,0.176719,0.137508,-0.431309,0.034413,0.561065,0.000357
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.073274,433,260,220,12,0,0,0,37,0,0,0,0,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.001815,-0.002586,0.00068,-0.00548,False,True,200,61,0.058447,-0.696505,0.072856,0.238905,0.119623,-0.562945,1.316756,0.210462,0.176719,0.137508,-0.431309,0.034413,0.561065,0.000357
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.355259,0.362189,-0.005088,0.011768,0.0,0.002472,47,-0.00693,-0.058456,475,260,220,0,0,1,0,4,0,0,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.000936,-0.002156,0.002194,0.002034,True,True,200,196,0.497172,-0.574962,-0.490361,-0.160912,-0.439556,-0.687609,1.147042,0.103306,-1.157542,-0.444335,0.379702,0.079635,0.227738,0.011402
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.238163,0.23565,0.002034,0.012467,0.0,0.00462,139,0.002514,-0.058456,475,260,220,0,0,1,0,4,0,0,0,0,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.000936,-0.002156,0.002194,0.002034,True,True,200,196,0.497172,-0.574962,-0.490361,-0.160912,-0.439556,-0.687609,1.147042,0.103306,-1.157542,-0.444335,0.379702,0.079635,0.227738,0.011402
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.104757,466,260,220,1,3,1,0,13,0,0,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000611,-0.002064,0.001551,-0.001871,False,True,200,57,-0.049935,0.013748,-0.781311,0.390381,-0.010871,-0.683937,1.081793,-0.224283,0.149152,-0.346124,-0.245317,0.076163,0.473252,0.00052
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.104757,466,260,220,1,3,1,0,13,0,0,0,0,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000611,-0.002064,0.001551,-0.001871,False,True,200,57,-0.049935,0.013748,-0.781311,0.390381,-0.010871,-0.683937,1.081793,-0.224283,0.149152,-0.346124,-0.245317,0.076163,0.473252,0.00052
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.097622,452,260,220,5,0,0,0,23,0,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000752,-0.002069,0.001217,-0.002249,False,True,200,61,0.281031,-0.445258,-0.863158,-0.756532,1.340761,0.173151,1.285152,0.304073,-0.557406,-0.497637,0.606798,0.044644,0.366879,0.00014
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.097622,452,260,220,5,0,0,0,23,0,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000752,-0.002069,0.001217,-0.002249,False,True,200,61,0.281031,-0.445258,-0.863158,-0.756532,1.340761,0.173151,1.285152,0.304073,-0.557406,-0.497637,0.606798,0.044644,0.366879,0.00014
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.049904,476,260,220,0,0,0,0,4,0,0,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000101,-0.002654,0.002172,-0.001012,False,True,200,196,-0.022462,-0.653666,0.472354,0.209444,0.011762,-0.63484,0.208324,-0.848995,-1.095683,-0.144924,0.387742,0.080255,0.292557,0.012012
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.049904,476,260,220,0,0,0,0,4,0,0,0,0,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000101,-0.002654,0.002172,-0.001012,False,True,200,196,-0.022462,-0.653666,0.472354,0.209444,0.011762,-0.63484,0.208324,-0.848995,-1.095683,-0.144924,0.387742,0.080255,0.292557,0.012012
