split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.266867,0.272629,-0.004527,0.021741,0.0,0.001992,56,-0.005762,-0.073434,397,260,220,0,4,3,0,5,0,0,1,77,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000548,-0.00219,0.002329,0.001176,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.300598,0.299071,0.001176,0.020139,0.0,0.001808,75,0.001528,-0.073434,397,260,220,0,4,3,0,5,0,0,1,77,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000548,-0.00219,0.002329,0.001176,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.10879,227,260,220,2,0,0,0,14,0,0,0,251,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.002533,-0.003692,0.001036,-0.007966,False,True,200,61,0.419684,0.253172,-0.171271,-0.52711,0.874747,0.26601,0.261442,0.371635,0.131141,0.683426,0.653298,0.116948,0.365248,0.013034
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.10879,227,260,220,2,0,0,0,14,0,0,0,251,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.002533,-0.003692,0.001036,-0.007966,False,True,200,61,0.419684,0.253172,-0.171271,-0.52711,0.874747,0.26601,0.261442,0.371635,0.131141,0.683426,0.653298,0.116948,0.365248,0.013034
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.358794,0.362189,-0.002492,0.015795,0.0,0.003192,60,-0.003395,-0.078057,277,260,220,0,0,0,0,1,0,0,0,202,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.001215,-0.002649,0.002833,0.003495,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.21649,0.319804,0.010158
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.239968,0.23565,0.003495,0.018705,0.0,0.003486,119,0.004318,-0.078057,277,260,220,0,0,0,0,1,0,0,0,202,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.001215,-0.002649,0.002833,0.003495,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.21649,0.319804,0.010158
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.173662,401,260,220,0,2,1,0,13,0,0,0,68,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.00034,-0.001839,0.001593,0.000584,False,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.173662,401,260,220,0,2,1,0,13,0,0,0,68,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.00034,-0.001839,0.001593,0.000584,False,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.128794,234,260,220,4,0,0,0,23,0,0,0,238,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.00186,-0.0022,0.000351,-0.005547,False,True,200,61,0.066726,-0.750477,0.031473,0.316875,0.075969,-0.583322,1.251924,0.174618,0.17261,0.115949,-0.448193,0.036881,0.541166,0.001303
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.128794,234,260,220,4,0,0,0,23,0,0,0,238,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.00186,-0.0022,0.000351,-0.005547,False,True,200,61,0.066726,-0.750477,0.031473,0.316875,0.075969,-0.583322,1.251924,0.174618,0.17261,0.115949,-0.448193,0.036881,0.541166,0.001303
