split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268607,0.272629,-0.00316,0.008958,0.010156,0.008304,181,-0.004022,-0.233884,332,260,220,0,5,4,0,24,0,0,1,130,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.003294,-0.00089,0.005438,0.010048,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.312124,0.299071,0.010048,0.008431,0.009246,0.007351,247,0.013053,-0.233884,332,260,220,0,5,4,0,24,0,0,1,130,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.003294,-0.00089,0.005438,0.010048,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.347082,0.344293,0.002075,0.008507,0.009056,0.007573,170,0.00279,-0.320449,190,260,220,0,0,0,0,46,0,0,3,283,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.002258,-0.001901,0.005178,0.006761,True,True,200,61,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.431655,0.42204,0.006761,0.010439,0.009471,0.008575,273,0.009615,-0.320449,190,260,220,0,0,0,0,46,0,0,3,283,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.002258,-0.001901,0.005178,0.006761,True,True,200,61,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.370092,0.362189,0.005801,0.009355,0.032904,0.008654,194,0.007903,-0.194231,244,260,220,0,0,3,0,17,0,0,0,229,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.004207,0.002625,0.001155,0.012971,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.21649,0.319804,0.010158
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.251677,0.23565,0.012971,0.013317,0.026935,0.009312,332,0.016028,-0.194231,244,260,220,0,0,3,0,17,0,0,0,229,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.004207,0.002625,0.001155,0.012971,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.21649,0.319804,0.010158
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.250695,0.272629,-0.017235,0.038394,0.010378,0.005369,120,-0.021934,-0.211029,340,260,220,0,6,4,0,30,0,0,5,115,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.006207,-0.00105,0.008807,0.018094,True,True,200,57,0.052527,0.528176,-0.213531,-0.682528,-0.587991,0.345446,0.101143,-0.463668,0.185402,-0.604896,0.915346,0.181477,0.728192,0.014586
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.322576,0.299071,0.018094,0.038166,0.011724,0.0053,168,0.023505,-0.211029,340,260,220,0,6,4,0,30,0,0,5,115,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,0.006207,-0.00105,0.008807,0.018094,True,True,200,57,0.052527,0.528176,-0.213531,-0.682528,-0.587991,0.345446,0.101143,-0.463668,0.185402,-0.604896,0.915346,0.181477,0.728192,0.014586
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.12379,200,260,220,0,0,0,0,58,0,0,2,269,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.00233,-0.004996,0.002185,-0.007176,False,True,200,61,0.143194,0.397604,0.674588,-0.217695,-0.017947,-0.036207,0.578921,0.376768,-0.301015,0.067838,-0.027031,0.024946,0.642062,0.001716
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.12379,200,260,220,0,0,0,0,58,0,0,2,269,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.00233,-0.004996,0.002185,-0.007176,False,True,200,61,0.143194,0.397604,0.674588,-0.217695,-0.017947,-0.036207,0.578921,0.376768,-0.301015,0.067838,-0.027031,0.024946,0.642062,0.001716
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.360278,0.362189,-0.001403,0.005628,0.018936,0.007348,215,-0.001911,-0.220705,263,260,220,0,0,3,0,19,0,0,1,205,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.004258,0.001151,0.002197,0.012619,True,True,200,196,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.251243,0.23565,0.012619,0.009041,0.016495,0.008756,369,0.015593,-0.220705,263,260,220,0,0,3,0,19,0,0,1,205,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.004258,0.001151,0.002197,0.012619,True,True,200,196,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.177555,352,260,220,0,4,1,0,30,0,0,2,107,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000584,-0.000908,0.000449,-0.001627,False,True,200,57,0.323766,0.903702,0.681488,-0.283058,-0.527577,0.556738,0.880897,-0.047862,0.122686,-0.47621,-0.100724,0.058587,0.606668,0.014772
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.177555,352,260,220,0,4,1,0,30,0,0,2,107,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000584,-0.000908,0.000449,-0.001627,False,True,200,57,0.323766,0.903702,0.681488,-0.283058,-0.527577,0.556738,0.880897,-0.047862,0.122686,-0.47621,-0.100724,0.058587,0.606668,0.014772
