split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.306887,0.344293,-0.027826,0.163202,0.007373,142,-0.037406,-0.048702,79,120,80,119,0,0,6,False,False,0.0,0.508333,0.0,0.35,0.4,0.25,120,61,0.499626,-0.143405,-0.8,-0.79592,0.38641,-0.900516,0.385992,0.01524
chrono,7,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.345057,0.42204,-0.054136,0.175395,0.007323,212,-0.076983,-0.048702,79,120,80,119,0,0,6,False,False,0.0,0.508333,0.0,0.35,0.4,0.25,120,61,0.499626,-0.143405,-0.8,-0.79592,0.38641,-0.900516,0.385992,0.01524
chrono,7,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.33806,0.362189,-0.017714,0.031737,0.000126,2,-0.024129,0.006533,142,120,80,56,0,2,0,False,False,0.983333,0.0,0.0,0.3,0.5,0.2,120,196,0.182728,0.378343,0.147633,-0.8,0.434694,-0.225116,0.85,0.028618
chrono,7,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.215765,0.23565,-0.016092,0.045083,8.4e-05,2,-0.019885,0.006533,142,120,80,56,0,2,0,False,False,0.983333,0.0,0.0,0.3,0.5,0.2,120,196,0.182728,0.378343,0.147633,-0.8,0.434694,-0.225116,0.85,0.028618
chrono,17,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.291183,0.344293,-0.039508,0.181849,0.005068,145,-0.05311,-0.048391,2,120,80,120,0,0,1,True,False,0.0,0.508333,0.0,0.35,0.4,0.25,120,61,0.299618,-0.529361,-0.713632,-0.394512,0.14995,0.069034,0.694129,0.010283
chrono,17,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.334925,0.42204,-0.061261,0.180426,0.004062,163,-0.087115,-0.048391,2,120,80,120,0,0,1,True,False,0.0,0.508333,0.0,0.35,0.4,0.25,120,61,0.299618,-0.529361,-0.713632,-0.394512,0.14995,0.069034,0.694129,0.010283
chrono,17,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.292336,0.362189,-0.05128,0.136295,0.000688,11,-0.069853,-0.003489,151,120,80,49,0,0,0,False,False,0.983333,0.0,0.0,0.3,0.5,0.2,120,196,0.386659,-0.545491,-0.19117,0.616096,1.293175,-1.2,0.791971,0.026169
chrono,17,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.204979,0.23565,-0.024822,0.153765,0.000509,13,-0.030671,-0.003489,151,120,80,49,0,0,0,False,False,0.983333,0.0,0.0,0.3,0.5,0.2,120,196,0.386659,-0.545491,-0.19117,0.616096,1.293175,-1.2,0.791971,0.026169
chrono,27,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.314946,0.344293,-0.021831,0.088754,0.000193,3,-0.029347,-0.024695,85,120,80,115,0,0,3,False,False,0.0,0.508333,0.0,0.35,0.4,0.25,120,61,0.41604,-0.047996,-0.431601,-0.783333,0.41036,-0.136511,0.85,0.028333
chrono,27,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.370234,0.42204,-0.036431,0.124502,0.000209,5,-0.051807,-0.024695,85,120,80,115,0,0,3,False,False,0.0,0.508333,0.0,0.35,0.4,0.25,120,61,0.41604,-0.047996,-0.431601,-0.783333,0.41036,-0.136511,0.85,0.028333
chrono,27,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.299408,0.362189,-0.046089,0.116244,0.000348,5,-0.062782,-0.003084,148,120,80,51,0,1,0,False,False,0.983333,0.0,0.0,0.3,0.5,0.2,120,196,-0.054363,-0.673963,0.233958,0.6168,1.360436,0.005698,0.85,0.029769
chrono,27,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.201105,0.23565,-0.027956,0.128761,0.000218,5,-0.034544,-0.003084,148,120,80,51,0,1,0,False,False,0.983333,0.0,0.0,0.3,0.5,0.2,120,196,-0.054363,-0.673963,0.233958,0.6168,1.360436,0.005698,0.85,0.029769
