split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.298929,0.344293,-0.033745,0.166193,0.009935,202,-0.045364,-0.046905,79,120,80,119,0,0,6,False,False,0.0,0.508333,0.0,120,61,0.5,-0.389279,-0.8,-0.568553,0.163236,-0.783675,0.333044,0.011968
chrono,7,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.330606,0.42204,-0.064298,0.174917,0.009372,282,-0.091434,-0.046905,79,120,80,119,0,0,6,False,False,0.0,0.508333,0.0,120,61,0.5,-0.389279,-0.8,-0.568553,0.163236,-0.783675,0.333044,0.011968
chrono,7,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.316934,0.362189,-0.033223,0.070243,0.000264,4,-0.045256,0.00285,142,120,80,56,0,2,0,False,False,0.983333,0.0,0.0,120,196,0.181001,0.402824,0.61004,-0.681784,0.267596,-0.456068,0.85,0.029081
chrono,7,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.201778,0.23565,-0.027412,0.095602,0.000169,4,-0.033872,0.00285,142,120,80,56,0,2,0,False,False,0.983333,0.0,0.0,120,196,0.181001,0.402824,0.61004,-0.681784,0.267596,-0.456068,0.85,0.029081
chrono,17,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.291183,0.344293,-0.039508,0.181849,0.005068,145,-0.05311,-0.043956,2,120,80,120,0,0,1,True,False,0.0,0.508333,0.0,120,61,0.299618,-0.529361,-0.713632,-0.394512,0.14995,0.069034,0.694129,0.010283
chrono,17,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.334925,0.42204,-0.061261,0.180426,0.004062,163,-0.087115,-0.043956,2,120,80,120,0,0,1,True,False,0.0,0.508333,0.0,120,61,0.299618,-0.529361,-0.713632,-0.394512,0.14995,0.069034,0.694129,0.010283
chrono,17,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.292099,0.362189,-0.051454,0.127038,0.000909,12,-0.070091,0.000806,151,120,80,49,0,0,0,False,False,0.983333,0.0,0.0,120,196,-0.09132,-0.707127,0.822559,0.118126,0.956563,-1.106725,0.737368,0.029868
chrono,17,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.205671,0.23565,-0.024261,0.169728,0.000641,14,-0.029979,0.000806,151,120,80,49,0,0,0,False,False,0.983333,0.0,0.0,120,196,-0.09132,-0.707127,0.822559,0.118126,0.956563,-1.106725,0.737368,0.029868
chrono,27,fold_01,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.324186,0.344293,-0.014957,0.060979,0.000132,2,-0.020107,-0.022721,85,120,80,115,0,0,3,False,False,0.0,0.508333,0.0,120,61,0.417747,-0.048706,-0.189262,-0.775909,0.586464,-0.154658,0.85,0.029458
chrono,27,fold_01,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.365825,0.42204,-0.039531,0.100023,0.000177,4,-0.056215,-0.022721,85,120,80,115,0,0,3,False,False,0.0,0.508333,0.0,120,61,0.417747,-0.048706,-0.189262,-0.775909,0.586464,-0.154658,0.85,0.029458
chrono,27,fold_02,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.299408,0.362189,-0.046089,0.116244,0.000348,5,-0.062782,0.001404,148,120,80,51,0,1,0,False,False,0.983333,0.0,0.0,120,196,-0.054363,-0.673963,0.233958,0.6168,1.360436,0.005698,0.85,0.029769
chrono,27,fold_02,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.201105,0.23565,-0.027956,0.128761,0.000218,5,-0.034544,0.001404,148,120,80,51,0,1,0,False,False,0.983333,0.0,0.0,120,196,-0.054363,-0.673963,0.233958,0.6168,1.360436,0.005698,0.85,0.029769
