split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.269846,0.272629,-0.002187,0.007755,0.005253,0.005129,135,-0.002783,-0.181482,286,260,220,0,4,3,0,4,0,0,1,192,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002739,-0.000448,0.004048,0.007913,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.054077,0.498201,0.01209
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.30935,0.299071,0.007913,0.007177,0.004705,0.003924,152,0.010279,-0.181482,286,260,220,0,4,3,0,4,0,0,1,192,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002739,-0.000448,0.004048,0.007913,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.054077,0.498201,0.01209
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344279,0.344293,-1e-05,0.005752,0.004851,0.002965,88,-1.3e-05,-0.261368,174,260,220,0,0,0,0,16,0,0,0,305,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.000561,-0.000711,0.001375,0.001575,True,True,200,61,0.101409,-0.730219,-0.761696,-0.069999,0.042007,-0.447674,0.187713,-0.166949,-0.082564,-0.676483,-0.642308,0.041691,0.500952,0.011155
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42428,0.42204,0.001575,0.006206,0.004501,0.003497,152,0.00224,-0.261368,174,260,220,0,0,0,0,16,0,0,0,305,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.000561,-0.000711,0.001375,0.001575,True,True,200,61,0.101409,-0.730219,-0.761696,-0.069999,0.042007,-0.447674,0.187713,-0.166949,-0.082564,-0.676483,-0.642308,0.041691,0.500952,0.011155
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,-0.0,0.01294,0.003759,0.003489,86,-0.0,-0.13368,220,260,220,0,0,0,0,2,0,0,0,259,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000889,-0.002377,0.002677,0.001256,True,True,200,196,0.129622,0.943121,-0.334637,-0.003449,-0.353594,-0.698592,0.319362,0.264743,-0.023764,-0.620151,0.207558,0.086255,0.527077,0.013186
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.237201,0.23565,0.001256,0.011709,0.00449,0.004193,150,0.001552,-0.13368,220,260,220,0,0,0,0,2,0,0,0,259,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000889,-0.002377,0.002677,0.001256,True,True,200,196,0.129622,0.943121,-0.334637,-0.003449,-0.353594,-0.698592,0.319362,0.264743,-0.023764,-0.620151,0.207558,0.086255,0.527077,0.013186
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.291318,295,260,220,0,2,1,0,13,0,0,1,178,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.00025,-0.002332,0.003598,0.000891,False,True,200,57,0.448267,-0.73177,-0.865673,-0.047387,1.051015,0.332969,0.056252,-0.272823,-0.989756,-0.498375,0.586033,0.105684,0.609775,0.000982
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.291318,295,260,220,0,2,1,0,13,0,0,1,178,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.00025,-0.002332,0.003598,0.000891,False,True,200,57,0.448267,-0.73177,-0.865673,-0.047387,1.051015,0.332969,0.056252,-0.272823,-0.989756,-0.498375,0.586033,0.105684,0.609775,0.000982
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.178331,183,260,220,0,0,0,0,25,0,0,1,292,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001371,-0.003098,0.002411,-0.004117,False,True,200,61,0.150247,-0.767063,0.229156,0.303531,0.11865,-0.537646,1.093541,0.34184,0.153866,0.028294,-0.543518,0.027293,0.578905,0.0
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.178331,183,260,220,0,0,0,0,25,0,0,1,292,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001371,-0.003098,0.002411,-0.004117,False,True,200,61,0.150247,-0.767063,0.229156,0.303531,0.11865,-0.537646,1.093541,0.34184,0.153866,0.028294,-0.543518,0.027293,0.578905,0.0
