split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268166,0.272629,-0.003507,0.009032,0.009876,0.007955,173,-0.004463,-0.220006,283,260,220,0,4,4,0,17,0,0,1,192,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002668,-0.001031,0.004798,0.008183,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.309701,0.299071,0.008183,0.008554,0.008646,0.006903,236,0.01063,-0.220006,283,260,220,0,4,4,0,17,0,0,1,192,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002668,-0.001031,0.004798,0.008183,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.345106,0.344293,0.000605,0.006076,0.005697,0.004596,144,0.000814,-0.259245,170,260,220,1,0,0,0,39,0,0,0,305,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.001117,-0.001145,0.002463,0.003332,True,True,200,61,0.107485,-0.705087,-0.726646,0.04928,0.039368,-0.509599,0.161044,-0.145857,-0.036842,-0.664673,-0.384735,0.044818,0.50075,0.009967
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.426779,0.42204,0.003332,0.007097,0.005732,0.005224,228,0.004738,-0.259245,170,260,220,1,0,0,0,39,0,0,0,305,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,0.001117,-0.001145,0.002463,0.003332,True,True,200,61,0.107485,-0.705087,-0.726646,0.04928,0.039368,-0.509599,0.161044,-0.145857,-0.036842,-0.664673,-0.384735,0.044818,0.50075,0.009967
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.080069,218,260,220,0,0,2,0,7,0,0,1,259,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000526,-0.002763,0.001596,-0.002713,False,True,200,196,-0.158442,-0.184308,-0.322476,-0.8,-0.384379,-0.152026,0.186325,0.042902,-0.557627,0.161186,-0.405965,0.078959,0.597858,0.008261
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.080069,218,260,220,0,0,2,0,7,0,0,1,259,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.000526,-0.002763,0.001596,-0.002713,False,True,200,196,-0.158442,-0.184308,-0.322476,-0.8,-0.384379,-0.152026,0.186325,0.042902,-0.557627,0.161186,-0.405965,0.078959,0.597858,0.008261
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.114949,285,260,220,0,5,4,0,28,0,0,4,178,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000619,-0.001063,0.000597,-0.001681,False,True,200,57,0.214633,0.293225,0.868833,-0.185168,-0.075978,0.459644,0.951902,0.124656,-0.017006,0.107611,0.474345,0.026511,0.681675,0.000803
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.114949,285,260,220,0,5,4,0,28,0,0,4,178,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000619,-0.001063,0.000597,-0.001681,False,True,200,57,0.214633,0.293225,0.868833,-0.185168,-0.075978,0.459644,0.951902,0.124656,-0.017006,0.107611,0.474345,0.026511,0.681675,0.000803
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.180279,174,260,220,2,0,0,0,52,0,0,2,297,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.001469,-0.003487,0.002461,-0.004438,False,True,200,61,0.058447,-0.696505,0.072856,0.238905,0.119623,-0.562945,1.316756,0.210462,0.176719,0.137508,-0.431309,0.030284,0.561065,0.000357
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.180279,174,260,220,2,0,0,0,52,0,0,2,297,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.001469,-0.003487,0.002461,-0.004438,False,True,200,61,0.058447,-0.696505,0.072856,0.238905,0.119623,-0.562945,1.316756,0.210462,0.176719,0.137508,-0.431309,0.030284,0.561065,0.000357
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.35933,0.362189,-0.002099,0.005683,0.018202,0.006901,206,-0.002859,-0.227565,235,260,220,0,0,3,0,11,0,0,1,237,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.003719,0.001024,0.001906,0.010991,True,True,200,196,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.249231,0.23565,0.010991,0.009048,0.015114,0.008153,350,0.013581,-0.227565,235,260,220,0,0,3,0,11,0,0,1,237,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.003719,0.001024,0.001906,0.010991,True,True,200,196,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.187224,300,260,220,0,4,2,0,19,0,0,3,168,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000384,-0.000916,0.00067,-0.001024,False,True,200,57,0.323766,0.903702,0.681488,-0.283058,-0.527577,0.556738,0.880897,-0.047862,0.122686,-0.47621,-0.100724,0.058587,0.606668,0.014772
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.187224,300,260,220,0,4,2,0,19,0,0,3,168,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,-0.000384,-0.000916,0.00067,-0.001024,False,True,200,57,0.323766,0.903702,0.681488,-0.283058,-0.527577,0.556738,0.880897,-0.047862,0.122686,-0.47621,-0.100724,0.058587,0.606668,0.014772
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.201274,189,260,220,0,0,0,0,37,0,0,1,287,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001384,-0.006161,0.003395,-0.004144,False,True,200,61,0.152288,0.755211,-0.165299,-0.486128,0.764336,-0.785691,0.143444,-0.113901,-0.379256,-0.323134,0.266087,0.08597,0.733063,0.009158
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.201274,189,260,220,0,0,0,0,37,0,0,1,287,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.001384,-0.006161,0.003395,-0.004144,False,True,200,61,0.152288,0.755211,-0.165299,-0.486128,0.764336,-0.785691,0.143444,-0.113901,-0.379256,-0.323134,0.266087,0.08597,0.733063,0.009158
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.076626,231,260,220,0,0,0,0,9,0,0,1,241,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.003913,-0.009778,0.004251,-0.011674,False,True,200,196,0.113065,-0.703461,0.870553,-0.546485,0.714823,0.085072,0.232534,0.19197,-0.387257,0.215927,0.95402,0.14373,0.622472,0.017299
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.076626,231,260,220,0,0,0,0,9,0,0,1,241,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.003913,-0.009778,0.004251,-0.011674,False,True,200,196,0.113065,-0.703461,0.870553,-0.546485,0.714823,0.085072,0.232534,0.19197,-0.387257,0.215927,0.95402,0.14373,0.622472,0.017299
chrono,37,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.094092,294,260,220,0,6,6,0,23,0,0,4,173,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000228,-0.00105,0.001595,0.000648,False,True,200,57,0.208702,-0.919617,0.437674,0.474185,-0.582426,0.256903,0.874676,-0.011584,0.038256,0.116999,-0.416315,0.020106,0.30452,0.004012
chrono,37,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.094092,294,260,220,0,6,6,0,23,0,0,4,173,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000228,-0.00105,0.001595,0.000648,False,True,200,57,0.208702,-0.919617,0.437674,0.474185,-0.582426,0.256903,0.874676,-0.011584,0.038256,0.116999,-0.416315,0.020106,0.30452,0.004012
chrono,37,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.193986,171,260,220,1,0,0,0,41,0,0,2,307,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000158,-0.003099,0.002236,-0.000588,False,True,200,61,0.208702,-0.919617,0.437674,0.474185,-0.582426,0.256903,0.874676,-0.011584,0.038256,0.116999,-0.416315,0.020106,0.30452,0.004012
chrono,37,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.193986,171,260,220,1,0,0,0,41,0,0,2,307,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000158,-0.003099,0.002236,-0.000588,False,True,200,61,0.208702,-0.919617,0.437674,0.474185,-0.582426,0.256903,0.874676,-0.011584,0.038256,0.116999,-0.416315,0.020106,0.30452,0.004012
chrono,37,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.363769,0.362189,0.00116,0.008089,0.016882,0.004646,148,0.00158,-0.142163,231,260,220,0,0,8,0,9,0,0,1,243,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,0.004129,0.000213,0.004778,0.012678,True,True,200,196,0.375197,-0.051558,0.485164,0.059975,-0.516674,-0.694857,0.023605,-0.409133,-0.628271,-0.574139,0.528966,0.075622,0.482715,0.008271
chrono,37,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.251315,0.23565,0.012678,0.007618,0.017162,0.00417,213,0.015665,-0.142163,231,260,220,0,0,8,0,9,0,0,1,243,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,0.004129,0.000213,0.004778,0.012678,True,True,200,196,0.375197,-0.051558,0.485164,0.059975,-0.516674,-0.694857,0.023605,-0.409133,-0.628271,-0.574139,0.528966,0.075622,0.482715,0.008271
chrono,47,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272547,0.272629,-6.5e-05,0.004572,0.004528,0.002412,78,-8.2e-05,-0.138444,284,260,220,0,8,7,0,24,0,0,2,179,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001033,0.000805,0.000163,0.003453,True,True,200,57,0.165795,-0.426002,-0.99013,-0.583408,-0.290022,-0.479612,0.369161,-0.492228,-0.199466,-0.589622,-0.135079,0.03462,0.493827,0.010823
chrono,47,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.303557,0.299071,0.003453,0.005005,0.00414,0.002105,100,0.004486,-0.138444,284,260,220,0,8,7,0,24,0,0,2,179,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001033,0.000805,0.000163,0.003453,True,True,200,57,0.165795,-0.426002,-0.99013,-0.583408,-0.290022,-0.479612,0.369161,-0.492228,-0.199466,-0.589622,-0.135079,0.03462,0.493827,0.010823
chrono,47,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.226686,187,260,220,2,0,0,0,43,0,0,0,287,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.000289,-0.001813,0.001745,-0.000693,False,True,200,61,0.060553,0.400141,-0.769212,-0.541511,0.07663,0.573986,0.029634,0.369956,-0.131079,-0.241657,0.549402,0.055035,0.391735,0.006291
chrono,47,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.226686,187,260,220,2,0,0,0,43,0,0,0,287,False,False,1,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.000289,-0.001813,0.001745,-0.000693,False,True,200,61,0.060553,0.400141,-0.769212,-0.541511,0.07663,0.573986,0.029634,0.369956,-0.131079,-0.241657,0.549402,0.055035,0.391735,0.006291
chrono,47,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.36207,0.362189,-8.7e-05,0.006283,0.010457,0.003864,124,-0.000119,-0.138204,245,260,220,0,0,4,0,10,0,0,1,226,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.001777,-0.000293,0.002629,0.004689,True,True,200,196,0.439608,-0.730846,-0.580741,0.176812,-0.742516,-0.647374,0.604382,0.19904,-0.442507,-0.401435,-0.234011,0.122044,0.7301,0.009226
chrono,47,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.241444,0.23565,0.004689,0.007626,0.010287,0.005391,256,0.005794,-0.138204,245,260,220,0,0,4,0,10,0,0,1,226,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.001777,-0.000293,0.002629,0.004689,True,True,200,196,0.439608,-0.730846,-0.580741,0.176812,-0.742516,-0.647374,0.604382,0.19904,-0.442507,-0.401435,-0.234011,0.122044,0.7301,0.009226
chrono,57,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.104814,296,260,220,0,4,2,0,19,0,0,2,173,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000353,-0.001132,0.001256,0.001222,False,True,200,57,-0.085968,-0.152449,-0.49394,0.057209,-0.438125,0.480932,0.158386,0.135052,-0.111343,-0.328018,0.068692,0.083785,0.729718,0.00438
chrono,57,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.104814,296,260,220,0,4,2,0,19,0,0,2,173,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000353,-0.001132,0.001256,0.001222,False,True,200,57,-0.085968,-0.152449,-0.49394,0.057209,-0.438125,0.480932,0.158386,0.135052,-0.111343,-0.328018,0.068692,0.083785,0.729718,0.00438
chrono,57,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.142297,182,260,220,1,0,0,0,41,0,0,1,292,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000527,-0.004183,0.00262,-0.001573,False,True,200,61,-0.085968,-0.152449,-0.49394,0.057209,-0.438125,0.480932,0.158386,0.135052,-0.111343,-0.328018,0.068692,0.083785,0.729718,0.00438
chrono,57,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.142297,182,260,220,1,0,0,0,41,0,0,1,292,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000527,-0.004183,0.00262,-0.001573,False,True,200,61,-0.085968,-0.152449,-0.49394,0.057209,-0.438125,0.480932,0.158386,0.135052,-0.111343,-0.328018,0.068692,0.083785,0.729718,0.00438
chrono,57,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.078982,228,260,220,0,0,3,0,8,0,0,1,246,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000556,-0.001813,0.0017,0.001343,False,True,200,196,-0.087348,-0.118089,-0.519002,0.031383,-0.53298,0.4164,0.131284,0.186554,-0.139103,-0.380656,0.048485,0.108494,0.723905,0.004309
chrono,57,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.078982,228,260,220,0,0,3,0,8,0,0,1,246,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000556,-0.001813,0.0017,0.001343,False,True,200,196,-0.087348,-0.118089,-0.519002,0.031383,-0.53298,0.4164,0.131284,0.186554,-0.139103,-0.380656,0.048485,0.108494,0.723905,0.004309
