split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268094,0.272629,-0.003563,0.02098,0.0,0.002436,68,-0.004535,-0.11299,347,260,220,0,2,0,0,2,0,0,1,130,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001502,-0.001948,0.003333,0.004089,True,True,200,57,0.111146,-0.637705,-0.750335,0.088532,-0.003059,-0.359125,0.080232,-0.138565,-0.161741,-0.655209,-0.432412,0.067573,0.472771,0.011563
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.304383,0.299071,0.004089,0.019925,0.0,0.002062,84,0.005313,-0.11299,347,260,220,0,2,0,0,2,0,0,1,130,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001502,-0.001948,0.003333,0.004089,True,True,200,57,0.111146,-0.637705,-0.750335,0.088532,-0.003059,-0.359125,0.080232,-0.138565,-0.161741,-0.655209,-0.432412,0.067573,0.472771,0.011563
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.137462,194,260,220,0,0,0,0,4,0,0,0,285,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.001109,-0.003458,0.001664,-0.003369,False,True,200,61,0.468272,0.186733,-0.325233,-0.479418,0.607047,0.204029,0.355744,0.4,0.084322,0.766368,0.650193,0.100528,0.35491,0.008814
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.137462,194,260,220,0,0,0,0,4,0,0,0,285,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.001109,-0.003458,0.001664,-0.003369,False,True,200,61,0.468272,0.186733,-0.325233,-0.479418,0.607047,0.204029,0.355744,0.4,0.084322,0.766368,0.650193,0.100528,0.35491,0.008814
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.118307,251,260,220,0,0,0,0,0,0,0,0,229,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.001197,-0.006441,0.00375,-0.003608,False,True,200,196,0.108638,-0.65445,-0.728387,0.121799,0.069031,-0.447183,0.120752,-0.211251,-0.040549,-0.783145,-0.391865,0.092272,0.492736,0.010729
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.118307,251,260,220,0,0,0,0,0,0,0,0,229,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,-0.001197,-0.006441,0.00375,-0.003608,False,True,200,196,0.108638,-0.65445,-0.728387,0.121799,0.069031,-0.447183,0.120752,-0.211251,-0.040549,-0.783145,-0.391865,0.092272,0.492736,0.010729
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.191684,361,260,220,0,1,1,0,4,0,0,0,115,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000255,-0.001562,0.001499,5.7e-05,False,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.061613,0.415743,0.007545
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,-0.191684,361,260,220,0,1,1,0,4,0,0,0,115,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000255,-0.001562,0.001499,5.7e-05,False,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.061613,0.415743,0.007545
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.162833,209,260,220,0,0,0,0,12,0,0,0,270,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.002578,-0.003438,0.000672,-0.007662,False,True,200,61,0.040311,-0.703402,0.06858,0.391562,0.181122,-0.593853,1.226726,0.171779,0.145247,0.12011,-0.447357,0.043923,0.547845,0.001834
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.162833,209,260,220,0,0,0,0,12,0,0,0,270,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.002578,-0.003438,0.000672,-0.007662,False,True,200,61,0.040311,-0.703402,0.06858,0.391562,0.181122,-0.593853,1.226726,0.171779,0.145247,0.12011,-0.447357,0.043923,0.547845,0.001834
