model,fold,phase,pred_ic,sign_accuracy,relative_total_return,avg_turnover,avg_cash_weight
base6,1,validation,0.161165,0.535817,-0.02882,0.00326,0.166687
base6,1,test,0.054586,0.505376,-0.025011,0.004013,0.165246
base6,2,validation,0.15813,0.531519,-0.039894,0.003246,0.167282
base6,2,test,0.013018,0.483871,-0.038869,0.003639,0.169619
base6,3,validation,0.024993,0.489971,-0.020518,0.004843,0.167404
base6,3,test,0.096249,0.496774,-0.045065,0.004208,0.166157
rich15,1,validation,0.16155,0.52149,-0.032315,0.001933,0.183475
rich15,1,test,0.059309,0.509677,-0.019097,0.004007,0.173083
rich15,2,validation,0.163723,0.520057,-0.038526,0.002003,0.171615
rich15,2,test,0.017512,0.501075,-0.044166,0.002818,0.176957
rich15,3,validation,0.079312,0.515759,-0.014076,0.003829,0.175317
rich15,3,test,0.120647,0.52043,-0.043063,0.002711,0.172459
