run,cached,returncode,name,ridge_l2,target_mode,action_smoothing,scale_turnover_penalty,min_signal_scale,max_signal_scale,min_spy_weight,max_spy_weight,initial_spy_weight,no_trade_band,profile,transaction_cost_bps,slippage_bps,seed,gate,gate_scale,n_folds,min_robust_min_relative,min_active_fraction,mean_test_relative,mean_validation_relative,robust_min_test_relative,beat_hold_fraction,active_fraction,mean_turnover,mean_test_executed_step_count,mean_n_test_samples,mean_executed_step_rate,worst_daily_relative_return,worst_max_relative_drawdown,path_bootstrap_mean_test_relative_p05,path_bootstrap_mean_test_relative_p50,path_bootstrap_mean_test_relative_p95,path_bootstrap_robust_min_test_relative_p05,path_bootstrap_robust_min_test_relative_p50,path_bootstrap_robust_min_test_relative_p95,overall_gate_passed,validation_gate_passed,validation_gate_value,validation_gate_threshold,robust_gate_passed,robust_gate_value,robust_gate_threshold,active_gate_passed,active_gate_value,active_gate_threshold,summary_csv,detailed_json,wealth_first_score
promoted_tanh_c12_s5_g055_pbr150_pbsz10_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,5,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,21.0,465.0,0.04516129032258064,-0.0038757696568296,0.0119498567330903,0.001022111401318787,0.006389350328041554,0.01255489066517974,-0.013553703718078302,-0.0011083224449328077,0.0049640295286038074,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_detailed.json,0.0076090123075590104
promoted_tanh_c12_s17_g055_pbr150_pbsz10_pbs5018,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,17,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,21.0,465.0,0.04516129032258064,-0.0038757696568296,0.0119498567330903,4.311804185674231e-05,0.006785646420871904,0.011215150147534011,-0.015347889025024458,-0.0018125281450913078,0.004586906595034689,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055_pbr150_pbsz10_pbs5018/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055_pbr150_pbsz10_pbs5018/main4_gate055_f5_s17_detailed.json,0.0076090123075590104
promoted_tanh_c12_s29_g055_pbr150_pbsz10_pbs5030,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,29,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,21.0,465.0,0.04516129032258064,-0.0038757696568296,0.0119498567330903,0.002347361488912857,0.006956145983531326,0.011883781709283593,-0.013665029453898603,-0.0020065313604697432,0.005367114599823957,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s29_g055_pbr150_pbsz10_pbs5030/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s29_g055_pbr150_pbsz10_pbs5030/main4_gate055_f5_s29_detailed.json,0.0076090123075590104
promoted_tanh_c15_s5_g055_pbr150_pbsz10_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,5,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,19.4,465.0,0.04172043010752688,-0.0038757696568296,0.0119978032109747,0.0009498311147492933,0.006012284163039283,0.011852334138223553,-0.01371322481598744,-0.001226236173786699,0.004067477114738236,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_detailed.json,0.0069629359344441045
promoted_tanh_c15_s17_g055_pbr150_pbsz10_pbs5018,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,17,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,19.4,465.0,0.04172043010752688,-0.0038757696568296,0.0119978032109747,0.00031762396162651085,0.006379272388918833,0.010617482466445621,-0.01503673854347532,-0.0008821742509141361,0.0038838007452911168,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s17_g055_pbr150_pbsz10_pbs5018/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s17_g055_pbr150_pbsz10_pbs5018/main4_gate055_f5_s17_detailed.json,0.0069629359344441045
promoted_tanh_c15_s29_g055_pbr150_pbsz10_pbs5030,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,29,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,19.4,465.0,0.04172043010752688,-0.0038757696568296,0.0119978032109747,0.0020185755155597493,0.006298888771372423,0.010783253738084106,-0.014363265199267821,-0.0013606226485397555,0.0039481042854136875,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s29_g055_pbr150_pbsz10_pbs5030/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s29_g055_pbr150_pbsz10_pbs5030/main4_gate055_f5_s29_detailed.json,0.0069629359344441045
promoted_tanh_c18_s5_g055_pbr150_pbsz10_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,5,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0120457485660007,0.0005072463157494122,0.005438921880882708,0.010752948073166969,-0.01410961295571273,-0.0014632695220883618,0.0038230933927770184,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_detailed.json,0.006202147809104221
promoted_tanh_c18_s17_g055_pbr150_pbsz10_pbs5018,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,17,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0120457485660007,-0.00023708058545248708,0.005444588376472437,0.009713600804156114,-0.016181531219191535,-0.0012872454849017223,0.0035279513204255807,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055_pbr150_pbsz10_pbs5018/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055_pbr150_pbsz10_pbs5018/main4_gate055_f5_s17_detailed.json,0.006202147809104221
promoted_tanh_c18_s29_g055_pbr150_pbsz10_pbs5030,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,29,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0120457485660007,0.0011951806947030075,0.0054348173483605875,0.010000127570938197,-0.015066666007230311,-0.0014871171452502385,0.003341710252053542,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s29_g055_pbr150_pbsz10_pbs5030/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s29_g055_pbr150_pbsz10_pbs5030/main4_gate055_f5_s29_detailed.json,0.006202147809104221
promoted_tanh_c22_s5_g055_pbr150_pbsz10_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,22.0,22.0,5,055,bps,5,0.0,0.01,0.005091957164414795,0.008775139871806647,0.0029827107099824612,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0121096739593665,0.00012562797776193179,0.005057143019194266,0.010333631904357802,-0.014916659294799812,-0.0018545151882974897,0.0036900894762254767,True,True,0.008775139871806647,0.0055,True,0.0029827107099824612,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055_pbr150_pbsz10_pbs5006/main4_gate055_f5_s5_detailed.json,0.00575945618372198
