run,cached,returncode,name,ridge_l2,target_mode,action_smoothing,scale_turnover_penalty,min_signal_scale,max_signal_scale,min_spy_weight,max_spy_weight,initial_spy_weight,no_trade_band,profile,transaction_cost_bps,slippage_bps,seed,gate,gate_scale,n_folds,min_robust_min_relative,min_active_fraction,mean_test_relative,mean_validation_relative,robust_min_test_relative,beat_hold_fraction,active_fraction,mean_turnover,mean_test_executed_step_count,mean_n_test_samples,mean_executed_step_rate,worst_daily_relative_return,worst_max_relative_drawdown,path_bootstrap_mean_test_relative_p05,path_bootstrap_mean_test_relative_p50,path_bootstrap_mean_test_relative_p95,path_bootstrap_robust_min_test_relative_p05,path_bootstrap_robust_min_test_relative_p50,path_bootstrap_robust_min_test_relative_p95,overall_gate_passed,validation_gate_passed,validation_gate_value,validation_gate_threshold,robust_gate_passed,robust_gate_value,robust_gate_threshold,active_gate_passed,active_gate_value,active_gate_threshold,summary_csv,detailed_json,wealth_first_score
promoted_tanh_c12_s5_g055_pbr150_pbsz30_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,5,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,21.0,465.0,0.04516129032258064,-0.0038757696568296,0.0119498567330903,0.0026284170611060352,0.0066960256969682,0.010774774533748512,-0.0071837795108120606,-0.0004288609582412395,0.005094455979339418,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_detailed.json,0.0076090123075590104
promoted_tanh_c12_s17_g055_pbr150_pbsz30_pbs5018,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,17,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,21.0,465.0,0.04516129032258064,-0.0038757696568296,0.0119498567330903,0.002869799255765783,0.006478382106003533,0.010004014837619436,-0.008383291557246559,-0.00022841537865342376,0.005446586037206057,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055_pbr150_pbsz30_pbs5018/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055_pbr150_pbsz30_pbs5018/main4_gate055_f5_s17_detailed.json,0.0076090123075590104
promoted_tanh_c12_s29_g055_pbr150_pbsz30_pbs5030,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,29,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,21.0,465.0,0.04516129032258064,-0.0038757696568296,0.0119498567330903,0.002945747071473767,0.006253889763544185,0.010272641151237336,-0.009545789159347845,0.00012518743189560144,0.0047569969176430495,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s29_g055_pbr150_pbsz30_pbs5030/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s29_g055_pbr150_pbsz30_pbs5030/main4_gate055_f5_s29_detailed.json,0.0076090123075590104
promoted_tanh_c15_s5_g055_pbr150_pbsz30_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,5,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,19.4,465.0,0.04172043010752688,-0.0038757696568296,0.0119978032109747,0.0024347368548147466,0.006061281433993149,0.01033591153784812,-0.007866710637950752,0.00015883260041293923,0.004777590146875876,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_detailed.json,0.0069629359344441045
promoted_tanh_c15_s17_g055_pbr150_pbsz30_pbs5018,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,17,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,19.4,465.0,0.04172043010752688,-0.0038757696568296,0.0119978032109747,0.0022631984375772,0.006232164842862865,0.009246950177537266,-0.009002443932614363,0.00018069269284637368,0.004425403530573278,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s17_g055_pbr150_pbsz30_pbs5018/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s17_g055_pbr150_pbsz30_pbs5018/main4_gate055_f5_s17_detailed.json,0.0069629359344441045
promoted_tanh_c15_s29_g055_pbr150_pbsz30_pbs5030,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,29,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,19.4,465.0,0.04172043010752688,-0.0038757696568296,0.0119978032109747,0.0027181795280543284,0.006031580990868768,0.009457074471554645,-0.010290942504600253,2.0272170905610842e-05,0.004925400814747959,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s29_g055_pbr150_pbsz30_pbs5030/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s29_g055_pbr150_pbsz30_pbs5030/main4_gate055_f5_s29_detailed.json,0.0069629359344441045
promoted_tanh_c18_s5_g055_pbr150_pbsz30_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,5,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0120457485660007,0.001714412647780952,0.005315089117270455,0.009325829871839272,-0.008757605943120268,-2.9982852588983366e-05,0.0042424376458267575,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_detailed.json,0.006202147809104221
promoted_tanh_c18_s17_g055_pbr150_pbsz30_pbs5018,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,17,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0120457485660007,0.0018080650923851182,0.005538150768496286,0.008496239299636056,-0.00967683939104485,4.060981653364326e-05,0.004174159659937825,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055_pbr150_pbsz30_pbs5018/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055_pbr150_pbsz30_pbs5018/main4_gate055_f5_s17_detailed.json,0.006202147809104221
promoted_tanh_c18_s29_g055_pbr150_pbsz30_pbs5030,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,29,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0120457485660007,0.001958215379796908,0.0053105362269142975,0.008908517566533014,-0.01106958044669466,-0.00024937785114226285,0.004760295825850342,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s29_g055_pbr150_pbsz30_pbs5030/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s29_g055_pbr150_pbsz30_pbs5030/main4_gate055_f5_s29_detailed.json,0.006202147809104221
promoted_tanh_c22_s5_g055_pbr150_pbsz30_pbs5006,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,22.0,22.0,5,055,bps,5,0.0,0.01,0.005091957164414795,0.008775139871806647,0.0029827107099824612,1.0,1.0,0.0010984751142453944,18.8,465.0,0.04043010752688172,-0.0038757696568296,0.0121096739593665,0.0013907025422054387,0.004949404544621939,0.008962054524896011,-0.009796085422426942,-0.0006038425942498926,0.004032609531252768,True,True,0.008775139871806647,0.0055,True,0.0029827107099824612,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055_pbr150_pbsz30_pbs5006/main4_gate055_f5_s5_detailed.json,0.00575945618372198
