min_step,cap,resolved_after,strict_feasible,strict_feasible_profile_count,strict_best_eligible_profile
0.02,0.001,-0.007,False,0,
0.02,0.002,-0.008,False,0,
0.02,0.003,-0.00879928086325375,True,1,v25c_tailhard_01
0.02,0.004,-0.00879928086325375,True,1,v25c_tailhard_01
0.019,0.001,-0.007,False,0,
0.019,0.002,-0.008,False,0,
0.019,0.003,-0.00879928086325375,True,1,v25c_tailhard_01
0.019,0.004,-0.00879928086325375,True,1,v25c_tailhard_01
0.018,0.001,-0.007,False,0,
0.018,0.002,-0.008,False,0,
0.018,0.003,-0.00879928086325375,True,1,v25c_tailhard_01
0.018,0.004,-0.00879928086325375,True,1,v25c_tailhard_01
0.017,0.001,-0.007,False,0,
0.017,0.002,-0.008,False,0,
0.017,0.003,-0.0085813555199533,True,2,v25c_tailhard_01
0.017,0.004,-0.0085813555199533,True,2,v25c_tailhard_01
0.016,0.001,-0.007,False,0,
0.016,0.002,-0.008,False,0,
0.016,0.003,-0.0085813555199533,True,2,v25c_tailhard_01
0.016,0.004,-0.0085813555199533,True,2,v25c_tailhard_01
