variant,scenario,mean_path,min_case_path,mean_path_slack,min_case_slack,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,pass_non_path,pass_case_floor
v25h_balanced_e,altblock_b16_s4242,-0.011174518842166673,-0.0121927067463248,-0.004174518842166673,-0.0051927067463248,0.0034257752478417005,-0.0002252501746912,0.0005934339466889399,0.020903225806451597,False,False
v25h_balanced_e,baseline_b20_s4242,-0.0093055003834547,-0.010714247708828,-0.0023055003834546997,-0.0037142477088279993,0.0034257752478417005,-0.0002252501746912,0.0005934339466889399,0.020903225806451597,False,False
v25h_balanced_e,deepcheck_b12_s8080,-0.010234238883970254,-0.0118182759125703,-0.003234238883970254,-0.0048182759125703,0.0034257752478417005,-0.0002252501746912,0.0005934339466889399,0.020903225806451597,False,False
v25h_looser_a,altblock_b16_s4242,-0.01009207925023002,-0.0127906689047313,-0.003092079250230019,-0.0057906689047313,0.004904214561583519,0.0013735300859121,0.001042559710864,0.03569892473118281,True,False
v25h_looser_a,baseline_b20_s4242,-0.008507845967199853,-0.0102564210638616,-0.001507845967199853,-0.0032564210638616,0.004904214561583519,0.0013735300859121,0.001042559710864,0.03569892473118281,True,False
v25h_looser_a,deepcheck_b12_s8080,-0.010654264193907134,-0.0124014715241642,-0.0036542641939071334,-0.0054014715241642005,0.004904214561583519,0.0013735300859121,0.001042559710864,0.03569892473118281,True,False
v25h_looser_b,altblock_b16_s4242,-0.010233972185321781,-0.0129754843841566,-0.0032339721853217812,-0.005975484384156599,0.003938131572668401,0.0,0.00077524418278572,0.027010752688172,True,False
v25h_looser_b,baseline_b20_s4242,-0.009018002759817787,-0.0102762167154083,-0.0020180027598177873,-0.0032762167154082996,0.003938131572668401,0.0,0.00077524418278572,0.027010752688172,True,False
v25h_looser_b,deepcheck_b12_s8080,-0.010534643229017654,-0.0126783429990246,-0.0035346432290176534,-0.0056783429990245994,0.003938131572668401,0.0,0.00077524418278572,0.027010752688172,True,False
v25h_looser_c,altblock_b16_s4242,-0.011229257983841692,-0.0144700462485066,-0.004229257983841691,-0.007470046248506599,0.004032633271029521,0.001351519384388,0.00094271322791228,0.032258064516129,True,False
v25h_looser_c,baseline_b20_s4242,-0.009703844942143465,-0.0114819274055185,-0.002703844942143465,-0.0044819274055185,0.004032633271029521,0.001351519384388,0.00094271322791228,0.032258064516129,True,False
v25h_looser_c,deepcheck_b12_s8080,-0.011353665593734526,-0.0137500103215804,-0.004353665593734526,-0.006750010321580399,0.004032633271029521,0.001351519384388,0.00094271322791228,0.032258064516129,True,False
v25h_looser_d,altblock_b16_s4242,-0.00916019940169834,-0.0098142275022919,-0.00216019940169834,-0.0028142275022919007,0.0039834302935312805,0.0,0.00057730085647484,0.023053763440860155,True,False
v25h_looser_d,baseline_b20_s4242,-0.007605864959185108,-0.0084207733733541,-0.0006058649591851074,-0.0014207733733541004,0.0039834302935312805,0.0,0.00057730085647484,0.023053763440860155,True,False
v25h_looser_d,deepcheck_b12_s8080,-0.00878299337627142,-0.0096956679797012,-0.0017829933762714195,-0.0026956679797012,0.0039834302935312805,0.0,0.00057730085647484,0.023053763440860155,True,False
v25h_ref,altblock_b16_s4242,-0.00640201547265438,-0.0078391693450857,0.0005979845273456205,-0.0008391693450856995,0.006055804367690281,0.0032793641792554,0.00064332786681922,0.02270967741935482,True,False
v25h_ref,baseline_b20_s4242,-0.0049153936409123055,-0.0061217676488362,0.0020846063590876946,0.0008782323511637999,0.006055804367690281,0.0032793641792554,0.00064332786681922,0.02270967741935482,True,True
v25h_ref,deepcheck_b12_s8080,-0.006037889709340093,-0.0079726793990811,0.0009621102906599071,-0.0009726793990810995,0.006055804367690281,0.0032793641792554,0.00064332786681922,0.02270967741935482,True,False
