variant,worst_path_p05,mean_path_p05,min_case_slack,sentinel_non_path_ok,sentinel_activity_min,sentinel_robust_min
v25k_n8,-0.006467675641166903,-0.005394082444027333,0.0005323243588330967,True,0.024086021505376344,0.003287241307322386
v25k_n9,-0.007552250825923423,-0.006645116307266103,-0.0005522508259234232,True,0.022365591397849462,0.0010604343593318966
v25k_ref,-0.007564866650291302,-0.006658396037290739,-0.0005648666502913015,True,0.022365591397849462,0.0010583237744554719
v25k_n6,-0.007564868337779728,-0.006658398432461302,-0.0005648683377797283,True,0.022365591397849462,0.0010583233353478327
v25k_n10,-0.00760858614497868,-0.006688156972569579,-0.0006085861449786796,True,0.022365591397849462,0.0010343478276115814
v25k_n4,-0.008256365530591957,-0.007249579391783916,-0.0012563655305919573,True,0.024946236559139783,0.003285755005545621
v25k_n2,-0.008256366605822435,-0.007249583400824378,-0.0012563666058224348,True,0.024946236559139783,0.0032857554762817376
v25k_n11,-0.008269054220455114,-0.007316721341186718,-0.0012690542204551137,True,0.024946236559139783,0.0032908194486520603
v25k_n3,-0.008286395404440695,-0.0073495262726496376,-0.0012863954044406945,True,0.024086021505376344,0.003287917849801092
v25k_n1,-0.008286397563867686,-0.007349533630074132,-0.001286397563867686,True,0.024086021505376344,0.0032879187901231344
v25k_n5,-0.011754935686346151,-0.008196427348255712,-0.004754935686346151,True,0.024946236559139783,0.003283607951364731
v25k_n7,-0.014215325865924939,-0.013367196945408673,-0.007215325865924938,False,0.0189247311827957,-0.004662053027539748
