variant,scenario,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25n_a,altblock_b16_s4242,16,4242,5,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.005996079298571554
v25n_a,altblock_b16_s4242,16,4242,11,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.004512525905648501
v25n_a,altblock_b16_s4242,16,4242,17,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.00530124822341137
v25n_a,altblock_b16_s4242,16,4242,23,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.005100162024208426
v25n_a,altblock_b16_s4242,16,4242,29,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.006149284900695951
v25n_a,altblock_b16_s4242,16,4242,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.0064676694579526685
v25n_a,altblock_b16_s4242,16,4242,11,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.004662511400002895
v25n_a,altblock_b16_s4242,16,4242,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005705745007882096
v25n_a,altblock_b16_s4242,16,4242,23,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.00550564985410682
v25n_a,altblock_b16_s4242,16,4242,29,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006390723945473308
v25n_a,deepcheck_b12_s8080,12,8080,5,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.0056344636894522845
v25n_a,deepcheck_b12_s8080,12,8080,11,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.006349100110049566
v25n_a,deepcheck_b12_s8080,12,8080,17,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.005213839526804859
v25n_a,deepcheck_b12_s8080,12,8080,23,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.005887276936156904
v25n_a,deepcheck_b12_s8080,12,8080,29,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.005149756048304838
v25n_a,deepcheck_b12_s8080,12,8080,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005917677177890135
v25n_a,deepcheck_b12_s8080,12,8080,11,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006511056925688435
v25n_a,deepcheck_b12_s8080,12,8080,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005682792837305934
v25n_a,deepcheck_b12_s8080,12,8080,23,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006010762184894863
v25n_a,deepcheck_b12_s8080,12,8080,29,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.00535749563834631
v25n_a,stress_b14_s7070,14,7070,5,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.005627888324087015
v25n_a,stress_b14_s7070,14,7070,11,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.00509700706737764
v25n_a,stress_b14_s7070,14,7070,17,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.0047243117829028234
v25n_a,stress_b14_s7070,14,7070,23,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.005974453856748246
v25n_a,stress_b14_s7070,14,7070,29,22,0.005384219664138312,0.003339607239954745,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.0061258142679584,-0.006126111775434489
v25n_a,stress_b14_s7070,14,7070,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006094140884774701
