variant,scenario,scenario_group,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25p_a,altblock_b24_s4242,sentinel,24,4242,5,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.003178982774052663
v25p_a,altblock_b24_s4242,sentinel,24,4242,11,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.0038833263285004025
v25p_a,altblock_b24_s4242,sentinel,24,4242,17,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.003135175431226472
v25p_a,altblock_b24_s4242,sentinel,24,4242,29,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.0038451975300371256
v25p_a,altblock_b24_s4242,sentinel,24,4242,5,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.0035386564511495078
v25p_a,altblock_b24_s4242,sentinel,24,4242,11,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.00422779091194615
v25p_a,altblock_b24_s4242,sentinel,24,4242,17,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.003549212353077519
v25p_a,altblock_b24_s4242,sentinel,24,4242,29,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.004029062237814884
v25p_a,baseline_b20_s4242,sentinel,20,4242,5,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.004792360734210443
v25p_a,baseline_b20_s4242,sentinel,20,4242,11,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005393631536378862
v25p_a,baseline_b20_s4242,sentinel,20,4242,17,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.003866203796279682
v25p_a,baseline_b20_s4242,sentinel,20,4242,29,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.004167167966289231
v25p_a,baseline_b20_s4242,sentinel,20,4242,5,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005102207560327765
v25p_a,baseline_b20_s4242,sentinel,20,4242,11,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005534879411018822
v25p_a,baseline_b20_s4242,sentinel,20,4242,17,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.004387162140675604
v25p_a,baseline_b20_s4242,sentinel,20,4242,29,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.004319835267325589
v25p_a,rand_b10_p10706,random_shortblock,10,10706,5,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.005557558658629042
v25p_a,rand_b10_p10706,random_shortblock,10,10706,11,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.006102518798540091
v25p_a,rand_b10_p10706,random_shortblock,10,10706,17,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.00387167735239326
v25p_a,rand_b10_p10706,random_shortblock,10,10706,29,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.006210477717511137
v25p_a,rand_b10_p10706,random_shortblock,10,10706,5,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005878755687135756
v25p_a,rand_b10_p10706,random_shortblock,10,10706,11,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.006397546365570949
v25p_a,rand_b10_p10706,random_shortblock,10,10706,17,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.004157420041680925
v25p_a,rand_b10_p10706,random_shortblock,10,10706,29,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.006560072327882083
v25p_a,rand_b10_p10706,random_shortblock,10,10706,5,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.006058892273146093
v25p_a,rand_b10_p10706,random_shortblock,10,10706,11,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.006897183194248607
