variant,scenario,scenario_group,rows,pass_non_path,pass_case_floor,min_case_path,mean_path,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25q_a,altblock_b24_s4242,sentinel,8,True,False,-0.008270798251865063,-0.006843238589300561,-0.0012707982518650627,0.00015676141069943892,0.005539655988227744,0.0009135973035296807,0.028817204301075268
v25q_a,baseline_b20_s4242,sentinel,8,True,False,-0.011383317397782438,-0.009306453964217129,-0.0043833173977824375,-0.002306453964217129,0.005539655988227744,0.0009135973035296807,0.028817204301075268
v25q_a,rand_b10_p10706,random_shortblock,12,True,False,-0.01240231235388131,-0.010876697789650896,-0.00540231235388131,-0.003876697789650896,0.005696385019663128,0.0009135973035296808,0.028817204301075264
v25q_a,rand_b10_p5959,random_shortblock,12,True,False,-0.012024235538461858,-0.01036504767110428,-0.005024235538461858,-0.00336504767110428,0.005696385019663128,0.0009135973035296808,0.028817204301075264
v25q_a,rand_b11_p10167,random_shortblock,12,True,False,-0.013422050972193227,-0.011506801812699781,-0.006422050972193226,-0.004506801812699781,0.005696385019663128,0.0009135973035296808,0.028817204301075264
v25q_a,rand_b12_p7573,random_shortblock,12,True,False,-0.0117606692394979,-0.010276631629032177,-0.0047606692394979,-0.0032766316290321765,0.005696385019663128,0.0009135973035296808,0.028817204301075264
v25q_a,rand_b13_p11187,random_shortblock,12,True,False,-0.012144926408422756,-0.009980486362877376,-0.005144926408422756,-0.002980486362877376,0.005696385019663128,0.0009135973035296808,0.028817204301075264
v25q_a,rand_b13_p6575,random_shortblock,12,True,False,-0.01294272020428367,-0.010775568191084503,-0.005942720204283669,-0.0037755681910845032,0.005696385019663128,0.0009135973035296808,0.028817204301075264
v25q_a,stress_b30_s10010,sentinel,8,True,False,-0.008809424197676724,-0.00696178206065725,-0.0018094241976767235,3.82179393427504e-05,0.005539655988227744,0.0009135973035296807,0.028817204301075268
v25q_b,altblock_b24_s4242,sentinel,8,False,False,-0.007850370295687808,-0.006857260410510966,-0.000850370295687808,0.0001427395894890342,0.0035764771569921417,0.0005213052936599652,0.018494623655913978
v25q_b,baseline_b20_s4242,sentinel,8,False,False,-0.009912935662541455,-0.00828703091239261,-0.002912935662541455,-0.00128703091239261,0.0035764771569921417,0.0005213052936599652,0.018494623655913978
v25q_b,rand_b10_p10706,random_shortblock,12,True,False,-0.012243915142330163,-0.010562028591128708,-0.0052439151423301624,-0.0035620285911287077,0.003638278151855298,0.0006531209130469555,0.022078853046594984
v25q_b,rand_b10_p5959,random_shortblock,12,True,False,-0.011834028922058098,-0.009495732623859823,-0.004834028922058098,-0.002495732623859823,0.003638278151855298,0.0006531209130469555,0.022078853046594984
v25q_b,rand_b11_p10167,random_shortblock,12,True,False,-0.012641151408300227,-0.010537411386821188,-0.005641151408300227,-0.0035374113868211878,0.003638278151855298,0.0006531209130469555,0.022078853046594984
v25q_b,rand_b12_p7573,random_shortblock,12,True,False,-0.012477321426594872,-0.010019252936297825,-0.005477321426594872,-0.003019252936297825,0.003638278151855298,0.0006531209130469555,0.022078853046594984
v25q_b,rand_b13_p11187,random_shortblock,12,True,False,-0.011852822372427785,-0.010006639638303252,-0.004852822372427785,-0.0030066396383032516,0.003638278151855298,0.0006531209130469555,0.022078853046594984
v25q_b,rand_b13_p6575,random_shortblock,12,True,False,-0.012439493672333718,-0.010310748039719686,-0.0054394936723337175,-0.0033107480397196855,0.003638278151855298,0.0006531209130469555,0.022078853046594984
v25q_b,stress_b30_s10010,sentinel,8,False,False,-0.007546259752373696,-0.006790628588159841,-0.0005462597523736958,0.00020937141184015906,0.0035764771569921417,0.0005213052936599652,0.018494623655913978
v25q_c,altblock_b24_s4242,sentinel,8,False,False,-0.007284295830643423,-0.006154051388447478,-0.0002842958306434225,0.0008459486115525222,0.004529182094043538,0.0005396587847048708,0.01935483870967742
v25q_c,baseline_b20_s4242,sentinel,8,False,False,-0.008533224172166953,-0.007372481777592319,-0.0015332241721669531,-0.0003724817775923187,0.004529182094043538,0.0005396587847048708,0.01935483870967742
v25q_c,rand_b10_p10706,random_shortblock,12,True,False,-0.011627324063551731,-0.009588823043896704,-0.004627324063551731,-0.0025888230438967036,0.004714551723647083,0.0006655277829999839,0.02265232974910394
v25q_c,rand_b10_p5959,random_shortblock,12,True,False,-0.01109429804544244,-0.008912230646004396,-0.00409429804544244,-0.0019122306460043958,0.004714551723647083,0.0006655277829999839,0.02265232974910394
v25q_c,rand_b11_p10167,random_shortblock,12,True,False,-0.012602152710775494,-0.010160424505393643,-0.005602152710775494,-0.003160424505393643,0.004714551723647083,0.0006655277829999839,0.02265232974910394
v25q_c,rand_b12_p7573,random_shortblock,12,True,False,-0.011972514296355962,-0.009274554074230392,-0.004972514296355962,-0.0022745540742303916,0.004714551723647083,0.0006655277829999839,0.02265232974910394
v25q_c,rand_b13_p11187,random_shortblock,12,True,False,-0.011006116790114167,-0.009144012916760468,-0.0040061167901141665,-0.0021440129167604677,0.004714551723647083,0.0006655277829999839,0.02265232974910394
v25q_c,rand_b13_p6575,random_shortblock,12,True,False,-0.012040151052009073,-0.009810008526709388,-0.005040151052009073,-0.002810008526709388,0.004714551723647083,0.0006655277829999839,0.02265232974910394
v25q_c,stress_b30_s10010,sentinel,8,False,True,-0.006611706911894405,-0.005983535746550463,0.00038829308810559536,0.0010164642534495373,0.004529182094043538,0.0005396587847048708,0.01935483870967742
v25q_d,altblock_b24_s4242,sentinel,8,False,False,-0.008842476091752644,-0.007892535763131307,-0.0018424760917526437,-0.0008925357631313071,0.0038483732812774727,0.0005379394480444486,0.01935483870967742
v25q_d,baseline_b20_s4242,sentinel,8,False,False,-0.009877882237443446,-0.008631347623223953,-0.002877882237443446,-0.0016313476232239525,0.0038483732812774727,0.0005379394480444486,0.01935483870967742
v25q_d,rand_b10_p10706,random_shortblock,12,False,False,-0.011394899219829025,-0.010350131655376698,-0.004394899219829025,-0.0033501316553766975,0.003940538974100175,0.0005379394480444485,0.019354838709677417
v25q_d,rand_b10_p5959,random_shortblock,12,False,False,-0.010675163245301583,-0.009643642990109681,-0.0036751632453015824,-0.0026436429901096807,0.003940538974100175,0.0005379394480444485,0.019354838709677417
v25q_d,rand_b11_p10167,random_shortblock,12,False,False,-0.010922268131466822,-0.010540750901067828,-0.003922268131466822,-0.0035407509010678276,0.003940538974100175,0.0005379394480444485,0.019354838709677417
v25q_d,rand_b12_p7573,random_shortblock,12,False,False,-0.010632255299999177,-0.009950604810556951,-0.0036322552999991766,-0.0029506048105569513,0.003940538974100175,0.0005379394480444485,0.019354838709677417
v25q_d,rand_b13_p11187,random_shortblock,12,False,False,-0.01085399815083023,-0.010111927668014005,-0.0038539981508302302,-0.003111927668014005,0.003940538974100175,0.0005379394480444485,0.019354838709677417
v25q_d,rand_b13_p6575,random_shortblock,12,False,False,-0.010901777074187163,-0.010287684180239046,-0.003901777074187163,-0.003287684180239046,0.003940538974100175,0.0005379394480444485,0.019354838709677417
