variant,scenario,scenario_group,pack_seed,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,pack2601_b10_p12259,random_shortblock,2601,10,12259,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005759118933175772
v25r_n8,pack2601_b10_p12259,random_shortblock,2601,10,12259,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006213087875124601
v25r_n8,pack2601_b11_p5942,random_shortblock,2601,11,5942,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005051475002697342
v25r_n8,pack2601_b11_p5942,random_shortblock,2601,11,5942,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005460780191463971
v25r_n8,pack2601_b12_p10072,random_shortblock,2601,12,10072,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005664348923174983
v25r_n8,pack2601_b12_p10072,random_shortblock,2601,12,10072,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006288580726085957
v25r_n8,pack2601_b12_p12818,random_shortblock,2601,12,12818,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0051261073206402994
v25r_n8,pack2601_b12_p12818,random_shortblock,2601,12,12818,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005166617277697743
v25r_n8,pack2601_b13_p6168,random_shortblock,2601,13,6168,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0055100865587213495
v25r_n8,pack2601_b13_p6168,random_shortblock,2601,13,6168,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0058822881399695215
