variant,path_bootstrap_reps,envelope,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative
v25t_n8,300,random_holdout,12,1,0.08333333333333333,-4.7989272370730154e-05,0.001517074678197597,0.005195956249227418
v25t_n8,300,random_train,12,0,0.0,0.0010208965185073025,0.001529395916513717,0.005195956249227418
v25t_pA,300,random_holdout,12,1,0.08333333333333333,-2.90847786760199e-05,0.001596346965447345,0.005251300621383015
v25t_pA,300,random_train,12,0,0.0,0.0010300283982303477,0.0015942356763604933,0.005251300621383015
v25t_n8,1200,random_holdout,12,0,0.0,0.00029428476656710983,0.0012127128751993161,0.005195956249227418
v25t_n8,1200,random_train,12,0,0.0,0.0008028080413740478,0.0013449579293724897,0.005195956249227418
v25t_pA,1200,random_holdout,12,0,0.0,0.00037704464188399386,0.0013007397771083228,0.005251300621383015
v25t_pA,1200,random_train,12,0,0.0,0.0008866579106580445,0.0014248710884822201,0.005251300621383015
v25t_n8,2400,random_holdout,12,0,0.0,0.000581120104086957,0.0012957422653112531,0.005195956249227418
v25t_n8,2400,random_train,12,0,0.0,0.0009165615845678149,0.00133302003221036,0.005195956249227418
v25t_pA,2400,random_holdout,12,0,0.0,0.0006396013111646497,0.0013658753624011292,0.005251300621383015
v25t_pA,2400,random_train,12,0,0.0,0.0009679723085478705,0.0014053328934513958,0.005251300621383015
