variant,envelope,scenario,seed,transaction_cost_bps,path_bootstrap_reps,runtime_sec,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25v_n8,random_holdout,random_holdout_b10_p10572,5,22,600,1.5493155830190517,-0.006094662666794132,0.0009053373332058683,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b10_p10572,5,25,600,1.558945249998942,-0.006308983320289618,0.0006910166797103818,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b10_p10572,17,22,600,1.5461991669726558,-0.0059443871737996645,0.0010556128262003356,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b10_p10572,17,25,600,1.5367223750217818,-0.0061545738848929055,0.0008454261151070947,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b10_p10572,29,22,600,1.5510637080296874,-0.006439769126752526,0.0005602308732474744,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b10_p10572,29,25,600,1.5659766249591485,-0.006657225300403391,0.0003427746995966095,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p10164,5,22,600,1.5859008340048604,-0.0059024840020837355,0.0010975159979162647,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p10164,5,25,600,1.5790989159722812,-0.006171134467123474,0.0008288655328765266,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p10164,17,22,600,1.569978874991648,-0.0052925883615065564,0.0017074116384934437,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p10164,17,25,600,1.5530435419641435,-0.005598241513074037,0.0014017584869259634,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p10164,29,22,600,1.5590062080300413,-0.005670201937751506,0.0013297980622484938,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p10164,29,25,600,1.5682099590194412,-0.005960102867185407,0.0010398971328145932,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p12340,5,22,600,1.5380180000211112,-0.005513640308978024,0.0014863596910219762,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p12340,5,25,600,1.5848605409846641,-0.005764541741860913,0.0012354582581390874,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p12340,17,22,600,1.5320584159926511,-0.005444648162200049,0.001555351837799951,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p12340,17,25,600,1.7756803330266848,-0.005700145912766441,0.0012998540872335594,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p12340,29,22,600,1.8957110419869423,-0.005315336654489849,0.0016846633455101512,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p12340,29,25,600,1.5635160409728996,-0.005714657813197738,0.0012853421868022621,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p11737,5,22,600,1.539867207990028,-0.005702658718994646,0.001297341281005354,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p11737,5,25,600,1.5498447500285693,-0.006072090506399497,0.0009279094936005036,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p11737,17,22,600,1.6386215829988942,-0.005185227340816827,0.0018147726591831734,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p11737,17,25,600,1.552301042014733,-0.005629914571124916,0.001370085428875084,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p11737,29,22,600,1.5622739579994231,-0.00568638480536261,0.0013136151946373902,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p11737,29,25,600,1.6066012909868732,-0.00585714955315344,0.0011428504468465606,False,0.005195956249227418
