variant,path_bootstrap_reps,group,scenario,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,pass_non_path
v25x_n8,600,curated,altblock_b16_s4242,9,0,0.0,0.0006258380299472175,0.0014165887875897615,True
v25x_n8,600,curated,altblock_b24_s4242,9,0,0.0,0.0031228177243112607,0.003352796987088164,True
v25x_n8,600,curated,altboth_b24_s6060,9,0,0.0,0.0015273449975065018,0.0027532500948794594,True
v25x_n8,600,curated,altseed_b20_s5252,9,0,0.0,0.0017800706608776468,0.002418652445506048,True
v25x_n8,600,curated,baseline_b20_s4242,9,0,0.0,0.00191726265226918,0.0026445227911106417,True
v25x_n8,600,curated,deepcheck_b12_s8080,9,0,0.0,0.0012521075096142914,0.0016531509719528868,True
v25x_n8,600,curated,deepcheck_b28_s9090,9,0,0.0,0.003193018326807073,0.003569154504968463,True
v25x_n8,600,curated,stress_b14_s7070,9,0,0.0,0.0008429309575551935,0.0016574379789805567,True
v25x_n8,600,curated,stress_b30_s10010,9,0,0.0,0.00316552145397731,0.0036512253697501807,True
v25x_n8,600,random_holdout,random_holdout_b10_p10572,4,0,0.0,0.0006910166797103818,0.0008743482385559201,True
v25x_n8,600,random_holdout,random_holdout_b11_p12340,4,0,0.0,0.0012354582581390874,0.0013942559685486435,True
v25x_n8,600,random_holdout,random_holdout_b12_p6198,4,0,0.0,0.00047493984616817,0.0011261770142953654,True
v25x_n8,600,random_holdout,random_holdout_b15_p7889,4,0,0.0,0.000801270735483306,0.0012434145053101778,True
v25x_n8,600,random_holdout,random_holdout_b15_p8956,4,0,0.0,0.0010890201000843813,0.0013650733216305348,True
v25x_n8,600,random_holdout,random_holdout_b16_p10086,4,0,0.0,0.0016751665799697108,0.0019640555761930786,True
v25x_n8,600,random_holdout,random_holdout_b17_p10077,4,0,0.0,0.0011201151462404578,0.0014284973670943444,True
v25x_n8,600,random_holdout,random_holdout_b17_p5406,4,0,0.0,0.0014798476651828422,0.0018202135027657576,True
v25x_n8,600,random_train,random_train_b10_p9889,4,0,0.0,0.000829945913759911,0.0011339000979136273,True
v25x_n8,600,random_train,random_train_b11_p6801,4,0,0.0,0.0010155605301335356,0.0013362608719454587,True
v25x_n8,600,random_train,random_train_b12_p8403,4,0,0.0,7.836054711083968e-05,0.0010485619717754465,True
v25x_n8,600,random_train,random_train_b13_p11419,4,0,0.0,0.0009697243871629128,0.0014004153525556489,True
v25x_n8,600,random_train,random_train_b13_p14175,4,0,0.0,0.0012252730583810264,0.0014940168549817344,True
v25x_n8,600,random_train,random_train_b13_p14394,4,0,0.0,0.0013543915373334606,0.001531987557376363,True
v25x_n8,600,random_train,random_train_b16_p10914,4,0,0.0,0.0009191060103360569,0.0012558084987894552,True
v25x_n8,600,random_train,random_train_b16_p9682,4,0,0.0,0.0014348975380467591,0.0018423548091414139,True
v25x_pA,600,curated,altblock_b16_s4242,9,0,0.0,0.0006851544135674679,0.0014727052727516812,True
v25x_pA,600,curated,altblock_b24_s4242,9,0,0.0,0.003131595796214309,0.0033963776181872526,True
v25x_pA,600,curated,altboth_b24_s6060,9,0,0.0,0.001600740353291108,0.0028109259190768473,True
v25x_pA,600,curated,altseed_b20_s5252,9,0,0.0,0.0018059015127986962,0.0024695706091181196,True
v25x_pA,600,curated,baseline_b20_s4242,9,0,0.0,0.0020797727402264987,0.0027462823205691277,True
v25x_pA,600,curated,deepcheck_b12_s8080,9,0,0.0,0.0012734305908659585,0.0016826307879413706,True
v25x_pA,600,curated,deepcheck_b28_s9090,9,0,0.0,0.00325093735670362,0.0036530065609371365,True
v25x_pA,600,curated,stress_b14_s7070,9,0,0.0,0.0008517327664232131,0.0017007130019173655,True
v25x_pA,600,curated,stress_b30_s10010,9,0,0.0,0.0032943124764210734,0.0037391488388019453,True
v25x_pA,600,random_holdout,random_holdout_b10_p10572,4,0,0.0,0.000700705577530613,0.0009005489553448329,True
v25x_pA,600,random_holdout,random_holdout_b11_p12340,4,0,0.0,0.0012462744744863525,0.0014045285812371354,True
v25x_pA,600,random_holdout,random_holdout_b12_p6198,4,0,0.0,0.00048506132408147017,0.0011575250171867296,True
v25x_pA,600,random_holdout,random_holdout_b15_p7889,4,0,0.0,0.0008123416555773696,0.0012533709619967246,True
v25x_pA,600,random_holdout,random_holdout_b15_p8956,4,0,0.0,0.0011500960234737843,0.001457401740323466,True
v25x_pA,600,random_holdout,random_holdout_b16_p10086,4,0,0.0,0.0016853930417909278,0.001972925718700964,True
v25x_pA,600,random_holdout,random_holdout_b17_p10077,4,0,0.0,0.0011639408814772762,0.0014667403964427391,True
v25x_pA,600,random_holdout,random_holdout_b17_p5406,4,0,0.0,0.0014884033265625532,0.0018394464764191411,True
v25x_pA,600,random_train,random_train_b10_p9889,4,0,0.0,0.0011793393804214684,0.0013558201609207578,True
v25x_pA,600,random_train,random_train_b11_p6801,4,0,0.0,0.0010540317843126309,0.0014265846214830233,True
v25x_pA,600,random_train,random_train_b12_p8403,4,0,0.0,0.00010803763647745414,0.0010799013529223188,True
v25x_pA,600,random_train,random_train_b13_p11419,4,0,0.0,0.0010839322184347912,0.001523416044316929,True
v25x_pA,600,random_train,random_train_b13_p14175,4,0,0.0,0.0015156524274379636,0.001633384537337061,True
v25x_pA,600,random_train,random_train_b13_p14394,4,0,0.0,0.0013633905482541174,0.0015692292731415826,True
v25x_pA,600,random_train,random_train_b16_p10914,4,0,0.0,0.0009403754982993335,0.001274607980745355,True
v25x_pA,600,random_train,random_train_b16_p9682,4,0,0.0,0.0015859454378754356,0.0018911822378913949,True
