variant,feature_family,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v36_baseline_ref,baseline,baseline_b20_s4242,5,22.0,300,-0.004642767184481044,0.002357232815518956,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,baseline_b20_s4242,5,25.0,300,-0.004829464610703071,0.0021705353892969292,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_baseline_ref,baseline,baseline_b20_s4242,17,22.0,300,-0.0036643842839554127,0.0033356157160445874,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,baseline_b20_s4242,17,25.0,300,-0.003992095667043116,0.003007904332956884,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_baseline_ref,baseline,altblock_b16_s4242,5,22.0,300,-0.006583189883013351,0.00041681011698664876,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,altblock_b16_s4242,5,25.0,300,-0.006816571398462894,0.00018342860153710595,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_baseline_ref,baseline,altblock_b16_s4242,17,22.0,300,-0.005063589759196169,0.0019364102408038313,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,altblock_b16_s4242,17,25.0,300,-0.005424992336981765,0.0015750076630182347,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_baseline_ref,baseline,altseed_b20_s5252,5,22.0,300,-0.0035165087971669507,0.0034834912028330494,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,altseed_b20_s5252,5,25.0,300,-0.0037978182737772427,0.0032021817262227574,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_baseline_ref,baseline,altseed_b20_s5252,17,22.0,300,-0.004378695568387797,0.002621304431612203,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,altseed_b20_s5252,17,25.0,300,-0.004494920935807239,0.002505079064192761,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_baseline_ref,baseline,deepcheck_b12_s8080,5,22.0,300,-0.005334742381510443,0.0016652576184895572,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,deepcheck_b12_s8080,5,25.0,300,-0.00572255231456526,0.0012774476854347403,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_baseline_ref,baseline,deepcheck_b12_s8080,17,22.0,300,-0.0049143753625112245,0.0020856246374887756,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v36_baseline_ref,baseline,deepcheck_b12_s8080,17,25.0,300,-0.0051296346655089085,0.0018703653344910916,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v36_regime_interactions,regime_interactions,baseline_b20_s4242,5,22.0,300,-0.014945670730067806,-0.007945670730067807,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
