variant,feature_family,signal_model_family,regime_drawdown_threshold,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v37_single_linear_ref,baseline,single_linear,-0.08,baseline_b20_s4242,5,22.0,300,-0.004642767184481044,0.002357232815518956,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,baseline_b20_s4242,5,25.0,300,-0.004829464610703071,0.0021705353892969292,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,baseline_b20_s4242,17,22.0,300,-0.0036643842839554127,0.0033356157160445874,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,baseline_b20_s4242,17,25.0,300,-0.003992095667043116,0.003007904332956884,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altblock_b16_s4242,5,22.0,300,-0.006583189883013351,0.00041681011698664876,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altblock_b16_s4242,5,25.0,300,-0.006816571398462894,0.00018342860153710595,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altblock_b16_s4242,17,22.0,300,-0.005063589759196169,0.0019364102408038313,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altblock_b16_s4242,17,25.0,300,-0.005424992336981765,0.0015750076630182347,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altseed_b20_s5252,5,22.0,300,-0.0035165087971669507,0.0034834912028330494,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altseed_b20_s5252,5,25.0,300,-0.0037978182737772427,0.0032021817262227574,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altseed_b20_s5252,17,22.0,300,-0.004378695568387797,0.002621304431612203,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,altseed_b20_s5252,17,25.0,300,-0.004494920935807239,0.002505079064192761,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,deepcheck_b12_s8080,5,22.0,300,-0.005334742381510443,0.0016652576184895572,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,deepcheck_b12_s8080,5,25.0,300,-0.00572255231456526,0.0012774476854347403,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,deepcheck_b12_s8080,17,22.0,300,-0.0049143753625112245,0.0020856246374887756,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v37_single_linear_ref,baseline,single_linear,-0.08,deepcheck_b12_s8080,17,25.0,300,-0.0051296346655089085,0.0018703653344910916,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,baseline_b20_s4242,5,22.0,300,-0.07612608954701965,-0.06912608954701964,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,baseline_b20_s4242,5,25.0,300,-0.02482884839134691,-0.01782884839134691,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,baseline_b20_s4242,17,22.0,300,-0.0673492891230216,-0.0603492891230216,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,baseline_b20_s4242,17,25.0,300,-0.02491454349138474,-0.01791454349138474,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altblock_b16_s4242,5,22.0,300,-0.06765159588089473,-0.06065159588089473,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altblock_b16_s4242,5,25.0,300,-0.0279438309421615,-0.0209438309421615,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altblock_b16_s4242,17,22.0,300,-0.06688211351066886,-0.05988211351066886,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altblock_b16_s4242,17,25.0,300,-0.027036669625771524,-0.020036669625771525,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altseed_b20_s5252,5,22.0,300,-0.07099163019659362,-0.06399163019659361,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altseed_b20_s5252,5,25.0,300,-0.02606486287852196,-0.019064862878521962,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altseed_b20_s5252,17,22.0,300,-0.07590640714958274,-0.06890640714958274,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,altseed_b20_s5252,17,25.0,300,-0.024756680916048414,-0.017756680916048415,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,deepcheck_b12_s8080,5,22.0,300,-0.06900931712727465,-0.06200931712727465,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,deepcheck_b12_s8080,5,25.0,300,-0.026785481649675192,-0.019785481649675193,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,deepcheck_b12_s8080,17,22.0,300,-0.06545577430475605,-0.05845577430475605,True,-0.004488650665841187,0.009543988274913318,0.0013675405928326564
v37_regime_two_model_dd08,baseline,regime_two_model,-0.08,deepcheck_b12_s8080,17,25.0,300,-0.023087942959856916,-0.016087942959856917,True,0.0010323441463796934,0.008437319442076329,0.0007920200148795582
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,baseline_b20_s4242,5,22.0,300,-0.020088407018086712,-0.013088407018086713,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,baseline_b20_s4242,5,25.0,300,-0.020966778447701784,-0.013966778447701785,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,baseline_b20_s4242,17,22.0,300,-0.021407608302666963,-0.014407608302666963,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,baseline_b20_s4242,17,25.0,300,-0.022609970847286696,-0.015609970847286696,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altblock_b16_s4242,5,22.0,300,-0.02416973462455006,-0.01716973462455006,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altblock_b16_s4242,5,25.0,300,-0.025641739090364397,-0.018641739090364397,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altblock_b16_s4242,17,22.0,300,-0.020832916861311994,-0.013832916861311995,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altblock_b16_s4242,17,25.0,300,-0.021749538311537704,-0.014749538311537705,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altseed_b20_s5252,5,22.0,300,-0.017357350113658354,-0.010357350113658355,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altseed_b20_s5252,5,25.0,300,-0.018387282706223324,-0.011387282706223325,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altseed_b20_s5252,17,22.0,300,-0.01622022370144896,-0.009220223701448961,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,altseed_b20_s5252,17,25.0,300,-0.017137249424699397,-0.010137249424699398,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,deepcheck_b12_s8080,5,22.0,300,-0.025645439817148452,-0.018645439817148453,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,deepcheck_b12_s8080,5,25.0,300,-0.02647918836235193,-0.01947918836235193,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,deepcheck_b12_s8080,17,22.0,300,-0.02134810384364185,-0.014348103843641852,True,0.0070027297883964,0.011713718446784194,0.0017678349363793155
v37_regime_two_model_dd10,baseline,regime_two_model,-0.1,deepcheck_b12_s8080,17,25.0,300,-0.0223441446292267,-0.015344144629226699,True,0.006499229628243497,0.011099716303111152,0.0017678349363793155
