variant,feature_family,signal_model_family,regime_drawdown_threshold,regime_drawdown_floor,state_scale_slope_min,state_scale_slope_max,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,baseline_b20_s4242,5,22.0,300,-0.004642767184481044,0.002357232815518956,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,baseline_b20_s4242,5,25.0,300,-0.004829464610703071,0.0021705353892969292,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,baseline_b20_s4242,17,22.0,300,-0.0036643842839554127,0.0033356157160445874,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,baseline_b20_s4242,17,25.0,300,-0.003992095667043116,0.003007904332956884,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altblock_b16_s4242,5,22.0,300,-0.006583189883013351,0.00041681011698664876,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altblock_b16_s4242,5,25.0,300,-0.006816571398462894,0.00018342860153710595,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altblock_b16_s4242,17,22.0,300,-0.005063589759196169,0.0019364102408038313,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altblock_b16_s4242,17,25.0,300,-0.005424992336981765,0.0015750076630182347,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altseed_b20_s5252,5,22.0,300,-0.0035165087971669507,0.0034834912028330494,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altseed_b20_s5252,5,25.0,300,-0.0037978182737772427,0.0032021817262227574,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altseed_b20_s5252,17,22.0,300,-0.004378695568387797,0.002621304431612203,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,altseed_b20_s5252,17,25.0,300,-0.004494920935807239,0.002505079064192761,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,deepcheck_b12_s8080,5,22.0,300,-0.005334742381510443,0.0016652576184895572,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,deepcheck_b12_s8080,5,25.0,300,-0.00572255231456526,0.0012774476854347403,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,deepcheck_b12_s8080,17,22.0,300,-0.0049143753625112245,0.0020856246374887756,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v38_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,deepcheck_b12_s8080,17,25.0,300,-0.0051296346655089085,0.0018703653344910916,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,baseline_b20_s4242,5,22.0,300,-0.002848254127482974,0.004151745872517026,False,0.004352628731637465,0.009196750933900155,0.00036170997287859115
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,baseline_b20_s4242,5,25.0,300,-0.002949413914554494,0.004050586085445507,False,0.004379678593696345,0.008766807885896366,0.00038906809438998314
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,baseline_b20_s4242,17,22.0,300,-0.002803084295584329,0.004196915704415671,False,0.004352628731637465,0.009196750933900155,0.00036170997287859115
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,baseline_b20_s4242,17,25.0,300,-0.0028128716484206004,0.004187128351579399,False,0.004379678593696345,0.008766807885896366,0.00038906809438998314
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,altblock_b16_s4242,5,22.0,300,-0.0037382883071227337,0.0032617116928772664,False,0.004352628731637465,0.009196750933900155,0.00036170997287859115
