case,returncode,cached,name,gate,transaction_cost_bps,slippage_bps,ridge_l2,action_smoothing,no_trade_band,seed,n_folds,min_robust_min_relative,min_active_fraction,gate_scale,mean_test_relative,mean_validation_relative,robust_min_test_relative,beat_hold_fraction,active_fraction,mean_turnover,mean_validation_gate_suppression_rate,mean_test_gate_suppression_rate,mean_test_executed_step_count,overall_gate_passed,validation_gate_passed,validation_gate_value,validation_gate_threshold,robust_gate_passed,robust_gate_value,robust_gate_threshold,active_gate_passed,active_gate_value,active_gate_threshold,summary_csv,detailed_json,delta_relative_vs_promoted,gate_margin_min
promoted_12bps_gate55,0,True,promoted_12bps_gate55,055,12.0,12.0,0.015,1.0,0.02,5,5,0.0,0.01,bps,0.005403845149135167,0.008746564969808279,0.0005327793728251429,1.0,1.0,0.0004746505240629794,0.9870875179340028,0.9818965517241379,8.4,True,True,0.008746564969808279,0.0055,True,0.0005327793728251429,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/promoted_12bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/promoted_12bps_gate55/main4_gate055_f5_s5_detailed.json,0.0,0.0005327793728251429
promoted_12bps_gate60,0,True,promoted_12bps_gate60,060,12.0,12.0,0.015,1.0,0.02,5,5,0.0,0.01,bps,0.005403845149135167,0.008746564969808279,0.0005327793728251429,1.0,1.0,0.0004746505240629794,0.9870875179340028,0.9818965517241379,8.4,True,True,0.008746564969808279,0.006,True,0.0005327793728251429,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/promoted_12bps_gate60/main4_gate060_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/promoted_12bps_gate60/main4_gate060_f5_s5_detailed.json,0.0,0.0005327793728251429
promoted_15bps_gate55,0,True,promoted_15bps_gate55,055,15.0,15.0,0.015,1.0,0.02,5,5,0.0,0.01,bps,0.00527101658862783,0.008613594869673325,0.00021208424164353978,1.0,1.0,0.0004746505240629794,0.9870875179340028,0.9818965517241379,8.4,True,True,0.008613594869673325,0.0055,True,0.00021208424164353978,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/promoted_15bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/promoted_15bps_gate55/main4_gate055_f5_s5_detailed.json,-0.0001328285605073365,0.00021208424164353978
ridge015_smooth11_12bps_gate65,2,False,ridge015_smooth11_12bps_gate65,065,12.0,12.0,0.015,1.1,0.02,5,5,0.0,0.01,bps,0.00537911458809599,0.008033175434232964,-0.003267030950084293,0.8,1.0,0.0006340266427713951,0.9868005738880917,0.9780172413793103,10.2,False,True,0.008033175434232964,0.0065,False,-0.003267030950084293,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/ridge015_smooth11_12bps_gate65/main4_gate065_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/ridge015_smooth11_12bps_gate65/main4_gate065_f5_s5_detailed.json,-2.473056103917664e-05,-0.003267030950084293
ridge015_smooth11_15bps_gate55,0,True,ridge015_smooth11_15bps_gate55,055,15.0,15.0,0.015,1.1,0.02,5,5,0.0,0.01,bps,0.005202243697844167,0.007878214583809884,-0.0036776785813364965,0.8,1.0,0.0006340266427713951,0.9868005738880917,0.9780172413793103,10.2,False,True,0.007878214583809884,0.0055,False,-0.0036776785813364965,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/ridge015_smooth11_15bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/ridge015_smooth11_15bps_gate55/main4_gate055_f5_s5_detailed.json,-0.00020160145129100027,-0.0036776785813364965
ridge012_smooth11_15bps_gate55,2,False,ridge012_smooth11_15bps_gate55,055,15.0,15.0,0.012,1.1,0.02,5,5,0.0,0.01,bps,0.005202239283616206,0.007878228439405267,-0.0036776957466516658,0.8,1.0,0.0006340279471002798,0.9868005738880917,0.9780172413793103,10.2,False,True,0.007878228439405267,0.0055,False,-0.0036776957466516658,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/ridge012_smooth11_15bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/ridge012_smooth11_15bps_gate55/main4_gate055_f5_s5_detailed.json,-0.00020160586551896086,-0.0036776957466516658
promoted_18bps_gate55,0,True,promoted_18bps_gate55,055,18.0,18.0,0.015,1.0,0.02,5,5,0.0,0.01,bps,0.005138214565829613,0.008480642815488038,-0.00010851359781438585,0.8,1.0,0.0004746505240629794,0.9870875179340028,0.9818965517241379,8.4,False,True,0.008480642815488038,0.0055,False,-0.00010851359781438585,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/promoted_18bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/promoted_18bps_gate55/main4_gate055_f5_s5_detailed.json,-0.00026563058330555424,-0.00010851359781438585
ridge012_smooth13_15bps_gate55,2,False,ridge012_smooth13_15bps_gate55,055,15.0,15.0,0.012,1.3,0.02,5,5,0.0,0.01,bps,0.004324582350062345,0.008965259925503366,-0.012084346296378445,0.8,1.0,0.000831012068739571,0.9839311334289814,0.9758620689655171,11.2,False,True,0.008965259925503366,0.0055,False,-0.012084346296378445,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/ridge012_smooth13_15bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/ridge012_smooth13_15bps_gate55/main4_gate055_f5_s5_detailed.json,-0.001079262799072822,-0.012084346296378445
ridge010_smooth12_12bps_gate60,2,False,ridge010_smooth12_12bps_gate60,060,12.0,12.0,0.01,1.2,0.02,5,5,0.0,0.01,bps,0.004029126657976834,0.010159994668592142,-0.0048048023477282875,0.6,0.8,0.00048338788552735636,0.9865136298421808,0.9844827586206897,7.2,False,True,0.010159994668592142,0.006,False,-0.0048048023477282875,0.0,True,0.8,0.01,artifacts/main4_promotion_sprint_runs/ridge010_smooth12_12bps_gate60/main4_gate060_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/ridge010_smooth12_12bps_gate60/main4_gate060_f5_s5_detailed.json,-0.0013747184911583332,-0.0048048023477282875
ridge012_smooth12_15bps_gate60,2,False,ridge012_smooth12_15bps_gate60,060,15.0,15.0,0.012,1.2,0.02,5,5,0.0,0.01,bps,0.0038932733476681135,0.009984867834702404,-0.00484940720750382,0.6,0.8,0.00048338747231033483,0.9865136298421808,0.9844827586206897,7.2,False,True,0.009984867834702404,0.006,False,-0.00484940720750382,0.0,True,0.8,0.01,artifacts/main4_promotion_sprint_runs/ridge012_smooth12_15bps_gate60/main4_gate060_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/ridge012_smooth12_15bps_gate60/main4_gate060_f5_s5_detailed.json,-0.0015105718014670534,-0.00484940720750382
