split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,active,signal_scale,signal_bias
chrono,7,fold_01,test,2558,2559,3256,3257,3721,465,0.0029071437008714,0.2706926012398223,-0.001521674392957,0.2726291283962341,-0.0019365271564117,1.0058166017497665,4.474309038282012e-05,1,0.25,0.1
chrono,7,fold_02,test,3023,3024,3721,3722,4186,465,0.0036714622798308,0.3526123937891898,0.0061889977941345,0.3442925700385499,0.0083198237506398,1.0212158570522514,4.746276745470042e-05,1,0.45,0.0995041322314049
chrono,7,fold_03,test,3488,3489,4186,4187,4651,465,0.004161898858604,0.3621891153038019,0.0,0.3621891153038019,0.0,1.0,0.0,0,0.2,0.1111747851002865
chrono,17,fold_01,test,2558,2559,3256,3257,3721,465,0.0029071437008714,0.2706926012398223,-0.001521674392957,0.2726291283962341,-0.0019365271564117,1.0058166017497665,4.474309038282012e-05,1,0.25,0.1
chrono,17,fold_02,test,3023,3024,3721,3722,4186,465,0.0036714622798308,0.3526123937891898,0.0061889977941345,0.3442925700385499,0.0083198237506398,1.0212158570522514,4.746276745470042e-05,1,0.45,0.0995041322314049
chrono,17,fold_03,test,3488,3489,4186,4187,4651,465,0.004161898858604,0.3621891153038019,0.0,0.3621891153038019,0.0,1.0,0.0,0,0.2,0.1111747851002865
chrono,27,fold_01,test,2558,2559,3256,3257,3721,465,0.0029071437008714,0.2706926012398223,-0.001521674392957,0.2726291283962341,-0.0019365271564117,1.0058166017497665,4.474309038282012e-05,1,0.25,0.1
chrono,27,fold_02,test,3023,3024,3721,3722,4186,465,0.0036714622798308,0.3526123937891898,0.0061889977941345,0.3442925700385499,0.0083198237506398,1.0212158570522514,4.746276745470042e-05,1,0.45,0.0995041322314049
chrono,27,fold_03,test,3488,3489,4186,4187,4651,465,0.004161898858604,0.3621891153038019,0.0,0.3621891153038019,0.0,1.0,0.0,0,0.2,0.1111747851002865
chrono,37,fold_01,test,2558,2559,3256,3257,3721,465,0.0029071437008714,0.2706926012398223,-0.001521674392957,0.2726291283962341,-0.0019365271564117,1.0058166017497665,4.474309038282012e-05,1,0.25,0.1
chrono,37,fold_02,test,3023,3024,3721,3722,4186,465,0.0036714622798308,0.3526123937891898,0.0061889977941345,0.3442925700385499,0.0083198237506398,1.0212158570522514,4.746276745470042e-05,1,0.45,0.0995041322314049
chrono,37,fold_03,test,3488,3489,4186,4187,4651,465,0.004161898858604,0.3621891153038019,0.0,0.3621891153038019,0.0,1.0,0.0,0,0.2,0.1111747851002865
chrono,47,fold_01,test,2558,2559,3256,3257,3721,465,0.0029071437008714,0.2706926012398223,-0.001521674392957,0.2726291283962341,-0.0019365271564117,1.0058166017497665,4.474309038282012e-05,1,0.25,0.1
chrono,47,fold_02,test,3023,3024,3721,3722,4186,465,0.0036714622798308,0.3526123937891898,0.0061889977941345,0.3442925700385499,0.0083198237506398,1.0212158570522514,4.746276745470042e-05,1,0.45,0.0995041322314049
chrono,47,fold_03,test,3488,3489,4186,4187,4651,465,0.004161898858604,0.3621891153038019,0.0,0.3621891153038019,0.0,1.0,0.0,0,0.2,0.1111747851002865
chrono,57,fold_01,test,2558,2559,3256,3257,3721,465,0.0029071437008714,0.2706926012398223,-0.001521674392957,0.2726291283962341,-0.0019365271564117,1.0058166017497665,4.474309038282012e-05,1,0.25,0.1
chrono,57,fold_02,test,3023,3024,3721,3722,4186,465,0.0036714622798308,0.3526123937891898,0.0061889977941345,0.3442925700385499,0.0083198237506398,1.0212158570522514,4.746276745470042e-05,1,0.45,0.0995041322314049
chrono,57,fold_03,test,3488,3489,4186,4187,4651,465,0.004161898858604,0.3621891153038019,0.0,0.3621891153038019,0.0,1.0,0.0,0,0.2,0.1111747851002865
chrono,67,fold_01,test,2558,2559,3256,3257,3721,465,0.0029071437008714,0.2706926012398223,-0.001521674392957,0.2726291283962341,-0.0019365271564117,1.0058166017497665,4.474309038282012e-05,1,0.25,0.1
