candidate,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,gate_passed,mean_test_relative,mean_validation_relative,mean_turnover,mean_test_executed_step_count,mean_test_gate_suppression_rate,error
fw_h07,baseline_b20_s4242,5,22,30,-0.0019235704600255588,0.005076429539974441,False,True,0.001380441761593465,0.011350328934719212,0.00010558763522252004,1.0,0.9978448275862069,
fw_h07,baseline_b20_s4242,17,22,30,-0.0010289916254590079,0.005971008374540992,False,True,0.0014786702320063183,0.011412209861366818,0.0001131296091669853,1.0,0.9978448275862069,
fw_h07,baseline_b20_s4242,5,35,30,-0.0020547123425783687,0.0049452876574216315,False,True,0.0012536332438332076,0.011226496342886416,0.00010558763522252004,1.0,0.9978448275862069,
fw_h07,baseline_b20_s4242,5,30,30,-0.0020042750110653763,0.004995724988934623,False,True,0.001302403858485679,0.011274124262822482,0.00010558763522252004,1.0,0.9978448275862069,
fw_h07,altblock_b16_s4242,5,22,30,-0.0016276175664106218,0.005372382433589378,False,True,0.0025937648997253295,0.008337916679826085,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,baseline_b20_s4242,17,30,30,-0.0009604429892468733,0.006039557010753127,False,True,0.001302403858485679,0.011274124262822482,0.00010558763522252004,1.0,0.9978448275862069,
fw_h07,baseline_b20_s4242,17,35,30,-0.0009604429892468733,0.006039557010753127,False,True,0.0012536332438332076,0.011226496342886416,0.00010558763522252004,1.0,0.9978448275862069,
fw_h07,altblock_b16_s4242,5,30,30,-0.001704887313962039,0.005295112686037961,False,True,0.0025160118214694696,0.008180353201286813,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,altblock_b16_s4242,17,35,30,-0.0019435829371457212,0.005056417062854279,False,True,0.0012536332438332076,0.011226496342886416,0.00010558763522252004,1.0,0.9978448275862069,
fw_h07,altblock_b16_s4242,17,22,30,-0.001812261642436591,0.005187738357563409,False,True,0.0014786702320063183,0.011412209861366818,0.0001131296091669853,1.0,0.9978448275862069,
fw_h07,altblock_b16_s4242,5,35,30,-0.0017531809061808621,0.005246819093819138,False,True,0.0024674181974193576,0.008081889017932756,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,altblock_b16_s4242,17,30,30,-0.0018472899956059716,0.005152710004394028,False,True,0.001302403858485679,0.011274124262822482,0.00010558763522252004,1.0,0.9978448275862069,
fw_h07,altseed_b20_s5252,17,22,30,-0.0015841213054881675,0.005415878694511832,False,True,0.0025937648997253295,0.008337916679826085,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,altseed_b20_s5252,5,30,30,-0.0010846256539620235,0.005915374346037977,False,True,0.0025160118214694696,0.008180353201286813,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,altseed_b20_s5252,5,22,30,-0.000888731094261147,0.006111268905738853,False,True,0.0025937648997253295,0.008337916679826085,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,altseed_b20_s5252,5,35,30,-0.0012070472417242961,0.005792952758275704,False,True,0.0024674181974193576,0.008081889017932756,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,altseed_b20_s5252,17,30,30,-0.0017403812687906528,0.005259618731209347,False,True,0.0025160118214694696,0.008180353201286813,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,altseed_b20_s5252,17,35,30,-0.0018380375171836605,0.00516196248281634,False,True,0.0024674181974193576,0.008081889017932756,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,deepcheck_b12_s8080,5,30,30,-0.0014786530299046696,0.00552134697009533,False,True,0.0008682692389904526,0.008980675815928688,7.039175681501337e-05,0.6666666666666666,0.9985632183908045,
fw_h07,deepcheck_b12_s8080,5,22,30,-0.001396628845616793,0.005603371154383207,False,True,0.0009202945077289767,0.009088076045515944,7.039175681501337e-05,0.6666666666666666,0.9985632183908045,
fw_h07,deepcheck_b12_s8080,17,35,30,-0.0012412801387117088,0.005758719861288291,False,True,0.0024674181974193576,0.008081889017932756,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,deepcheck_b12_s8080,5,35,30,-0.001529918145084913,0.005470081854915087,False,True,0.000835755495888805,0.008913553054057685,7.039175681501337e-05,0.6666666666666666,0.9985632183908045,
fw_h07,deepcheck_b12_s8080,17,22,30,-0.0011338576351971829,0.005866142364802818,False,True,0.0025937648997253295,0.008337916679826085,0.00010486986725234981,1.0,0.9978448275862069,
fw_h07,deepcheck_b12_s8080,17,30,30,-0.0011999653099459828,0.005800034690054017,False,True,0.0025160118214694696,0.008180353201286813,0.00010486986725234981,1.0,0.9978448275862069,
fw_h08,baseline_b20_s4242,5,22,30,0.0,0.007,False,True,0.008378098848062066,0.011369818849581548,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,baseline_b20_s4242,5,30,30,0.0,0.007,False,True,0.008343267500413476,0.011291440449105794,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,baseline_b20_s4242,5,35,30,0.0,0.007,False,True,0.008321497908132858,0.011242453948807185,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,baseline_b20_s4242,17,22,30,0.0,0.007,False,True,0.008378098848062066,0.011369818849581548,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altblock_b16_s4242,5,30,30,0.0,0.007,False,True,0.008343267500413476,0.011291440449105794,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altblock_b16_s4242,5,22,30,0.0,0.007,False,True,0.008378098848062066,0.011369818849581548,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,baseline_b20_s4242,17,30,30,0.0,0.007,False,True,0.008343267500413476,0.011291440449105794,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,baseline_b20_s4242,17,35,30,0.0,0.007,False,True,0.008321497908132858,0.011242453948807185,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altblock_b16_s4242,17,22,30,0.0,0.007,False,True,0.008378098848062066,0.011369818849581548,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altblock_b16_s4242,5,35,30,0.0,0.007,False,True,0.008321497908132858,0.011242453948807185,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altblock_b16_s4242,17,30,30,0.0,0.007,False,True,0.008343267500413476,0.011291440449105794,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altblock_b16_s4242,17,35,30,0.0,0.007,False,True,0.008321497908132858,0.011242453948807185,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altseed_b20_s5252,17,22,30,0.0,0.007,False,True,0.008378098848062066,0.011369818849581548,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altseed_b20_s5252,5,22,30,0.0,0.007,False,True,0.008378098848062066,0.011369818849581548,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altseed_b20_s5252,5,35,30,0.0,0.007,False,True,0.008321497908132858,0.011242453948807185,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altseed_b20_s5252,5,30,30,0.0,0.007,False,True,0.008343267500413476,0.011291440449105794,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altseed_b20_s5252,17,30,30,0.0,0.007,False,True,0.008343267500413476,0.011291440449105794,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,altseed_b20_s5252,17,35,30,0.0,0.007,False,True,0.008321497908132858,0.011242453948807185,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,deepcheck_b12_s8080,5,22,30,0.0,0.007,False,True,0.005585399232041377,0.00940521335561706,3.406703931374242e-05,0.3333333333333333,0.9992816091954023,
fw_h08,deepcheck_b12_s8080,5,30,30,0.0,0.007,False,True,0.005562178333608984,0.00930122397653029,3.406703931374242e-05,0.3333333333333333,0.9992816091954023,
fw_h08,deepcheck_b12_s8080,17,30,30,0.0,0.007,False,True,0.008343267500413476,0.011291440449105794,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,deepcheck_b12_s8080,17,35,30,0.0,0.007,False,True,0.008321497908132858,0.011242453948807185,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,deepcheck_b12_s8080,17,22,30,0.0,0.007,False,True,0.008378098848062066,0.011369818849581548,5.1100558970613626e-05,0.5,0.9989224137931034,
fw_h08,deepcheck_b12_s8080,5,35,30,0.0,0.007,False,True,0.0055476652720885715,0.009236232628135665,3.406703931374242e-05,0.3333333333333333,0.9992816091954023,
fw_h09,baseline_b20_s4242,5,35,30,-0.0003742327170570658,0.006625767282942934,False,True,0.010837374321896909,0.011321421860080005,0.0001530018060386976,1.5,0.9967672413793103,
fw_h09,baseline_b20_s4242,5,30,30,-0.0003526087715696513,0.006647391228430349,False,True,0.01090617465580912,0.011371082717698044,0.0001530018060386976,1.5,0.9967672413793103,
fw_h09,baseline_b20_s4242,17,22,30,9.573355292169538e-05,0.007095733552921695,False,True,0.01101625977625098,0.011450540089885664,0.0001530018060386976,1.5,0.9967672413793103,
