candidate,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,gate_passed,mean_test_relative,mean_validation_relative,mean_turnover,mean_test_executed_step_count,mean_test_gate_suppression_rate,error
c_objw05,baseline_b20_s4242,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw05,altblock_b16_s4242,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw05,baseline_b20_s4242,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw05,altblock_b16_s4242,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw05,altseed_b20_s5252,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw05,altseed_b20_s5252,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw05,deepcheck_b12_s8080,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw05,deepcheck_b12_s8080,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,baseline_b20_s4242,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,altblock_b16_s4242,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,baseline_b20_s4242,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,altblock_b16_s4242,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,altseed_b20_s5252,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,deepcheck_b12_s8080,58,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,altseed_b20_s5252,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
c_objw075,deepcheck_b12_s8080,53,35,80,0.0,0.007,True,False,0.0,0.012518363465324533,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,altblock_b16_s4242,53,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,baseline_b20_s4242,58,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,baseline_b20_s4242,53,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,altblock_b16_s4242,58,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,altseed_b20_s5252,58,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,altseed_b20_s5252,53,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,deepcheck_b12_s8080,58,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
sc3e_incumbent_newseed,deepcheck_b12_s8080,53,35,80,0.0,0.007,True,False,0.0,0.01252551775539068,0.0,0.0,1.0,gate_checks_failed
