candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
k_s09262548_objw1,32,0,0.0,0.006828024713846747,0.007661426150332343,0.010985214794134723,0.011338865819675192,0.0001499828508893845,1.5,0.9967672413793103,0.0,0,0,0.006828024713846747
l_s092625478_objw1,32,0,0.0,0.006828024717570913,0.007661426176713011,0.010985214783563457,0.011338865795018194,0.000149982850464904,1.5,0.9967672413793103,0.0,0,0,0.006828024717570913
l_s092625476_objw1,32,0,0.0,0.006828024721303205,0.007661426203095702,0.010985214772993968,0.011338865770360973,0.00014998285004042347,1.5,0.9967672413793103,0.0,0,0,0.006828024721303205
l_s092625474_objw1,32,0,0.0,0.006828024725026865,0.00766142622947599,0.010985214762425033,0.011338865745705029,0.0001499828496159427,1.5,0.9967672413793103,0.0,0,0,0.006828024725026865
l_s092625472_objw1,32,0,0.0,0.006828024728755238,0.007661426255858112,0.010985214751855099,0.011338865721049252,0.00014998284919146243,1.5,0.9967672413793103,0.0,0,0,0.006828024728755238
l_s092625470_objw1,32,0,0.0,0.006828024732484916,0.007661426282241603,0.010985214741285831,0.011338865696391864,0.00014998284876698237,1.5,0.9967672413793103,0.0,0,0,0.006828024732484916
l_s092625468_objw1,32,0,0.0,0.007059729458403224,0.011627051303365754,0.0176562857770845,0.011338865671736587,0.00010032556507044447,1.0,0.9978448275862069,0.0,32,0,0.007059729458403224
h_s092624_objw1,32,0,0.0,0.007059729417887805,0.011627043968792054,0.017656257522501773,0.011338847573897581,0.00010032540561411199,1.0,0.9978448275862069,0.0,32,0,0.007059729417887805
f_s092362_objw1,32,0,0.0,0.007059729307490442,0.011627023983576117,0.01765618053454293,0.011338798260988991,0.00010032497112819305,1.0,0.9978448275862069,0.0,32,0,0.007059729307490442
z_q_objw1,32,0,0.0,0.007059714944945788,0.011624425901513774,0.017646172138641447,0.01133238759799532,0.00010026848795872218,1.0,0.9978448275862069,0.0,32,0,0.007059714944945788
q_s09231_h10_ntb050,32,0,0.0,0.007,0.011416220625698763,0.017131484782330807,0.011295049133629165,9.711589041967019e-05,0.96875,0.9979121767241379,0.001029374712621281,32,0,0.007
zn_s074_objw1,32,0,0.0,0.007053308204492619,0.010709112263960267,0.01412682989385955,0.009076974023072948,8.037989501620042e-05,1.0,0.9978448275862069,0.0,32,0,0.007053308204492619
zn_s072_objw1,32,0,0.0,0.007052445359723691,0.010609073634413584,0.013742988107879606,0.008830842580374199,7.820746542116782e-05,1.0,0.9978448275862069,0.0,32,0,0.007052445359723691
zn_s070_objw1,32,0,0.0,0.006937154647183807,0.010359493897628004,0.013156891699026877,0.008508064113872626,7.603985344364794e-05,1.0,0.9978448275862069,0.0,32,0,0.0070515504059246335
